paper.code,source.code,list.name,in.text.citation,authors,title,publication,year,volume,issue,start.page.no,end.page.no,doi,authors.full.name,ISSN,eISSN,ISBN,book.doi,wos.uid
90,90,primary data,NA,"Santos-Medrano, GE; Robles-Vargas, D; Hernández-Flores, S; Rico-Martínez, R","Life table demography of Asplanchna brightwellii Gosse, 1850 fed with five different prey items",HYDROBIOLOGIA,2017,796,1,169,179,10.1007/s10750-016-3069-z,"Emilio Santos-Medrano, Gustavo; Robles-Vargas, Daniel; Hernandez-Flores, Sarai; Rico-Martinez, Roberto",0018-8158,1573-5117,NA,NA,WOS:000403357600014
92,92,primary data,NA,"Bramburger, AJ; Reavie, ED; Sgro, GV; Estepp, LR; Chraïbi, VLS; Pillsbury, RW",Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes: a response to warming waters?,JOURNAL OF PLANKTON RESEARCH,2017,39,2,199,210,10.1093/plankt/fbx009,"Bramburger, A. J.; Reavie, E. D.; Sgro, G. V.; Estepp, L. R.; Chraibi, V. L. Shaw; Pillsbury, R. W.",0142-7873,1464-3774,NA,NA,WOS:000397979400004
93,93,primary data,NA,"Rocha, GS; Tonietto, AE; Lombardi, AT; Melao, MDG",Effect of copper contaminated food on the life cycle and secondary production of Daphnia laevis,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2016,133,NA,235,242,10.1016/j.ecoenv.2016.07.011,"Rocha, Giseli S.; Tonietto, Alessandra E.; Lombardi, Ana T.; Melao, Maria da G. G.",0147-6513,1090-2414,NA,NA,WOS:000384398800027
97,97,primary data,NA,"Reartes, SBR; Estrada, V; Bazán, R; Larrosa, N; Cossavella, A; López, A; Busso, F; Diaz, MS",Evaluation of ecological effects of anthropogenic nutrient loading scenarios in Los Molinos reservoir through a mathematical model,ECOLOGICAL MODELLING,2016,320,NA,393,406,10.1016/j.ecolmodel.2015.10.028,"Rodriguez Reartes, S. B.; Estrada, V.; Bazan, R.; Larrosa, N.; Cossavella, A.; Lopez, A.; Busso, F.; Diaz, M. S.",0304-3800,1872-7026,NA,NA,WOS:000368313300035
98,98,primary data,NA,"Liu, X; Beyrend, D; Dur, G; Ban, S",Combined effects of temperature and food concentration on growth and reproduction of Eodiaptomus japonicus (Copepoda: Calanoida) from Lake Biwa (Japan),FRESHWATER BIOLOGY,2015,60,10,2003,2018,10.1111/fwb.12626,"Liu, Xin; Beyrend, Delphine; Dur, Gael; Ban, Syuhei",0046-5070,1365-2427,NA,NA,WOS:000361037900003
99,99,primary data,NA,"Narwani, A; Alexandrou, MA; Herrin, J; Vouaux, A; Zhou, C; Oakley, TH; Cardinale, BJ",Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae,PLOS ONE,2015,10,9,NA,NA,10.1371/journal.pone.0137085,"Narwani, Anita; Alexandrou, Markos A.; Herrin, James; Vouaux, Alaina; Zhou, Charles; Oakley, Todd H.; Cardinale, Bradley J.",1932-6203,NA,NA,NA,WOS:000360897600020
100,100,primary data,NA,"Behl, S; Stibor, H",Prey diversity and prey identity affect herbivore performance on different time scales in a long term aquatic food-web experiment,OIKOS,2015,124,9,1192,1202,10.1111/oik.01463,"Behl, Stephan; Stibor, Herwig",0030-1299,1600-0706,NA,NA,WOS:000360823400009
101,101,primary data,NA,"Grujcic, V; Kasalicky, V; Simek, K",Prey-Specific Growth Responses of Freshwater Flagellate Communities Induced by Morphologically Distinct Bacteria from the Genus Limnohabitans,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2015,81,15,4993,5002,10.1128/AEM.00396-15,"Grujcic, Vesna; Kasalicky, Vojtech; Simek, Karel",0099-2240,1098-5336,NA,NA,WOS:000357668600014
102,102,primary data,NA,"Shi, PL; Shen, H; Wang, WJ; Chen, WJ; Xie, P",The relationship between light intensity and nutrient uptake kinetics in six freshwater diatoms,JOURNAL OF ENVIRONMENTAL SCIENCES,2015,34,NA,28,36,10.1016/j.jes.2015.03.003,"Shi, Pengling; Shen, Hong; Wang, Wenjing; Chen, Wenjie; Xie, Ping",1001-0742,1878-7320,NA,NA,WOS:000362980400004
106,106,primary data,NA,"Kong, YJ; Lou, IC; Zhang, YY; Lou, CU; Mok, KM",Using an online phycocyanin fluorescence probe for rapid monitoring of cyanobacteria in Macau freshwater reservoir,HYDROBIOLOGIA,2014,741,1,33,49,10.1007/s10750-013-1759-3,"Kong, Yijun; Lou, Inchio; Zhang, Yiyong; Lou, Chong U.; Mok, Kai Meng",0018-8158,1573-5117,NA,NA,WOS:000343998000005
107,107,primary data,NA,"Souza, JP; Melo, DC; Lombardi, AT; Melao, MGG",Effects of dietborne cadmium on life history and secondary production of a tropical freshwater cladoceran,ECOTOXICOLOGY,2014,23,9,1764,1773,10.1007/s10646-014-1341-4,"Souza, J. P.; Melo, D. C.; Lombardi, A. T.; Melao, M. G. G.",0963-9292,1573-3017,NA,NA,WOS:000343877400017
108,108,primary data,NA,"Hahn, MW; Schmidt, J; Taipale, SJ; Doolittle, WF; Koll, U","Rhodoluna lacicola gen. nov., sp nov., a planktonic freshwater bacterium with stream-lined genome",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2014,64,NA,3254,3263,10.1099/ijs.0.065292-0,"Hahn, Martin W.; Schmidt, Johanna; Taipale, Sami J.; Doolittle, W. Ford; Koll, Ulrike",1466-5026,1466-5034,NA,NA,WOS:000344912300049
109,109,primary data,NA,"Vijverberg, J; Dejen, E; Getahun, A; Nagelkerke, LAJ","Zooplankton, fish communities and the role of planktivory in nine Ethiopian lakes",HYDROBIOLOGIA,2014,722,1,45,60,10.1007/s10750-013-1674-7,"Vijverberg, Jacobus; Dejen, Eshete; Getahun, Abebe; Nagelkerke, Leopold A. J.",0018-8158,1573-5117,NA,NA,WOS:000327405400005
112,112,primary data,NA,"Shatwell, T; Köhler, J; Nicklisch, A",Temperature and photoperiod interactions with silicon-limited growth and competition of two diatoms,JOURNAL OF PLANKTON RESEARCH,2013,35,5,957,971,10.1093/plankt/fbt058,"Shatwell, Tom; Koehler, Jan; Nicklisch, Andreas",0142-7873,1464-3774,NA,NA,WOS:000323966900003
113,113,primary data,NA,"Burns, CW","Predictors of invasion success by Daphnia species: influence of food, temperature and species identity",BIOLOGICAL INVASIONS,2013,15,4,859,869,10.1007/s10530-012-0335-5,"Burns, Carolyn W.",1387-3547,1573-1464,NA,NA,WOS:000316200700013
114,114,primary data,NA,"Rolinski, S; Pätz, P; Papendick, K; Jähnichen, S; Scheifhacken, N",Phytoplankton appearance in particle size spectra - Deriving conversion functions between microscopic and particle counter measurements,WATER RESEARCH,2013,47,5,1928,1940,10.1016/j.watres.2013.01.024,"Rolinski, Susanne; Paetz, Patricia; Papendick, Katrin; Jaehnichen, Sabine; Scheifhacken, Nicole",0043-1354,NA,NA,NA,WOS:000315543100021
115,115,primary data,NA,"Todaro, MA; Perissinotto, R; Bownes, SJ","Neogosseidae (Gastrotricha, Chaetonotida) from the iSimangaliso Wetland Park, KwaZulu-Natal, South Africa",ZOOKEYS,2013,NA,315,77,94,10.3897/zookeys.315.5593,"Antonio Todaro, M.; Perissinotto, Renzo; Bownes, Sarah J.",1313-2989,1313-2970,NA,NA,WOS:000321609900005
116,116,primary data,NA,"Bozkurt, A; Çelik, K; Sevindik, TO",SEASONAL VARIATIONS IN THE LENGTH OF ZOOPLANKTON RELATED TO CERTAIN PHYSICOCHEMICAL VARIABLES IN TWO FRESHWATER RESERVOIRS,CRUSTACEANA,2012,85,4-5,447,462,10.1163/156854012X634401,"Bozkurt, Ahmet; Celik, Kemal; Sevindik, Tugba Ongun",0011-216X,1568-5403,NA,NA,WOS:000305928900004
117,117,primary data,NA,"Kumar, R; Souissi, S; Hwang, JS",Vulnerability of carp larvae to copepod predation as a function of larval age and body length,AQUACULTURE,2012,338,NA,274,283,10.1016/j.aquaculture.2012.01.001,"Kumar, Ram; Souissi, Sami; Hwang, Jiang-Shiou",0044-8486,1873-5622,NA,NA,WOS:000304290700036
118,118,primary data,NA,"Hahn, MW; Minasyan, A; Lang, E; Koll, U; Spröer, C","Polynucleobacter difficilis sp nov., a planktonic freshwater bacterium affiliated with subcluster B1 of the genus Polynucleobacter",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2012,62,NA,376,383,10.1099/ijs.0.031393-0,"Hahn, Martin W.; Minasyan, Arevik; Lang, Elke; Koll, Ulrike; Sproeer, Catrin",1466-5026,1466-5034,NA,NA,WOS:000300861600019
120,120,primary data,NA,"Reiss, J; Schmid-Araya, JM","Feeding response of a benthic copepod to ciliate prey type, prey concentration and habitat complexity",FRESHWATER BIOLOGY,2011,56,8,1519,1530,10.1111/j.1365-2427.2011.02590.x,"Reiss, Julia; Schmid-Araya, Jenny M.",0046-5070,1365-2427,NA,NA,WOS:000292446700005
121,121,primary data,NA,"Liu, LP; Li, K; Chen, TY; Dai, XL; Jiang, M; Diana, JS",Effects of Microcystis aeruginosa on life history of water flea Daphnia magna,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,2011,29,4,892,897,10.1007/s00343-011-0518-4,"Liu Liping; Li Kang; Chen Taoying; Dai Xilin; Jiang Min; Diana, James S.",0254-4059,1993-5005,NA,NA,WOS:000292558700018
122,122,primary data,NA,"Yen, J; Sehn, JK; Catton, K; Kramer, A; Sarnelle, O",Pheromone trail following in three dimensions by the freshwater copepod Hesperodiaptomus shoshone,JOURNAL OF PLANKTON RESEARCH,2011,33,6,907,916,10.1093/plankt/fbq164,"Yen, Jeannette; Sehn, Jennifer K.; Catton, Kimberly; Kramer, Andrew; Sarnelle, Orlando",0142-7873,1464-3774,NA,NA,WOS:000290394300006
123,123,primary data,NA,"Hahn, MW; Lang, E; Tarao, M; Brandt, U","Polynucleobacter rarus sp. nov., a free-living planktonic bacterium isolated from an acidic lake",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2011,61,NA,781,787,10.1099/ijs.0.017350-0,"Hahn, Martin W.; Lang, Elke; Tarao, Mitsunori; Brandt, Ulrike",1466-5026,NA,NA,NA,WOS:000290135000015
124,124,primary data,NA,"Hahn, MW; Lang, E; Brandt, U; Spröer, C","Polynucleobacter acidiphobus sp. nov., a representative of an abundant group of planktonic freshwater bacteria",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2011,61,NA,788,794,10.1099/ijs.0.023929-0,"Hahn, Martin W.; Lang, Eike; Brandt, Ulrike; Sproeer, Cathrin",1466-5026,1466-5034,NA,NA,WOS:000290135000016
125,125,primary data,NA,"Kramer, AM; Sarnelle, O; Yen, J",The effect of mating behavior and temperature variation on the critical population density of a freshwater copepod,LIMNOLOGY AND OCEANOGRAPHY,2011,56,2,707,715,10.4319/lo.2011.56.2.0707,"Kramer, Andrew M.; Sarnelle, Orlando; Yen, Jeannette",0024-3590,1939-5590,NA,NA,WOS:000290677800025
126,126,primary data,NA,"Silva-Briano, M; Suárez-Morales, E; Ortiz, AA; Reyes-Flores, M","Two species of Mastigodiaptomus (Copepoda: Diaptomidae), hosts of the epibiotic ciliate Trichodina diaptomi (Peritricha) in North America",JOURNAL OF LIMNOLOGY,2011,70,2,329,333,10.4081/jlimnol.2011.329,"Silva-Briano, Marcelo; Suarez-Morales, Eduardo; Adabache Ortiz, Araceli; Reyes-Flores, Montserrat",1129-5767,1723-8633,NA,NA,WOS:000294320400020
127,127,primary data,NA,"Kasalicky, V; Jezbera, J; Simek, K; Hahn, MW","Limnohabitans planktonicus sp nov and Limnohabitans parvus sp nov., planktonic betaproteobacteria isolated from a freshwater reservoir, and emended description of the genus Limnohabitans",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2010,60,NA,2710,2714,10.1099/ijs.0.018952-0,"Kasalicky, Vojtech; Jezbera, Jan; Simek, Karel; Hahn, Martin W.",1466-5026,1466-5034,NA,NA,WOS:000286169100003
128,128,primary data,NA,"Mano, H; Sakamoto, M; Tanaka, Y",A comparative study of insecticide toxicity among seven cladoceran species,ECOTOXICOLOGY,2010,19,8,1620,1625,10.1007/s10646-010-0547-3,"Mano, Hiroyuki; Sakamoto, Masaki; Tanaka, Yoshinari",0963-9292,1573-3017,NA,NA,WOS:000284363800025
129,129,primary data,NA,"Yin, XW; Liu, PF; Zhu, SS; Chen, XX",Food selectivity of the herbivore Daphnia magna (Cladocera) and its impact on competition outcome between two freshwater green algae,HYDROBIOLOGIA,2010,655,1,15,23,10.1007/s10750-010-0399-0,"Yin, Xu Wang; Liu, Peng Fei; Zhu, Sha Sha; Chen, Xiao Xia",0018-8158,1573-5117,NA,NA,WOS:000282179900002
130,130,primary data,NA,"Rojo, C; Salazar, G",Why are there so many kinds of planktonic consumers? The answer lies in the allometric diet breadth,HYDROBIOLOGIA,2010,653,1,91,102,10.1007/s10750-010-0346-0,"Rojo, Carmen; Salazar, Guillem",0018-8158,NA,NA,NA,WOS:000280092100008
131,131,primary data,NA,"Hahn, MW; Kasalicky, V; Jezbera, J; Brandt, U; Jezberová, J; Simek, K","Limnohabitans curvus gen. nov., sp nov., a planktonic bacterium isolated from a freshwater lake",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2010,60,NA,1358,1365,10.1099/ijs.0.013292-0,"Hahn, Martin W.; Kasalicky, Vojtech; Jezbera, Jan; Brandt, Ulrike; Jezberova, Jitka; Simek, Karel",1466-5026,NA,NA,NA,WOS:000279369100019
133,133,primary data,NA,"Sakamoto, M; Hanazato, T; Tanaka, Y","Impact of an Insecticide on Persistence of Inherent Antipredator Morphology of a Small Cladoceran, Bosmina",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,2009,57,1,68,76,10.1007/s00244-008-9247-x,"Sakamoto, Masaki; Hanazato, Takayuki; Tanaka, Yoshinari",0090-4341,1432-0703,NA,NA,WOS:000266266200008
134,134,primary data,NA,"Ki, JS; Cho, SY; Katano, T; Jung, SW; Lee, J; Park, BS; Kang, SH; Han, MS","Comprehensive comparisons of three pennate diatoms, Diatoma tenuae, Fragilaria vaucheriae, and Navicula pelliculosa, isolated from summer Arctic reservoirs (Svalbard 79A°N), by fine-scale morphology and nuclear 18S ribosomal DNA",POLAR BIOLOGY,2009,32,2,147,159,10.1007/s00300-008-0514-0,"Ki, Jang-Seu; Cho, Soo-Yeon; Katano, Toshiya; Jung, Seung Won; Lee, Juyun; Park, Bum Soo; Kang, Sung-Ho; Han, Myung-Soo",0722-4060,1432-2056,NA,NA,WOS:000262439300002
138,138,primary data,NA,"Matthews, B; Mazumder, A",Detecting trophic-level variation in consumer assemblages,FRESHWATER BIOLOGY,2008,53,10,1942,1953,10.1111/j.1365-2427.2008.02018.x,"Matthews, Blake; Mazumder, Asit",0046-5070,NA,NA,NA,WOS:000259148200003
140,140,primary data,NA,"Rowe, CL; Adamowicz, SJ; Hebert, PDN","Three new cryptic species of the freshwater zooplankton genus Holopedium (Crustacea: Branchiopoda: Ctenopoda), revealed by genetic methods",ZOOTAXA,2007,NA,1656,1,49,10.11646/zootaxa.1656.1.1,"Rowe, Chad L.; Adamowicz, Sarah J.; Hebert, Paul D. N.",1175-5326,1175-5334,NA,NA,WOS:000251533200001
141,141,primary data,NA,"Sigee, DC; Bahram, F; Estrada, B; Webster, RE; Dean, AP",The influence of phosphorus availability on carbon allocation and P quota in Scenedesmus subspicatus:: A synchrotron-based FTIR analysis,PHYCOLOGIA,2007,46,5,583,592,10.2216/07-14.1,"Sigee, David Charles; Bahram, Fariba; Estrada, Beatriz; Webster, Rachel Elizabeth; Dean, Andrew Peter",0031-8884,NA,NA,NA,WOS:000249353600009
142,142,primary data,NA,"Pannard, A; Bormans, M; Lefebvre, S; Claquin, P; Lagadeuc, Y",Phytoplankton size distribution and community structure: influence of nutrient input and sedimentary loss,JOURNAL OF PLANKTON RESEARCH,2007,29,7,583,598,10.1093/plankt/fbm040,"Pannard, Alexandrine; Bormans, Myriam; Lefebvre, Sebastien; Claquin, Pascal; Lagadeuc, Yvan",0142-7873,1464-3774,NA,NA,WOS:000248086500002
143,143,primary data,NA,"Jezberová, J; Komárková, J",Morphometry and growth of three Synechococcus-like picoplanktic cyanobacteria at different culture conditions,HYDROBIOLOGIA,2007,578,1,17,27,10.1007/s10750-006-0429-0,"Jezberova, Jitka; Komarkova, Jaroslava",0018-8158,1573-5117,NA,NA,WOS:000244308300003
146,146,primary data,NA,"Bittencourt-Oliveira, MD; Moura, AD; Gouvea-Barros, S; Pinto, E","HIP1 DNA fingerprinting in Microcystis panniformis (Chroococcales, Cyanobacteria)",PHYCOLOGIA,2007,46,1,3,9,10.2216/06-01.1,"Bittencourt-Oliveira, Maria Do Carmo; Moura, Ariadne Do Nascimento; Gouvea-Barros, Selma; Pinto, Ernani",0031-8884,NA,NA,NA,WOS:000243447300002
148,148,primary data,NA,"Weisse, T; Stadler, P","Effect of pH on growth, cell volume, and production of freshwater ciliates, and implications for their distribution",LIMNOLOGY AND OCEANOGRAPHY,2006,51,4,1708,1715,10.4319/lo.2006.51.4.1708,"Weisse, Thomas; Stadler, Peter",0024-3590,NA,NA,NA,WOS:000239262200015
149,149,primary data,NA,"Passarge, J; Hol, S; Escher, M; Huisman, J","Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion?",ECOLOGICAL MONOGRAPHS,2006,76,1,57,72,10.1890/04-1824,"Passarge, J; Hol, S; Escher, M; Huisman, J",0012-9615,1557-7015,NA,NA,WOS:000236562100005
151,151,primary data,NA,"Kuczynska-Kippen, N","On body size and habitat selection in rotifers in a macrophye-dominated lake Budzynskie, Poland",AQUATIC ECOLOGY,2005,39,4,447,454,10.1007/s10452-005-9003-5,"Kuczynska-Kippen, N",1386-2588,1573-5125,NA,NA,WOS:000233733400006
152,152,primary data,NA,"Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L",Change in cyanobacterial biovolume due to preservation by Lugol's Iodine,HARMFUL ALGAE,2005,4,6,1033,1043,10.1016/j.hal.2005.03.001,"Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L",1568-9883,1878-1470,NA,NA,WOS:000233325900007
153,153,primary data,NA,"Jankowski, T; Strauss, T; Ratte, HT",Trophic interactions of the freshwater jellyfish Craspedacusta sowerbii,JOURNAL OF PLANKTON RESEARCH,2005,27,8,811,823,10.1093/plankt/fbi055,"Jankowski, T; Strauss, T; Ratte, HT",0142-7873,NA,NA,NA,WOS:000232593000009
157,157,primary data,NA,"Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO",Phenotypic plasticity in Scenedesmus incrassatulus (Chlorophyceae) in response to heavy metals stress,CHEMOSPHERE,2004,57,11,1629,1636,10.1016/j.chemosphere.2004.06.041,"Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO",0045-6535,1879-1298,NA,NA,WOS:000225053400006
159,159,primary data,NA,"Boenigk, J; Stadler, P; Wiedlroither, A; Hahn, MW",Strain-specific differences in the grazing sensitivities of closely related ultramicrobacteria affiliated with the Polynucleobacter cluster,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2004,70,10,5787,5793,10.1128/AEM.70.10.5787-5793.2004,"Boenigk, J; Stadler, P; Wiedlroither, A; Hahn, MW",0099-2240,NA,NA,NA,WOS:000224356200010
160,160,primary data,NA,"Mueller, CR; Eversole, AG; Turker, H; Brune, DE",Effect of silver carp Hypophthalmichthys molitrix and freshwater mussel Elliptio complanata filtration on the phytoplankton community of Partitioned Aquaculture System units,JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2004,35,3,372,382,10.1111/j.1749-7345.2004.tb00101.x,"Mueller, CR; Eversole, AG; Turker, H; Brune, DE",0893-8849,NA,NA,NA,WOS:000223960100008
162,162,primary data,NA,"Carotenuto, Y; Lampert, W",Ingestion and incorporation of freshwater diatoms by Daphnia pulicaria:: do morphology and oxylipin production matter?,JOURNAL OF PLANKTON RESEARCH,2004,26,5,563,569,10.1093/plankt/fbh053,"Carotenuto, Y; Lampert, W",0142-7873,1464-3774,NA,NA,WOS:000221296000006
163,163,primary data,NA,"Lemke, AM; Stoeckel, JA; Pegg, MA",Utilization of the exotic cladoceran Daphnia lumholtzi by juvenile fishes in an Illinois River floodplain lake,JOURNAL OF FISH BIOLOGY,2003,62,4,938,954,10.1046/j.1095-8649.2003.00090.x,"Lemke, AM; Stoeckel, JA; Pegg, MA",0022-1112,1095-8649,NA,NA,WOS:000185632100016
165,165,primary data,NA,"Mages, M; Woelfl, S; von Tümpling, W",A method for trace element determination of single Daphnia specimens using total reflection X-ray fluorescence spectrometry,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,2001,56,11,2209,2217,10.1016/S0584-8547(01)00325-1,"Mages, M; Woelfl, S; von Tümpling, W",0584-8547,NA,NA,NA,WOS:000172711200025
167,167,primary data,NA,"Jahan, N; Alam, MGM; Sugiura, N; Norman, CP; Maekawa, T",Seasonal variation in frequency of dividing cells of freshwater phytoplankters,ENVIRONMENTAL TECHNOLOGY,2001,22,4,429,438,10.1080/09593332208618267,"Jahan, N; Alam, MGM; Sugiura, N; Norman, CP; Maekawa, T",0959-3330,1479-487X,NA,NA,WOS:000168506200007
168,168,primary data,NA,"Gosselain, V; Hamilton, PB; Descy, JP",Estimating phytoplankton carbon from microscopic counts: an application for riverine systems,HYDROBIOLOGIA,2000,438,1-3,75,90,10.1023/A:1004161928957,"Gosselain, V; Hamilton, PB; Descy, JP",0018-8158,1573-5117,NA,NA,WOS:000166048100006
172,172,primary data,NA,"Cecchine, G; Snell, TW",Toxicant exposure increases threshold food levels in freshwater rotifer populations,ENVIRONMENTAL TOXICOLOGY,1999,14,5,523,530,10.1002/(SICI)1522-7278(199912)14:5<523::AID-TOX6>3.0.CO;2-2,"Cecchine, G; Snell, TW",1520-4081,NA,NA,NA,WOS:000083912000006
173,173,primary data,NA,"Dudycha, JL; Tessier, AJ","Natural genetic variation of life span, reproduction, and juvenile growth in Daphnia",EVOLUTION,1999,53,6,1744,1756,10.1111/j.1558-5646.1999.tb04559.x,"Dudycha, JL; Tessier, AJ",0014-3820,1558-5646,NA,NA,WOS:000084703100010
174,174,primary data,NA,"Pfister, G; Sonntag, B; Posch, T",Comparison of a direct live count and an improved quantitative protargol stain (QPS) in determining abundance and cell volumes of pelagic freshwater protozoa,AQUATIC MICROBIAL ECOLOGY,1999,18,1,95,103,10.3354/ame018095,"Pfister, G; Sonntag, B; Posch, T",0948-3055,1616-1564,NA,NA,WOS:000081787900009
176,176,primary data,NA,"Twombly, S; Clancy, N; Burns, CW",Life history consequences of food quality in the freshwater copepod Boeckella triarticulata,ECOLOGY,1998,79,5,1711,1724,10.1890/0012-9658(1998)079[1711:LHCOFQ]2.0.CO;2,"Twombly, S; Clancy, N; Burns, CW",0012-9658,1939-9170,NA,NA,WOS:000074853000021
178,178,primary data,NA,"Kawabata, K; Urabe, J",Length-weight relationships of eight freshwater planktonic crustacean species in Japan,FRESHWATER BIOLOGY,1998,39,2,199,205,10.1046/j.1365-2427.1998.00267.x,"Kawabata, K; Urabe, J",0046-5070,1365-2427,NA,NA,WOS:000072885600001
179,179,primary data,NA,"Ryan, SM; Dodson, SI",Seasonal analysis of Daphnia pulicaria swimming behavior,HYDROBIOLOGIA,1998,384,NA,111,118,10.1023/A:1003295210747,"Ryan, SM; Dodson, SI",0018-8158,NA,NA,NA,WOS:000078947900011
180,180,primary data,NA,"Telesh, IV; Rahkola, M; Viljanen, M",Carbon content of some freshwater rotifers,HYDROBIOLOGIA,1998,387,NA,355,360,10.1023/A:1017092021816,"Telesh, IV; Rahkola, M; Viljanen, M",0018-8158,NA,NA,NA,WOS:000080234300049
182,182,primary data,NA,"Weisse, T; Kirchhoff, B",Feeding of the heterotrophic freshwater dinoflagellate Peridiniopsis berolinense on cryptophytes: Analysis by flow cytometry and electronic particle counting,AQUATIC MICROBIAL ECOLOGY,1997,12,2,153,164,10.3354/ame012153,"Weisse, T; Kirchhoff, B",0948-3055,1616-1564,NA,NA,WOS:A1997WV12000006
185,185,primary data,NA,"Macek, M; Simek, K; Pernthaler, J; Vyhnalek, V; Psenner, R",Growth rates of dominant planktonic ciliates in two freshwater bodies of different trophic degree,JOURNAL OF PLANKTON RESEARCH,1996,18,4,463,481,10.1093/plankt/18.4.463,"Macek, M; Simek, K; Pernthaler, J; Vyhnalek, V; Psenner, R",0142-7873,1464-3774,NA,NA,WOS:A1996UF93600001
189,189,primary data,NA,"HART, RC; JARVIS, AC",INSITU DETERMINATIONS OF BACTERIAL SELECTIVITY AND FILTRATION-RATES BY 5 CLADOCERAN ZOOPLANKTERS IN A HYPERTROPHIC SUBTROPICAL RESERVOIR,JOURNAL OF PLANKTON RESEARCH,1993,15,3,295,315,10.1093/plankt/15.3.295,"HART, RC; JARVIS, AC",0142-7873,NA,NA,NA,WOS:A1993KP15500003
191,191,primary data,NA,"MULLER, H; GELLER, W",MAXIMUM GROWTH-RATES OF AQUATIC CILIATED PROTOZOA - THE DEPENDENCE ON BODY SIZE AND TEMPERATURE RECONSIDERED,ARCHIV FUR HYDROBIOLOGIE,1993,126,3,315,327,10.1127/archiv-hydrobiol/126/1993/315,"MULLER, H; GELLER, W",0003-9136,NA,NA,NA,WOS:A1993KN29800004
192,192,primary data,NA,"VAQUE, D; PACE, ML",GRAZING ON BACTERIA BY FLAGELLATES AND CLADOCERANS IN LAKES OF CONTRASTING FOOD-WEB STRUCTURE,JOURNAL OF PLANKTON RESEARCH,1992,14,2,307,321,10.1093/plankt/14.2.307,"VAQUE, D; PACE, ML",0142-7873,1464-3774,NA,NA,WOS:A1992HD36600009
193,193,primary data,NA,"SHERR, EB; SHERR, BF; BERMAN, T; HADAS, O","HIGH ABUNDANCE OF PICOPLANKTON-INGESTING CILIATES DURING LATE FALL IN LAKE KINNERET, ISRAEL",JOURNAL OF PLANKTON RESEARCH,1991,13,4,789,799,10.1093/plankt/13.4.789,"SHERR, EB; SHERR, BF; BERMAN, T; HADAS, O",0142-7873,1464-3774,NA,NA,WOS:A1991FV24100008
194,194,primary data,NA,"MACISAAC, HJ; GILBERT, JJ",DISCRIMINATION BETWEEN EXPLOITATIVE AND INTERFERENCE COMPETITION BETWEEN CLADOCERA AND KERATELLA-COCHLEARIS,ECOLOGY,1991,72,3,924,937,10.2307/1940594,"MACISAAC, HJ; GILBERT, JJ",0012-9658,1939-9170,NA,NA,WOS:A1991FM08400016
195,195,primary data,NA,"CHOWFRASER, P; MALY, EJ","FACTORS GOVERNING CLUTCH SIZE IN 2 SPECIES OF DIAPTOMUS (COPEPODA, CALANOIDA)",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1991,48,3,364,370,10.1139/f91-048,"CHOWFRASER, P; MALY, EJ",0706-652X,NA,NA,NA,WOS:A1991EZ78800003
196,196,primary data,NA,"GIANI, A",IMPLICATIONS OF PHYTOPLANKTON CHEMICAL-COMPOSITION FOR ZOOPLANKTON PRODUCTION - EXPERIMENTAL-EVIDENCE,OECOLOGIA,1991,87,3,409,416,10.1007/BF00634599,"GIANI, A",0029-8549,NA,NA,NA,WOS:A1991GA27000016
198,198,primary data,NA,"ROCHA, O; DUNCAN, A",THE RELATIONSHIP BETWEEN CELL CARBON AND CELL-VOLUME IN FRESH-WATER ALGAL SPECIES USED IN ZOOPLANKTONIC STUDIES,JOURNAL OF PLANKTON RESEARCH,1985,7,2,279,294,10.1093/plankt/7.2.279,"ROCHA, O; DUNCAN, A",0142-7873,1464-3774,NA,NA,WOS:A1985AFD3900010
