"","paper","doi"
"13","Tamar H. : Four marine species of Mesodinium (Ciliophora: Mesodiniidae) II. Mesodinium pulex Clap. & Lachm., 1858, Arch. fЋr Protistenkd., 1992, 141(4), 284-303, doi: 10.1016/S0003-9365(11)80058-8","10.1016/S0003-9365(11)80058-8"
"14","Çapar S. : Morphology and morphometry of Bresslauides pratensis n. sp., a new soil ciliate (Ciliophora, Colpodea) from Turkey, European Journal of Protistology, 2012, 48(3), 252-260, doi: 10.1016/j.ejop.2012.01.006","10.1016/j.ejop.2012.01.006"
"15","Foissner W. : Tropical Protozoan Diversity: 80 Ciliate Species (Protozoa, Ciliophora) in a Soil Sample from a Tropical Dry Forest of Costa Rica, with Descriptions of four New Genera and seven New Species, Archiv für Protistenkunde, 1995, 145(1-2), 37-79, doi: 10.1016/s0003-9365(11)80300-3","10.1016/s0003-9365(11)80300-3"
"16","Foissner W., Bourland W., Wolf K., Stoeck T., Dunthorn M. : New SSU-rDNA sequences for eleven colpodeans (Ciliophora, Colpodea) and description of Apocyrtolophosis nov. gen, European Journal of Protistology, 2014, 50(1), 40-46, doi: 10.1016/j.ejop.2013.09.003","10.1016/j.ejop.2013.09.003"
"17","Dunthorn M., Klier J., Bunge J., Stoeck T. : Comparing the Hyper-Variable V4 and V9 Regions of the Small Subunit rDNA for Assessment of Ciliate Environmental Diversity, Journal of Eukaryotic Microbiology, 2012, 59(2), 185-187, doi: 10.1111/j.1550-7408.2011.00602.x","10.1111/j.1550-7408.2011.00602.x"
"18","Bourland W., Hampikian G., Vďačný P. : Morphology and phylogeny of a new woodruffiid ciliate, Etoschophrya inornata sp. n. (Ciliophora, Colpodea, Platyophryida), with an account on evolution of platyophryids, Zoologica Scripta, 2012, 41(4), 400-416, doi: 10.1111/j.1463-6409.2012.00539.x","10.1111/j.1463-6409.2012.00539.x"
"19","Shazib S., Vďačný P., Kim J., Jang S., Shin M. : Molecular phylogeny and species delimitation within the ciliate genus Spirostomum (Ciliophora, Postciliodesmatophora, Heterotrichea), using the internal transcribed spacer region, Molecular Phylogenetics and Evolution, 2016, 102, 128-144, doi: 10.1016/j.ympev.2016.05.041","10.1016/j.ympev.2016.05.041"
"20","Xu Y., Pan H., Miao M., Hu X., Al-Farraj S., Al-Rasheid K., Song W. : Morphology and Phylogeny of Two Species ofLoxodes(Ciliophora, Karyorelictea), with Description of a New Subspecies,Loxodes striatus orientalissubsp. n., Journal of Eukaryotic Microbiology, 2014, 62(2), 206-216, doi: 10.1111/jeu.12162","10.1111/jeu.12162"
"21","Şenler N., Yildiz İ. : Morphology and Infraciliature of Some Haptorid Ciliates (Protista, Ciliophora, Haptoria) in Alkaline Soil Samples of Van (Turkey), with Notes on the Ontogenesis of Enchelyodon nodosus Berger, Foissner &amp; Adam, 1984, Turkish Journal of Zoology, 2009, doi: 10.3906/zoo-0802-10","10.3906/zoo-0802-10"
"22","Vďačný P., Orsi W., Bourland W., Shimano S., Epstein S., Foissner W. : Morphological and molecular phylogeny of dileptid and tracheliid ciliates: Resolution at the base of the class Litostomatea (Ciliophora, Rhynchostomatia), European Journal of Protistology, 2011, 47(4), 295-313, doi: 10.1016/j.ejop.2011.04.006","10.1016/j.ejop.2011.04.006"
"23","Foissner W. : Description of Glaucomides bromelicola n. gen., n. sp. (Ciliophora, Tetrahymenida), a Macrostome Forming Inhabitant of Bromeliads (Bromeliaceae), Including Redescriptions of Glaucoma scintillans and G. reniformis, Journal of Eukaryotic Microbiology, 2013, 60(2), 137-157, doi: 10.1111/jeu.12016","10.1111/jeu.12016"
"24","Ruehle M., Orias E., Pearson C. : Tetrahymenaas a Unicellular Model Eukaryote: Genetic and Genomic Tools, Genetics, 2016, 203(2), 649-665, doi: 10.1534/genetics.114.169748","10.1534/genetics.114.169748"
"25","Burlakova L., Karatayev A., Molloy D. : Field and Laboratory Studies of Zebra Mussel (Dreissena polymorpha) Infection by the CiliateConchophthirus acuminatusin the Republic of Belarus, Journal of Invertebrate Pathology, 1998, 71(3), 251-257, doi: 10.1006/jipa.1997.4728","10.1006/jipa.1997.4728"
"26","Fan X., Al-Farraj S., Gao F., Gu F. : Morphological reports on two species of Dexiotricha (Ciliophora, Scuticociliatia), with a note on the phylogenetic position of the genus, International Journal of Systematic and Evolutionary Microbiology, 2014, 64(Pt_2), 680-688, doi: 10.1099/ijs.0.059899-0","10.1099/ijs.0.059899-0"
"27","Long H., Song W., Al-Rasheid K., Wang Y., Yi Z., Al-Quraishy S., Lin X., Al-Farraj S. : Taxonomic studies on three marine species of Frontonia from northern China: F. didieri n. sp., F. multinucleata n. sp. and F. tchibisovae Burkovsky, 1970 (Ciliophora: Peniculida), Zootaxa, 2008, 1687(1), 35, doi: 10.11646/zootaxa.1687.1.2","10.11646/zootaxa.1687.1.2"
"28","Aufderheide K. : Paramecia, Encyclopedia of Genetics, 2001, 1411-1414, doi: 10.1006/rwgn.2001.0952","10.1006/rwgn.2001.0952"
"29","Wellborn T. : Trichodina(Ciliata: Urceolariidae) of Freshwater Fishes of the Southeastern United States*, The Journal of Protozoology, 1967, 14(3), 399-412, doi: 10.1111/j.1550-7408.1967.tb02017.x","10.1111/j.1550-7408.1967.tb02017.x"
"30","Zhou T., Wang Z., Yang H., Gu Z. : Morphological and molecular identification of epibiontic sessilid Epistylis semiciculus n. sp. (ciliophora, Peritrichia) from Procambarus clarkia (Crustacea, Decapoda) in China, International Journal for Parasitology: Parasites and Wildlife, 2019, 10, 289-298, doi: 10.1016/j.ijppaw.2019.09.006","10.1016/j.ijppaw.2019.09.006"
"31","Martín-Cereceda M., Guinea A., Bonaccorso E., Dyal P., Novarino G., Foissner W. : Classification of the peritrich ciliate Opisthonecta matiensis (Martín-Cereceda et al. 1999) as Telotrochidium matiense nov. comb., based on new observations and SSU rDNA phylogeny, European Journal of Protistology, 2007, 43(4), 265-279, doi: 10.1016/j.ejop.2007.04.003","10.1016/j.ejop.2007.04.003"
"32","Hu X., Warren A., Song W. : Stomatogenesis and morphological re-description of the marine ciliate, Philasterides armatalis (Protozoa: Ciliophora: Scuticociliatida), Journal of the Marine Biological Association of the United Kingdom, 2008, 88(1), 29-34, doi: 10.1017/s0025315408000088","10.1017/s0025315408000088"
"33","Foissner W., Kusuoka Y., Shimano S. : Morphological and molecular characterization of Histiobalantium natans viridis (Ciliophora, Scuticociliatia), European Journal of Protistology, 2009, 45(3), 193-204, doi: 10.1016/j.ejop.2008.11.003","10.1016/j.ejop.2008.11.003"
"34","Fan X., Xu Y., Jiang J., Al-Rasheid KA., Wang Y., Hu X. : Morphological descriptions of five scuticociliates including one new species of Falcicyclidium, European Journal of Protistology, 2017, 59, 34-49, doi: 10.1016/j.ejop.2017.03.003","10.1016/j.ejop.2017.03.003"
"35","Song W., Wilbert N. : Reinvestigations of Three “Well-known” Marine Scuticociliates: Uronemella filificum (Kahl, 1931) nov. gen., nov. comb., Pseud cohnilembus hargisi Evans &amp; Thompson, 1964 and Cyclidium citrullus Cohn 1865, with Description of the New Genus Uronemella (Protozoa, Ciliophora, Scuticociliatida), Zoologischer Anzeiger - A Journal of Comparative Zoology, 2002, 241(4), 317-331, doi: 10.1078/0044-5231-00075","10.1078/0044-5231-00075"
"36","Goosen N., Wagener S., Stumm C. : A comparison of two strains of the anaerobic ciliate Trimyema compressum, Archives of Microbiology, 1990, 153(2), 187-192, doi: 10.1007/bf00247819","10.1007/bf00247819"
"37","Chen X., Wang Y., Long H., Al-Rasheid K., Warren A., Song W. : Morphological studies on two marine colepid ciliates from Qingdao, China, Nolandia orientalis spec. nov. and Pinacocoleps similis (Kahl, 1933) comb. nov. (Ciliophora, Colepidae), European Journal of Protistology, 2010, 46(4), 254-262, doi: 10.1016/j.ejop.2010.06.002","10.1016/j.ejop.2010.06.002"
"38","Leipe D. : Prorodon spirogyrophagus nov. spec. (Ciliophora, Prostomatea): Morphology, infraciliature and food-uptake, European Journal of Protistology, 1989, 24(4), 392-401, doi: 10.1016/s0932-4739(89)80009-4","10.1016/s0932-4739(89)80009-4"
"39","Liu W., Yi Z., Lin X., Warren A., Song W. : Phylogeny of three choreotrich genera (Protozoa, Ciliophora, Spirotrichea), with morphological, morphogenetic and molecular investigations on three strobilidiid species, Zoologica Scripta, 2012, 41(4), 417-434, doi: 10.1111/j.1463-6409.2012.00542.x","10.1111/j.1463-6409.2012.00542.x"
"40","Ueyama S., Katsumaru H., Suzaki T., Nakaoka Y. : Halteria grandinella: A rapid swimming ciliate with a high frequency of ciliary beating, Cell Motility and the Cytoskeleton, 2005, 60(4), 214-221, doi: 10.1002/cm.20056","10.1002/cm.20056"
"41","Park K., Min G., Kim S. : Morphology and phylogeny of a new species, Uroleptus (Caudiholosticha) antarctica n. sp. (Ciliophora, Hypotricha) from Greenwich Island in Antarctica, Zootaxa, 2018, 4483(3), 591, doi: 10.11646/zootaxa.4483.3.10","10.11646/zootaxa.4483.3.10"
"42","Song W., Pan B., El‐Serehy H., Al‐Farraj S., Liu W., Li L. : Morphology and Molecular Phylogeny of Two Freshwater Oligotrich Ciliates (Protozoa, Ciliophora, Oligotrichia), Pelagostrombidium fallax (Zacharias, 1895) Krainer, 1991 and Limnostrombidium viride (Stein, 1867) Krainer, 1995, with Brief Notes on Stomatogenesis, Journal of Eukaryotic Microbiology, 2019, 67(2), 232-244, doi: 10.1111/jeu.12777","10.1111/jeu.12777"
"43","Hilliard D. : Tintinnidium ephemeridum n. sp. A new freshwater tintinnid from Alaska with notes on the algae attached to its test, Hydrobiologia, 1968, 31(3-4), 385-401, doi: 10.1007/bf00134440","10.1007/bf00134440"
"44","Pandeirada M., Craveiro S., Daugbjerg N., Moestrup Ø., Domingues P., Calado A. : Studies on Woloszynskioid Dinoflagellates X: Ultrastructure, Phylogeny and Colour Variation in Tovellia rubescens n. sp. (Dinophyceae), Journal of Eukaryotic Microbiology, 2019, 66(6), 937-953, doi: 10.1111/jeu.12745","10.1111/jeu.12745"
"45","Carty S. : DINOFLAGELLATES, Freshwater Algae of North America, 2003, 685-714, doi: 10.1016/b978-012741550-5/50021-0","10.1016/b978-012741550-5/50021-0"
"46","Gómez F., Moreira D., & López-García P. (2009). Life cycle and molecular phylogeny of the dinoflagellates Chytriodinium and Dissodinium, ectoparasites of copepod eggs. European Journal of Protistology, 45(4), 260–270. doi: 10.1016/j.ejop.2009.05.004","10.1016/j.ejop.2009.05.004"
"47","Hinners J., Kremp A., Hense I. : Evolution in temperature-dependent phytoplankton traits revealed from a sediment archive: do reaction norms tell the whole story?, Proceedings of the Royal Society B: Biological Sciences, 2017, 284(1864), 20171888, doi: 10.1098/rspb.2017.1888","10.1098/rspb.2017.1888"
"48","Steidinger K., Burkholder J., Glasgow H., Hobbs C., Garrett J., Truby E., Noga E., Smith S. : PFIESTERIA PISCICIDA GEN. ET SP. NOV. (PFIESTERIACEAE FAM. NOV.), A NEW TOXIC DINOFLAGELLATE WITH A COMPLEX LIFE CYCLE AND BEHAVIOR1, Journal of Phycology, 1996, 32(1), 157-164, doi: 10.1111/j.0022-3646.1996.00157.x","10.1111/j.0022-3646.1996.00157.x"
"49","Hoppenrath M., Chomérat N., Horiguchi T., Schweikert M., Nagahama Y., Murray S. : Taxonomy and phylogeny of the benthic Prorocentrum species (Dinophyceae)—A proposal and review, Harmful Algae, 2013, 27, 1-28, doi: 10.1016/j.hal.2013.03.006","10.1016/j.hal.2013.03.006"
"50","Hansen G., Daugbjerg N., Henriksen P. : Baldinia anauniensis gen. et sp. nov.: a ‘new’ dinoflagellate from Lake Tovel, N. Italy, Phycologia, 2007, 46(1), 86-108, doi: 10.2216/0031-8884(2007)46[86:BAGESN]2.0.CO;2","10.2216/0031-8884(2007)46[86:BAGESN]2.0.CO;2"
"51","Moestrup Ø., Hansen G., Daugbjerg N. : Studies on Woloszynskioid Dinoflagellates III: on The Ultrastructure and Phylogeny of Borghiella Dodgei Gen. et sp. nov., a Cold-water Species from Lake Tovel, N. Italy, and on B. Tenuissima Comb. Nov. (syn. Woloszynskia Tenuissima), Phycologia, 2008, 47(1), 54-78, doi: 10.2216/07-32.1","10.2216/07-32.1"
"52","Takahashi K., Moestrup Ø., Jordan R., Iwataki M. : Two New Freshwater Woloszynskioids Asulcocephalium miricentonis gen. et sp. nov. and Leiocephalium pseudosanguineum gen. et sp. nov. (Suessiaceae, Dinophyceae) Lacking an Apical Furrow Apparatus, Protist, 2015, 166(6), 638-658, doi: 10.1016/j.protis.2015.10.003","10.1016/j.protis.2015.10.003"
"53","Siano R., Kooistra W., Montresor M., Zingone A. : Unarmoured and thin-walled dinoflagellates from the Gulf of Naples, with the description of Woloszynskia cincta sp. nov. (Dinophyceae, Suessiales), Phycologia, 2009, 48(1), 44-65, doi: 10.2216/08-61.1","10.2216/08-61.1"
"54","Figueroa R., Garcés E., Massana R., Camp J. : Description, Host-specificity, and Strain Selectivity of the Dinoflagellate Parasite Parvilucifera sinerae sp. nov. (Perkinsozoa), Protist, 2008, 159(4), 563-578, doi: 10.1016/j.protis.2008.05.003","10.1016/j.protis.2008.05.003"
"55","Kudryavtsev A., Wylezich C., Schlegel M., Walochnik J., Michel R. : Ultrastructure, SSU rRNA Gene Sequences and Phylogenetic Relationships of Flamella Schaeffer, 1926 (Amoebozoa), with Description of Three New Species, Protist, 2009, 160(1), 21-40, doi: 10.1016/j.protis.2008.09.004","10.1016/j.protis.2008.09.004"
"56","Blandenier Q., Seppey C., Singer D., Vlimant M., Simon A., Duckert C., Lara E. : Mycamoeba gemmiparanov. gen., nov. sp., the First Cultured Member of the Environmental Dermamoebidae Clade LKM74 and its Unusual Life Cycle, Journal of Eukaryotic Microbiology, 2016, 64(2), 257-265, doi: 10.1111/jeu.12357","10.1111/jeu.12357"
"57","Baumgartner M., Yapi A., GrBner-Ferreira R., Stetter K. : Cultivation and properties of Echinamoeba thermarum n. sp., an extremely thermophilic amoeba thriving in hot springs, Extremophiles, 2003, 7(4), 267-274, doi: 10.1007/s00792-003-0319-6","10.1007/s00792-003-0319-6"
"58","Żbikowska E., Walczak M., Krawiec A. : Distribution of Legionella pneumophila bacteria and Naegleria and Hartmannella amoebae in thermal saline baths used in balneotherapy, Parasitology Research, 2012, 112(1), 77-83, doi: 10.1007/s00436-012-3106-4","10.1007/s00436-012-3106-4"
"59","Smirnov A., Chao E., Nassonova E., Cavalier-Smith T. : A Revised Classification of Naked Lobose Amoebae (Amoebozoa: Lobosa), Protist, 2011, 162(4), 545-570, doi: 10.1016/j.protis.2011.04.004","10.1016/j.protis.2011.04.004"
"60","Glücksman E., Snell E., Cavalier-Smith T. : Phylogeny and evolution of Planomonadida (Sulcozoa): Eight new species and new genera Fabomonas and Nutomonas, European Journal of Protistology, 2013, 49(2), 179-200, doi: 10.1016/j.ejop.2012.08.007","10.1016/j.ejop.2012.08.007"
"61","Mikrjukov K., Mylnikov A. : A study of the fine structure and the mitosis of a lamellicristate amoeba, Micronuclearia podoventralis gen. et sp. nov. (Nucleariidae, Rotosphaerida), European Journal of Protistology, 2001, 37(1), 15-24, doi: 10.1078/0932-4739-00783","10.1078/0932-4739-00783"
"62","Gärtner G., Hofer A., Ingolić E. : Morphological and Taxonomical Observations on Some Strains of Chlorosarcina, Chlorosarcinopsis and Planophila (Chlorophyta, Chlorosarcinales), with Special Reference to “Vegetative Cell Division”, Archiv für Protistenkunde, 1988, 135(1-4), 119-131, doi: 10.1016/s0003-9365(88)80058-7","10.1016/s0003-9365(88)80058-7"
"63","Wujek D., Thompson R. : The Algal Genera Chaetopeltis, Oligochaetophora, and Polychaetophora (Chaetopeltidales, Chlorophyta), Transactions of the Kansas Academy of Science (1903-), 1999, 102(1/2), 40, doi: 10.2307/3628214","10.2307/3628214"
"64","Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152","10.1002/9781118917152"
"65","Nakada T., Suda S., Nozaki H. : A TAXONOMIC STUDY OFHAFNIOMONAS(CHLOROPHYCEAE) BASED ON A COMPARATIVE EXAMINATION OF CULTURED MATERIAL, Journal of Phycology, 2007, 43(2), 397-411, doi: 10.1111/j.1529-8817.2007.00328.x","10.1111/j.1529-8817.2007.00328.x"
"66","Arakaki Y., Kawai-Toyooka H., Hamamura Y., Higashiyama T., Noga A., Hirono M., Olson B., Nozaki H. : The Simplest Integrated Multicellular Organism Unveiled, PLoS ONE, 2013, 8(12), e81641, doi: 10.1371/journal.pone.0081641","10.1371/journal.pone.0081641"
"67","Crespo C., Rodríguez H., Segade P., Iglesias R., García-Estévez J. : Coccomyxa sp. (Chlorophyta: Chlorococcales), a new pathogen in mussels (Mytilus galloprovincialis) of Vigo estuary (Galicia, NW Spain), Journal of Invertebrate Pathology, 2009, 102(3), 214-219, doi: 10.1016/j.jip.2009.08.010","10.1016/j.jip.2009.08.010"
"68","Ramos G., Bicudo C., Góes Neto A., Moura C. : Monoraphidium and Ankistrodesmus (Chlorophyceae, Chlorophyta) from Pantanal dos Marimbus, Chapada Diamantina, Bahia State, Brazil, Hoehnea, 2012, 39(3), 421-434, doi: 10.1590/s2236-89062012000300006","10.1590/s2236-89062012000300006"
"69","Goecke F., Noda J., Paliocha M., Gislerød HR. : Revision of Coelastrella (Scenedesmaceae, Chlorophyta) and first register of this green coccoid microalga for continental Norway, World Journal of Microbiology and Biotechnology, 2020, 36(10), null, doi: 10.1007/s11274-020-02897-0","10.1007/s11274-020-02897-0"
"70","Klin M., Kowalska Z., Pniewski F., Latała A. : First record of the freshwater green alga Scotinosphaera austriaca from the Baltic Sea, Plant and Fungal Systematics, 2018, 63(2), 65-67, doi: 10.2478/pfs-2018-0008","10.2478/pfs-2018-0008"
"71","Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002","10.1016/j.protis.2009.10.002"
"72","Throndsen, J. and Zingone, A.: Dolichomastix tenuilepis sp. nov., a first insight into the microanatomy of the genus Dolichomastix (Mamiellales, Prasinophyceae, Chlorophyta), Phycologia, 36(3), 244_254, doi: 10.2216/i0031-8884-36-3-244.1, 1997.","10.2216/i0031-8884-36-3-244.1,"
"73","Kodama Y., Fujishima M. : Secondary Symbiosis Between Paramecium and Chlorella Cells, International Review of Cell and Molecular Biology, 2010, 33-77, doi: 10.1016/s1937-6448(10)79002-x","10.1016/s1937-6448(10)79002-x"
"74","Darienko T., Kang W., Orzechowski A., Pröschold T. : Pleurastrosarcina terriformae, a new species of a rare desert trebouxiophycean alga discovered by an integrative approach, Extremophiles, 2019, 23(5), 573-586, doi: 10.1007/s00792-019-01108-5","10.1007/s00792-019-01108-5"
"75","Pore R. : Prototheca taxonomy, Mycopathologia, 1985, 90(3), 129-139, doi: 10.1007/bf00436728","10.1007/bf00436728"
"76","Škaloud P., Steinová J., Řídká T., Vančurová L., Peksa O. : Assembling the challenging puzzle of algal biodiversity: species delimitation within the genusAsterochloris(Trebouxiophyceae, Chlorophyta), Journal of Phycology, 2015, 51(3), 507-527, doi: 10.1111/jpy.12295","10.1111/jpy.12295"
"77","Škaloud P., Moya P., Molins A., Peksa O., Santos-Guerra A., Barreno E. : Untangling the hidden intrathalline microalgal diversity inParmotrema pseudotinctorum:Trebouxia crespoanasp. nov., The Lichenologist, 2018, 50(3), 357-369, doi: 10.1017/s0024282918000208","10.1017/s0024282918000208"
"78","Eliáš M., Neustupa J., Škaloud P. : Elliptochloris bilobata var. corticola var. nov. (Trebouxiophyceae, Chlorophyta), a novel subaerial coccal green alga, Biologia, 2008, 63(6), 791-798, doi: 10.2478/s11756-008-0100-5","10.2478/s11756-008-0100-5"
"79","Wurtz A. : Remarques sur une Pleurococcacée:Apatococcus vulgarisBrand, Bulletin de la Société Botanique de France, 1944, 91(7-9), 185-190, doi: 10.1080/00378941.1944.10834363","10.1080/00378941.1944.10834363"
"80","Darienko T., Gustavs L., Mudimu O., Menendez C., Schumann R., Karsten U., Friedl T., Pröschold T. : Chloroidium, a common terrestrial coccoid green alga previously assigned toChlorella(Trebouxiophyceae, Chlorophyta), European Journal of Phycology, 2010, 45(1), 79-95, doi: 10.1080/09670260903362820","10.1080/09670260903362820"
"81","Skaloud P., Jiří N., Radochová B., Kubínová, L. : Confocal microscopy of chloroplast morphology and ontogeny in three strains of Dictyochloropsis (Trebouxiophyceae, Chlorophyta), Phycologia, 2005, 44(3), 261-269, doi: 10.2216/0031-8884(2005)44[261:CMOCMA]2.0.CO-2","10.2216/0031-8884(2005)44[261:CMOCMA]2.0.CO-2"
"82","Medwed C., Holzinger A., Hofer S., Hartmann A., Michalik D., Glaser K., Karsten U. : Ecophysiological, morphological, and biochemical traits of free-living Diplosphaera chodatii (Trebouxiophyceae) reveal adaptation to harsh environmental conditions, Protoplasma, 2021, 258(6), 1187-1199, doi: 10.1007/s00709-021-01620-6","10.1007/s00709-021-01620-6"
"83","Mcgregor G., Sendall B. : Komvophoron kgariisp. nov. (Oscillatoriales), a new epipelic cyanobacterium from subtropical eastern Australia, Phycologia, 2013, 52(6), 472-480, doi: 10.2216/13-143.1","10.2216/13-143.1"
"84","Chiva S., Dumitru C., Bordenave C., Barreno E. : Watanabea green microalgae (Trebouxiophyceae) inhabiting lichen holobiomes: Watanabea lichenicola sp. nova, Phycological Research, 2021, 69(4), 226-236, doi: 10.1111/pre.12463","10.1111/pre.12463"
"85","Zhu H., Hu Y., Liu F., Hu Z., Liu G. : Characterization of the Chloroplast Genome of Trentepohlia odorata (Trentepohliales, Chlorophyta), and Discussion of its Taxonomy, International Journal of Molecular Sciences, 2019, 20(7), 1774, doi: 10.3390/ijms20071774","10.3390/ijms20071774"
"86","Darienko T., Rad-Menéndez C., Campbell C., Pröschold T. : Molecular Phylogeny of Unicellular Marine Coccoid Green Algae Revealed New Insights into the Systematics of the Ulvophyceae (Chlorophyta), Microorganisms, 2021, 9(8), 1586, doi: 10.3390/microorganisms9081586","10.3390/microorganisms9081586"
"87","Ongun Sevindik T., Celik K., Gonulol A. : , Turkish Journal of Fisheries and Aquatic Sciences, 2011, 11(3), doi: 10.4194/1303-2712-v11_3_09","10.4194/1303-2712-v11_3_09"
"88","Oliveira I., Bicudo C., Moura C. : First records of Zygnematales (Zygnematophyceae, Streptophyta) for the state of Bahia, Brazil, Acta Botanica Brasilica, 2013, 27(4), 743-750, doi: 10.1590/s0102-33062013000400014","10.1590/s0102-33062013000400014"
"89","Shakhmatov A., Pavlovskiy E., Paukov A. : Desmid algae (Charophyta: Conjugatophyceae) of Ekaterinburg, Middle Urals, Russia, Folia Cryptogamica Estonica, 2018, 55, 7-15, doi: 10.12697/fce.2018.55.02","10.12697/fce.2018.55.02"
"90","Pánek T., Táborský P., Pachiadaki M., Hroudová M., Vlček Č., Edgcomb V., Čepička I. : Combined Culture-Based and Culture-Independent Approaches Provide Insights into Diversity of Jakobids, an Extremely Plesiomorphic Eukaryotic Lineage, Frontiers in Microbiology, 2015, 6, doi: 10.3389/fmicb.2015.01288","10.3389/fmicb.2015.01288"
"91","Erlandsen S., Chase D. : Paneth cell function: phagocytosis and intracellular digestion of intestinal microorganisms, Journal of Ultrastructure Research, 1972, 41(3-4), 296-318, doi: 10.1016/s0022-5320(72)90071-8","10.1016/s0022-5320(72)90071-8"
"92","Cavalier-Smith T., Von Der Heyden S. : Molecular phylogeny, scale evolution and taxonomy of centrohelid heliozoa, Molecular Phylogenetics and Evolution, 2007, 44(3), 1186-1203, doi: 10.1016/j.ympev.2007.04.019","10.1016/j.ympev.2007.04.019"
"93","Novarino G. : Nanoplankton protists from the western Mediterranean Sea. II. Cryptomonads (Cryptophyceae = Crptomonadea), Scientia Marina, 2005, 69(1), 47-74, doi: 10.3989/scimar.2005.69n147","10.3989/scimar.2005.69n147"
"94","Nam S., Shin W. : Ultrastructure of the flagellar apparatus in cryptomorphic Cryptomonas curvata (Cryptophyceae) with an emphasis on taxonomic and phylogenetic implications, ALGAE, 2016, 31(2), 117-128, doi: 10.4490/algae.2016.31.6.13","10.4490/algae.2016.31.6.13"
