Sample,tank,Species,length,community,treatment
2,10,Cyclopoid,0.3,Experienced,Control
2,10,Cyclopoid,0.27,Experienced,Control
2,10,Cyclopoid,0.248,Experienced,Control
2,10,Cyclopoid,0.363,Experienced,Control
2,10,Cyclopoid,0.433,Experienced,Control
2,10,Cyclopoid,0.294,Experienced,Control
2,10,Cyclopoid,0.612,Experienced,Control
2,10,Cyclopoid,0.33,Experienced,Control
2,10,Cyclopoid,0.326,Experienced,Control
2,10,Cyclopoid,0.359,Experienced,Control
2,10,Cyclopoid,0.288,Experienced,Control
2,10,Cyclopoid,0.315,Experienced,Control
2,10,Daphnia,0.541,Experienced,Control
2,10,Daphnia,0.463,Experienced,Control
2,10,Daphnia,0.537,Experienced,Control
2,10,Daphnia,0.675,Experienced,Control
2,10,Daphnia,0.648,Experienced,Control
2,10,Daphnia,0.706,Experienced,Control
2,10,Daphnia,0.623,Experienced,Control
2,10,Daphnia,0.565,Experienced,Control
2,10,Daphnia,0.845,Experienced,Control
2,10,Daphnia,0.73,Experienced,Control
2,10,Daphnia,0.572,Experienced,Control
2,10,Daphnia,0.6,Experienced,Control
2,10,Daphnia,0.812,Experienced,Control
2,10,Daphnia,0.598,Experienced,Control
2,10,Daphnia,0.751,Experienced,Control
2,10,Daphnia,0.582,Experienced,Control
2,10,Daphnia,0.588,Experienced,Control
2,10,Daphnia,0.594,Experienced,Control
2,10,Daphnia,0.583,Experienced,Control
2,10,Daphnia,0.591,Experienced,Control
2,10,Daphnia,0.746,Experienced,Control
2,10,Daphnia,0.7,Experienced,Control
2,10,Daphnia,0.754,Experienced,Control
2,16,Calanoid,0.461,Experienced,Free
2,16,Calanoid,0.521,Experienced,Free
2,16,Calanoid,0.344,Experienced,Free
2,16,Calanoid,0.555,Experienced,Free
2,16,Calanoid,0.979,Experienced,Free
2,16,Calanoid,0.583,Experienced,Free
2,16,Calanoid,0.348,Experienced,Free
2,16,Calanoid,0.857,Experienced,Free
2,16,Calanoid,0.805,Experienced,Free
2,16,Calanoid,0.724,Experienced,Free
2,16,Calanoid,0.361,Experienced,Free
2,16,Calanoid,0.473,Experienced,Free
2,16,Calanoid,0.478,Experienced,Free
2,16,Cyclopoid,0.307,Experienced,Free
2,16,Cyclopoid,0.372,Experienced,Free
2,16,Cyclopoid,0.409,Experienced,Free
2,16,Cyclopoid,0.301,Experienced,Free
2,16,Cyclopoid,0.391,Experienced,Free
2,16,Cyclopoid,0.312,Experienced,Free
2,16,Cyclopoid,0.291,Experienced,Free
2,16,Cyclopoid,0.308,Experienced,Free
2,16,Cyclopoid,0.28,Experienced,Free
2,16,Cyclopoid,0.284,Experienced,Free
2,16,Cyclopoid,0.312,Experienced,Free
2,16,Cyclopoid,0.29,Experienced,Free
2,16,Cyclopoid,0.43,Experienced,Free
2,16,Cyclopoid,0.514,Experienced,Free
2,16,Cyclopoid,0.39,Experienced,Free
2,16,Cyclopoid,0.423,Experienced,Free
2,16,Cyclopoid,0.625,Experienced,Free
2,16,Cyclopoid,0.316,Experienced,Free
2,16,Cyclopoid,0.291,Experienced,Free
2,16,Cyclopoid,0.678,Experienced,Free
2,16,Cyclopoid,0.369,Experienced,Free
2,16,Cyclopoid,0.293,Experienced,Free
2,16,Cyclopoid,0.37,Experienced,Free
2,16,Cyclopoid,0.218,Experienced,Free
2,16,Cyclopoid,0.375,Experienced,Free
2,16,Cyclopoid,0.329,Experienced,Free
2,22,Calanoid,0.933,Experienced,Caged
2,22,Calanoid,0.458,Experienced,Caged
2,22,Calanoid,0.667,Experienced,Caged
2,22,Calanoid,0.46,Experienced,Caged
2,22,Calanoid,0.434,Experienced,Caged
2,22,Calanoid,0.37,Experienced,Caged
2,22,Calanoid,0.306,Experienced,Caged
2,22,Calanoid,0.427,Experienced,Caged
2,22,Calanoid,1.111,Experienced,Caged
2,22,Calanoid,0.354,Experienced,Caged
2,22,Calanoid,0.636,Experienced,Caged
2,22,Calanoid,0.335,Experienced,Caged
2,22,Calanoid,0.339,Experienced,Caged
2,22,Calanoid,0.533,Experienced,Caged
2,22,Cyclopoid,0.603,Experienced,Caged
2,22,Cyclopoid,0.331,Experienced,Caged
2,22,Cyclopoid,0.4,Experienced,Caged
2,22,Cyclopoid,0.264,Experienced,Caged
2,22,Cyclopoid,0.353,Experienced,Caged
2,22,Cyclopoid,0.548,Experienced,Caged
2,22,Cyclopoid,0.278,Experienced,Caged
2,22,Cyclopoid,0.393,Experienced,Caged
2,22,Cyclopoid,0.299,Experienced,Caged
2,22,Cyclopoid,0.375,Experienced,Caged
2,22,Cyclopoid,0.294,Experienced,Caged
2,22,Cyclopoid,0.292,Experienced,Caged
2,22,Cyclopoid,0.58,Experienced,Caged
2,22,Cyclopoid,0.282,Experienced,Caged
2,22,Cyclopoid,0.282,Experienced,Caged
2,22,Cyclopoid,0.29,Experienced,Caged
2,22,Cyclopoid,0.269,Experienced,Caged
2,22,Cyclopoid,0.316,Experienced,Caged
2,22,Cyclopoid,0.328,Experienced,Caged
2,22,Cyclopoid,0.264,Experienced,Caged
2,22,Cyclopoid,0.393,Experienced,Caged
2,22,Cyclopoid,0.323,Experienced,Caged
2,22,Cyclopoid,0.624,Experienced,Caged
2,22,Cyclopoid,0.605,Experienced,Caged
2,22,Cyclopoid,0.582,Experienced,Caged
2,22,Daphnia,0.648,Experienced,Caged
2,22,Daphnia,0.5,Experienced,Caged
2,22,Daphnia,0.652,Experienced,Caged
2,22,Daphnia,0.582,Experienced,Caged
2,22,Daphnia,0.515,Experienced,Caged
2,22,Daphnia,0.603,Experienced,Caged
2,22,Daphnia,0.419,Experienced,Caged
2,22,Daphnia,0.82,Experienced,Caged
2,22,Daphnia,0.646,Experienced,Caged
2,22,Daphnia,0.677,Experienced,Caged
2,22,Daphnia,0.437,Experienced,Caged
2,22,Daphnia,0.477,Experienced,Caged
2,22,Daphnia,0.705,Experienced,Caged
2,22,Daphnia,0.606,Experienced,Caged
2,22,Daphnia,0.563,Experienced,Caged
2,22,Daphnia,0.533,Experienced,Caged
2,22,Daphnia,0.475,Experienced,Caged
2,22,Daphnia,0.452,Experienced,Caged
2,22,Daphnia,0.469,Experienced,Caged
2,22,Daphnia,0.377,Experienced,Caged
2,22,Daphnia,0.503,Experienced,Caged
2,22,Daphnia,1.196,Experienced,Caged
1,27,Calanoid,0.954,Naive,Free
1,27,Calanoid,0.817,Naive,Free
1,27,Calanoid,0.599,Naive,Free
1,27,Polyphemus,0.343,Naive,Free
1,27,Polyphemus,0.417,Naive,Free
1,27,Polyphemus,0.484,Naive,Free
1,4,Calanoid,0.678,Experienced,Free
1,4,Calanoid,0.774,Experienced,Free
1,4,Calanoid,0.754,Experienced,Free
1,4,Calanoid,0.527,Experienced,Free
1,4,Cyclopoid,0.394,Experienced,Free
1,4,Cyclopoid,0.366,Experienced,Free
1,4,Cyclopoid,0.357,Experienced,Free
1,4,Cyclopoid,0.342,Experienced,Free
1,4,Cyclopoid,0.399,Experienced,Free
1,4,Cyclopoid,0.376,Experienced,Free
1,4,Cyclopoid,0.355,Experienced,Free
1,4,Cyclopoid,0.438,Experienced,Free
1,4,Cyclopoid,0.272,Experienced,Free
1,4,Cyclopoid,0.697,Experienced,Free
1,4,Cyclopoid,0.402,Experienced,Free
1,4,Cyclopoid,0.371,Experienced,Free
1,4,Cyclopoid,0.55,Experienced,Free
1,4,Cyclopoid,0.282,Experienced,Free
1,4,Cyclopoid,0.317,Experienced,Free
1,4,Cyclopoid,0.362,Experienced,Free
1,4,Cyclopoid,0.33,Experienced,Free
1,4,Cyclopoid,0.381,Experienced,Free
1,4,Cyclopoid,0.495,Experienced,Free
1,4,Cyclopoid,0.271,Experienced,Free
1,4,Cyclopoid,0.367,Experienced,Free
1,4,Cyclopoid,0.411,Experienced,Free
1,4,Cyclopoid,0.334,Experienced,Free
1,4,Cyclopoid,0.385,Experienced,Free
1,4,Cyclopoid,0.374,Experienced,Free
1,4,Cyclopoid,0.36,Experienced,Free
1,4,Cyclopoid,0.37,Experienced,Free
1,4,Cyclopoid,0.445,Experienced,Free
1,4,Cyclopoid,0.327,Experienced,Free
1,4,Cyclopoid,0.331,Experienced,Free
1,4,Cyclopoid,0.379,Experienced,Free
1,4,Daphnia,0.97,Experienced,Free
1,4,Daphnia,1.047,Experienced,Free
1,4,Daphnia,0.789,Experienced,Free
1,4,Daphnia,0.758,Experienced,Free
1,4,Daphnia,1.261,Experienced,Free
1,4,Daphnia,0.661,Experienced,Free
1,4,Daphnia,0.647,Experienced,Free
1,4,Daphnia,0.822,Experienced,Free
1,4,Daphnia,0.733,Experienced,Free
1,4,Daphnia,0.617,Experienced,Free
1,4,Daphnia,0.896,Experienced,Free
1,4,Daphnia,0.654,Experienced,Free
1,4,Daphnia,0.753,Experienced,Free
2,23,Calanoid,0.373,Experienced,Control
2,23,Calanoid,0.477,Experienced,Control
2,23,Calanoid,0.443,Experienced,Control
2,23,Calanoid,0.377,Experienced,Control
2,23,Cyclopoid,0.386,Experienced,Control
2,23,Cyclopoid,0.284,Experienced,Control
2,23,Cyclopoid,0.278,Experienced,Control
2,23,Cyclopoid,0.384,Experienced,Control
2,23,Cyclopoid,0.29,Experienced,Control
2,23,Cyclopoid,0.381,Experienced,Control
2,23,Cyclopoid,0.276,Experienced,Control
2,23,Cyclopoid,0.307,Experienced,Control
2,23,Cyclopoid,0.33,Experienced,Control
2,23,Cyclopoid,0.613,Experienced,Control
2,23,Cyclopoid,0.35,Experienced,Control
2,23,Cyclopoid,0.55,Experienced,Control
2,23,Cyclopoid,0.287,Experienced,Control
2,23,Cyclopoid,0.322,Experienced,Control
2,23,Cyclopoid,0.349,Experienced,Control
2,23,Cyclopoid,0.406,Experienced,Control
2,23,Cyclopoid,0.373,Experienced,Control
2,23,Cyclopoid,0.331,Experienced,Control
2,23,Cyclopoid,0.606,Experienced,Control
2,23,Cyclopoid,0.459,Experienced,Control
2,23,Cyclopoid,0.295,Experienced,Control
2,23,Cyclopoid,0.341,Experienced,Control
2,23,Cyclopoid,0.274,Experienced,Control
2,23,Cyclopoid,0.275,Experienced,Control
2,23,Daphnia,0.496,Experienced,Control
2,23,Daphnia,0.479,Experienced,Control
2,23,Daphnia,0.763,Experienced,Control
2,23,Daphnia,0.515,Experienced,Control
2,23,Daphnia,0.517,Experienced,Control
2,23,Daphnia,0.462,Experienced,Control
2,23,Daphnia,0.392,Experienced,Control
2,23,Daphnia,0.509,Experienced,Control
2,23,Daphnia,0.546,Experienced,Control
2,23,Daphnia,0.438,Experienced,Control
2,23,Daphnia,0.617,Experienced,Control
2,23,Daphnia,0.485,Experienced,Control
2,23,Daphnia,0.446,Experienced,Control
2,23,Daphnia,0.484,Experienced,Control
2,23,Daphnia,0.453,Experienced,Control
2,23,Daphnia,0.63,Experienced,Control
2,23,Daphnia,0.878,Experienced,Control
2,23,Daphnia,1.172,Experienced,Control
2,23,Daphnia,0.954,Experienced,Control
2,23,Daphnia,0.676,Experienced,Control
2,23,Daphnia,0.594,Experienced,Control
2,23,Daphnia,0.778,Experienced,Control
2,23,Daphnia,0.531,Experienced,Control
2,23,Daphnia,0.545,Experienced,Control
2,23,Daphnia,0.392,Experienced,Control
2,23,Daphnia,0.523,Experienced,Control
2,23,Daphnia,0.584,Experienced,Control
2,11,Calanoid,0.43,Experienced,Caged
2,11,Calanoid,0.996,Experienced,Caged
2,11,Calanoid,0.428,Experienced,Caged
2,11,Calanoid,0.545,Experienced,Caged
2,11,Calanoid,0.508,Experienced,Caged
2,11,Calanoid,1.078,Experienced,Caged
2,11,Calanoid,0.599,Experienced,Caged
2,11,Calanoid,0.649,Experienced,Caged
2,11,Calanoid,0.433,Experienced,Caged
2,11,Calanoid,0.518,Experienced,Caged
2,11,Calanoid,0.65,Experienced,Caged
2,11,Calanoid,0.429,Experienced,Caged
2,11,Calanoid,0.875,Experienced,Caged
2,11,Calanoid,0.879,Experienced,Caged
2,11,Calanoid,0.347,Experienced,Caged
2,11,Calanoid,0.615,Experienced,Caged
2,11,Calanoid,0.892,Experienced,Caged
2,11,Calanoid,0.786,Experienced,Caged
2,11,Cyclopoid,0.626,Experienced,Caged
2,11,Cyclopoid,0.327,Experienced,Caged
2,11,Cyclopoid,0.297,Experienced,Caged
2,11,Cyclopoid,0.296,Experienced,Caged
2,11,Cyclopoid,0.403,Experienced,Caged
2,11,Cyclopoid,0.254,Experienced,Caged
2,11,Cyclopoid,0.44,Experienced,Caged
2,11,Cyclopoid,0.293,Experienced,Caged
2,11,Cyclopoid,0.287,Experienced,Caged
2,11,Cyclopoid,0.511,Experienced,Caged
2,11,Cyclopoid,0.414,Experienced,Caged
2,11,Cyclopoid,0.293,Experienced,Caged
2,11,Cyclopoid,0.357,Experienced,Caged
2,11,Cyclopoid,0.377,Experienced,Caged
2,11,Cyclopoid,0.292,Experienced,Caged
2,11,Cyclopoid,0.418,Experienced,Caged
2,11,Cyclopoid,0.307,Experienced,Caged
2,11,Cyclopoid,0.291,Experienced,Caged
2,11,Cyclopoid,0.412,Experienced,Caged
2,11,Cyclopoid,0.395,Experienced,Caged
2,11,Cyclopoid,0.369,Experienced,Caged
2,11,Cyclopoid,0.307,Experienced,Caged
2,11,Cyclopoid,0.486,Experienced,Caged
2,11,Cyclopoid,0.268,Experienced,Caged
2,11,Cyclopoid,0.307,Experienced,Caged
2,11,Cyclopoid,0.27,Experienced,Caged
2,11,Daphnia,0.931,Experienced,Caged
2,11,Daphnia,0.773,Experienced,Caged
2,11,Daphnia,0.682,Experienced,Caged
2,11,Daphnia,0.655,Experienced,Caged
2,11,Daphnia,0.739,Experienced,Caged
2,11,Daphnia,0.667,Experienced,Caged
2,11,Daphnia,0.733,Experienced,Caged
2,11,Daphnia,0.652,Experienced,Caged
2,11,Daphnia,0.898,Experienced,Caged
2,11,Daphnia,0.728,Experienced,Caged
2,11,Daphnia,0.612,Experienced,Caged
2,11,Daphnia,0.669,Experienced,Caged
2,11,Daphnia,0.62,Experienced,Caged
2,11,Daphnia,0.871,Experienced,Caged
2,11,Daphnia,0.746,Experienced,Caged
2,11,Daphnia,0.73,Experienced,Caged
2,11,Daphnia,0.707,Experienced,Caged
2,11,Daphnia,0.695,Experienced,Caged
2,11,Daphnia,0.612,Experienced,Caged
2,11,Daphnia,0.754,Experienced,Caged
2,11,Daphnia,0.929,Experienced,Caged
2,11,Daphnia,0.653,Experienced,Caged
2,11,Daphnia,0.669,Experienced,Caged
2,11,Daphnia,0.717,Experienced,Caged
2,11,Daphnia,0.617,Experienced,Caged
2,11,Daphnia,0.634,Experienced,Caged
2,11,Daphnia,0.643,Experienced,Caged
2,11,Daphnia,0.648,Experienced,Caged
2,5,Calanoid,0.763,Naive,Free
2,5,Calanoid,0.823,Naive,Free
2,5,Calanoid,0.773,Naive,Free
2,5,Calanoid,0.79,Naive,Free
2,5,Calanoid,0.693,Naive,Free
2,5,Calanoid,0.742,Naive,Free
2,5,Calanoid,0.758,Naive,Free
2,5,Calanoid,0.758,Naive,Free
2,5,Calanoid,0.772,Naive,Free
2,5,Calanoid,1.011,Naive,Free
2,5,Calanoid,1.009,Naive,Free
2,5,Calanoid,0.943,Naive,Free
2,5,Calanoid,0.897,Naive,Free
2,5,Calanoid,0.808,Naive,Free
2,5,Calanoid,0.863,Naive,Free
2,5,Calanoid,0.635,Naive,Free
2,5,Calanoid,0.903,Naive,Free
2,5,Calanoid,0.77,Naive,Free
2,5,Calanoid,0.956,Naive,Free
2,5,Calanoid,0.889,Naive,Free
2,5,Calanoid,0.988,Naive,Free
2,5,Calanoid,0.887,Naive,Free
2,5,Calanoid,0.965,Naive,Free
2,5,Calanoid,0.759,Naive,Free
2,5,Calanoid,0.761,Naive,Free
2,5,Calanoid,0.98,Naive,Free
2,5,Cyclopoid,0.385,Naive,Free
2,5,Cyclopoid,0.349,Naive,Free
2,5,Cyclopoid,0.266,Naive,Free
2,5,Cyclopoid,0.407,Naive,Free
2,5,Cyclopoid,0.331,Naive,Free
2,5,Cyclopoid,0.299,Naive,Free
2,5,Cyclopoid,0.286,Naive,Free
2,5,Cyclopoid,0.303,Naive,Free
2,5,Cyclopoid,0.332,Naive,Free
2,5,Cyclopoid,0.306,Naive,Free
2,5,Cyclopoid,0.415,Naive,Free
2,5,Cyclopoid,0.316,Naive,Free
2,5,Cyclopoid,0.415,Naive,Free
2,5,Cyclopoid,0.308,Naive,Free
2,5,Cyclopoid,0.348,Naive,Free
2,5,Cyclopoid,0.364,Naive,Free
2,5,Cyclopoid,0.311,Naive,Free
2,5,Cyclopoid,0.309,Naive,Free
2,5,Cyclopoid,0.313,Naive,Free
2,5,Cyclopoid,0.293,Naive,Free
2,5,Cyclopoid,0.272,Naive,Free
2,5,Cyclopoid,0.319,Naive,Free
2,5,Cyclopoid,0.278,Naive,Free
2,5,Cyclopoid,0.395,Naive,Free
2,5,Cyclopoid,0.317,Naive,Free
2,5,Cyclopoid,0.361,Naive,Free
2,5,Cyclopoid,0.299,Naive,Free
2,5,Polyphemus,0.582,Naive,Free
2,7,Calanoid,1.008,Naive,Free
2,7,Calanoid,1.055,Naive,Free
2,7,Calanoid,0.737,Naive,Free
2,7,Calanoid,0.955,Naive,Free
2,7,Calanoid,1.019,Naive,Free
2,7,Calanoid,0.992,Naive,Free
2,7,Calanoid,0.742,Naive,Free
2,7,Calanoid,0.858,Naive,Free
2,7,Calanoid,0.977,Naive,Free
2,7,Calanoid,0.914,Naive,Free
2,7,Calanoid,0.809,Naive,Free
2,7,Calanoid,0.778,Naive,Free
2,7,Calanoid,0.822,Naive,Free
2,7,Calanoid,0.914,Naive,Free
2,7,Calanoid,0.783,Naive,Free
2,7,Calanoid,0.77,Naive,Free
2,7,Calanoid,1.072,Naive,Free
2,7,Calanoid,0.876,Naive,Free
2,7,Calanoid,0.929,Naive,Free
2,7,Calanoid,0.736,Naive,Free
2,7,Calanoid,0.862,Naive,Free
2,7,Calanoid,0.72,Naive,Free
2,7,Calanoid,0.951,Naive,Free
2,7,Calanoid,0.932,Naive,Free
2,7,Calanoid,0.747,Naive,Free
2,7,Cyclopoid,0.399,Naive,Free
2,7,Cyclopoid,0.393,Naive,Free
2,7,Cyclopoid,0.332,Naive,Free
2,7,Cyclopoid,0.312,Naive,Free
2,7,Cyclopoid,0.388,Naive,Free
2,7,Cyclopoid,0.324,Naive,Free
2,7,Cyclopoid,0.323,Naive,Free
2,7,Cyclopoid,0.375,Naive,Free
2,7,Cyclopoid,0.349,Naive,Free
2,7,Cyclopoid,0.33,Naive,Free
2,7,Cyclopoid,0.304,Naive,Free
2,7,Cyclopoid,0.314,Naive,Free
2,7,Cyclopoid,0.306,Naive,Free
2,7,Cyclopoid,0.373,Naive,Free
2,7,Cyclopoid,0.341,Naive,Free
2,7,Cyclopoid,0.324,Naive,Free
2,7,Cyclopoid,0.393,Naive,Free
2,7,Cyclopoid,0.273,Naive,Free
2,7,Cyclopoid,0.314,Naive,Free
2,7,Cyclopoid,0.275,Naive,Free
2,7,Cyclopoid,0.302,Naive,Free
2,7,Cyclopoid,0.3,Naive,Free
2,7,Cyclopoid,0.349,Naive,Free
2,7,Cyclopoid,0.278,Naive,Free
2,7,Cyclopoid,0.409,Naive,Free
2,21,Calanoid,1.066,Naive,Free
2,21,Calanoid,0.845,Naive,Free
2,21,Calanoid,0.875,Naive,Free
2,21,Calanoid,0.762,Naive,Free
2,21,Calanoid,0.888,Naive,Free
2,21,Calanoid,0.936,Naive,Free
2,21,Calanoid,0.815,Naive,Free
2,21,Calanoid,0.985,Naive,Free
2,21,Calanoid,0.975,Naive,Free
2,21,Calanoid,0.907,Naive,Free
2,21,Calanoid,0.926,Naive,Free
2,21,Calanoid,1.046,Naive,Free
2,21,Calanoid,1.014,Naive,Free
2,21,Calanoid,0.936,Naive,Free
2,21,Calanoid,1.088,Naive,Free
2,21,Calanoid,1.026,Naive,Free
2,21,Calanoid,0.916,Naive,Free
2,21,Calanoid,0.767,Naive,Free
2,21,Calanoid,1.01,Naive,Free
2,21,Calanoid,1.031,Naive,Free
2,21,Calanoid,0.859,Naive,Free
2,21,Calanoid,0.913,Naive,Free
2,21,Calanoid,0.762,Naive,Free
2,21,Calanoid,0.756,Naive,Free
2,21,Calanoid,0.794,Naive,Free
2,21,Calanoid,0.793,Naive,Free
2,21,Calanoid,0.971,Naive,Free
2,21,Cyclopoid,0.279,Naive,Free
2,21,Cyclopoid,0.265,Naive,Free
2,21,Cyclopoid,0.336,Naive,Free
