SampleCode,Year,Month,Date,Site,Station,Species,Genus,Abbrv,Rare_genera,Broad_Taxa_group,Density_N_mL,Density_%,Biovolume_um3_mL,Biovolume_%,Total_Sample_Density,Total_Sample_Biovolume,Cells_mL
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Nitzschia frustulum,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),6.632352941,1.904761905,795.8823529,3.249390739,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Nitzschia paleacea,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),3.316176471,0.952380952,324.9852941,1.326834552,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),112.75,32.38095238,2255,9.206607095,348.1985294,24493.27941,
0821FC_Phyto_L_spatial,2013,August,8/21/2013,Fall Creek,spatial,Sphaerocystis schroeteri,Sphaerocystis,Spha,N,Green algae (Chlorophyta & Charophyta),3.316176471,0.952380952,928.5294118,3.790955862,348.1985294,24493.27941,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Achnanthes linearis,Achnanthes,Achn,N,Diatom (Bacillariophyceae),1.287100457,1.612903226,169.8972603,1.283796927,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Achnanthes minutissima,Achnanthes,Achn,N,Diatom (Bacillariophyceae),3.86130137,4.838709677,193.0650685,1.458860144,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Dolichospermum flos-aquae,Dolichospermum,Doli,N,Bluegreen algae (Cyanobacteria),2.574200913,3.225806452,862.3573059,6.516241976,79.80022831,13233.96689,12.87100457
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),5.148401826,6.451612903,154.4520548,1.167088115,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Aphanizomenon flos-aquae,Aphanizomenon,Apha,N,Bluegreen algae (Cyanobacteria),2.574200913,3.225806452,2919.143836,22.05796538,79.80022831,13233.96689,46.33561644
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Caloneis ventricosa minuta,Caloneis,Calo,N,Diatom (Bacillariophyceae),1.287100457,1.612903226,360.3881279,2.723205602,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Chromulina sp.,Chromulina,Chro,N,Golden algae (Chrysophyceae),36.03881279,45.16129032,720.7762557,5.446411204,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Crucigenia quadrata,Crucigenia,Cruc,Y,Green algae (Chlorophyta & Charophyta),3.86130137,4.838709677,328.2106164,2.480062245,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),10.29680365,12.90322581,5354.3379,40.45905466,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Elakatothrix gelatinosa,Elakatothrix,Elak,N,Green algae (Chlorophyta & Charophyta),2.574200913,3.225806452,432.4657534,3.267846722,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Navicula cryptocephala,Navicula,Navi,N,Diatom (Bacillariophyceae),1.287100457,1.612903226,238.1135845,1.799260844,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Navicula sp.,Navicula,Navi,N,Diatom (Bacillariophyceae),1.287100457,1.612903226,193.0650685,1.458860144,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Nitzschia palea,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),1.287100457,1.612903226,231.6780822,1.750632173,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Oocystis lacustris,Oocystis,Oocy,N,Green algae (Chlorophyta & Charophyta),1.287100457,1.612903226,200.7876712,1.51721455,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),2.574200913,3.225806452,51.48401826,0.389029372,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Sphaerocystis schroeteri,Sphaerocystis,Spha,N,Green algae (Chlorophyta & Charophyta),1.287100457,1.612903226,360.3881279,2.723205602,79.80022831,13233.96689,
0821FCC_Phyto_L_depth,2013,August,8/21/2013,Fall Creek,C (depth),Synedra radians,Synedra,Syne,N,Diatom (Bacillariophyceae),1.287100457,1.612903226,463.3561644,3.501264345,79.80022831,13233.96689,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Achnanthes lewisiana,Achnanthes,Achn,N,Diatom (Bacillariophyceae),5.609452736,3.076923077,701.181592,2.202526739,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Achnanthes minutissima,Achnanthes,Achn,N,Diatom (Bacillariophyceae),16.82835821,9.230769231,841.4179104,2.643032086,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),8.414179104,4.615384615,210.3544776,0.660758022,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Chlamydomonas sp.,Chlamydomonas,Chla,N,Green algae (Chlorophyta & Charophyta),2.804726368,1.538461538,911.5360697,2.86328476,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Chromulina sp.,Chromulina,Chro,N,Golden algae (Chrysophyceae),2.804726368,1.538461538,56.09452736,0.176202139,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Cocconeis placentula,Cocconeis,Cocc,N,Diatom (Bacillariophyceae),11.21890547,6.153846154,5160.696517,16.2105968,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),11.21890547,6.153846154,5833.830846,18.32502247,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Epithemia turgida,Epithemia,Epit,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,11920.08706,37.44295456,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Gomphonema angustatum,Gomphonema,Gomp,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,504.8507463,1.585819252,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Gomphonema gracile,Gomphonema,Gomp,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,687.1579602,2.158476204,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Navicula cryptocephala veneta,Navicula,Navi,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,266.449005,0.836960161,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Navicula minima,Navicula,Navi,N,Diatom (Bacillariophyceae),8.414179104,4.615384615,481.2910448,1.511814353,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Nitzschia communis,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,126.2126866,0.396454813,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Nitzschia frustulum,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),5.609452736,3.076923077,673.1343284,2.114425669,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Nitzschia palea,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,504.8507463,1.585819252,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Nitzschia paleacea,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,274.8631841,0.863390482,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Oocystis pusilla,Oocystis,Oocy,N,Green algae (Chlorophyta & Charophyta),2.804726368,1.538461538,605.8208955,1.902983102,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),84.14179104,46.15384615,1682.835821,5.286064173,182.3072139,31835.32711,
0822HC_Phyto_L_spatial,2013,August,8/22/2013,Hills Creek,spatial,Synedra rumpens,Synedra,Syne,N,Diatom (Bacillariophyceae),2.804726368,1.538461538,392.6616915,1.233414974,182.3072139,31835.32711,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Achnanthes minutissima,Achnanthes,Achn,N,Diatom (Bacillariophyceae),1.957465278,1.818181818,97.87326389,1.09373291,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),17.6171875,16.36363636,484.4726563,5.413977907,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Chromulina sp.,Chromulina,Chro,N,Golden algae (Chrysophyceae),1.957465278,1.818181818,39.14930556,0.437493164,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),9.787326389,9.090909091,5089.409722,56.87411134,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Gomphonema angustatum,Gomphonema,Gomp,N,Diatom (Bacillariophyceae),1.957465278,1.818181818,352.34375,3.937438478,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Navicula cryptocephala,Navicula,Navi,N,Diatom (Bacillariophyceae),1.957465278,1.818181818,362.1310764,4.046811769,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Nitzschia dissipata,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),1.957465278,1.818181818,526.5581597,5.884283058,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Nitzschia frustulum,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),3.914930556,3.636363636,469.7916667,5.24991797,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Nitzschia sp.,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),1.957465278,1.818181818,234.8958333,2.624958985,107.6605903,8948.552517,
0822HCC_Phyto_L_depth,2013,August,8/22/2013,Hills Creek,C (depth),Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),64.59635417,60,1291.927083,14.43727442,107.6605903,8948.552517,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),6.651917404,1.438848921,166.2979351,0.146314342,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Asterionella formosa,Asterionella,Aste,N,Diatom (Bacillariophyceae),282.7064897,61.15107914,93293.14159,82.08234571,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Chromulina sp.,Chromulina,Chro,N,Golden algae (Chrysophyceae),79.82300885,17.26618705,1596.460177,1.404617681,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),9.977876106,2.158273381,5188.495575,4.565007462,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Cyclotella stelligera,Cyclotella,Cycl,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,182.9277286,0.160945776,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Elakatothrix gelatinosa,Elakatothrix,Elak,N,Green algae (Chlorophyta & Charophyta),3.325958702,0.71942446,558.7610619,0.491616188,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Fragilaria construens venter,Fragilaria,Frag,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,159.6460177,0.140461768,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Fragilaria leptostauron,Fragilaria,Frag,N,Diatom (Bacillariophyceae),6.651917404,1.438848921,2447.905605,2.15374711,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Fragilaria pinnata,Fragilaria,Frag,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,199.5575221,0.17557721,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Melosira italica,Melosira,Melo,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,3133.053097,2.756562198,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Navicula cryptocephala,Navicula,Navi,N,Diatom (Bacillariophyceae),6.651917404,1.438848921,1230.60472,1.082726129,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Navicula minima,Navicula,Navi,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,146.3421829,0.128756621,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Navicula viridula,Navicula,Navi,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,1496.681416,1.316829076,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Nitzschia acicularis,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,931.2684366,0.819360314,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Nitzschia frustulum,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,399.1150442,0.35115442,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),26.60766962,5.755395683,532.1533923,0.468205894,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Scenedesmus denticulatus,Scenedesmus,Scen,N,Green algae (Chlorophyta & Charophyta),3.325958702,0.71942446,598.6725664,0.52673163,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Synedra parasitica,Synedra,Syne,N,Diatom (Bacillariophyceae),3.325958702,0.71942446,465.6342183,0.409680157,462.3082596,113657.9867,
0823BR_Phyto_L_spatial,2013,August,8/23/2013,Blue River,spatial,Synedra rumpens,Synedra,Syne,N,Diatom (Bacillariophyceae),6.651917404,1.438848921,931.2684366,0.819360314,462.3082596,113657.9867,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Achnanthes lanceolata,Achnanthes,Achn,N,Diatom (Bacillariophyceae),1.828872668,1.098901099,329.1970803,1.31486676,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Achnanthes recurvata,Achnanthes,Achn,N,Diatom (Bacillariophyceae),1.828872668,1.098901099,146.3098135,0.584385227,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),3.657745337,2.197802198,91.44363341,0.365240767,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Asterionella formosa,Asterionella,Aste,N,Diatom (Bacillariophyceae),29.26196269,17.58241758,10943.97405,43.71201496,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Chlamydomonas sp.,Chlamydomonas,Chla,N,Green algae (Chlorophyta & Charophyta),1.828872668,1.098901099,594.3836172,2.374064984,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Chromulina sp.,Chromulina,Chro,N,Golden algae (Chrysophyceae),49.37956204,29.67032967,987.5912409,3.944600281,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),7.315490673,4.395604396,3804.05515,15.1940159,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Dinobryon sp.,Dinobryon,Dino,N,Golden algae (Chrysophyceae),1.828872668,1.098901099,228.6090835,0.913101917,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Elakatothrix gelatinosa,Elakatothrix,Elak,N,Green algae (Chlorophyta & Charophyta),7.315490673,4.395604396,983.2019465,3.927068724,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Navicula minima,Navicula,Navi,N,Diatom (Bacillariophyceae),3.657745337,2.197802198,160.9407948,0.642823749,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Nitzschia palea,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),1.828872668,1.098901099,329.1970803,1.31486676,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),27.43309002,16.48351648,548.6618005,2.1914446,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Sphaerocystis schroeteri,Sphaerocystis,Spha,N,Green algae (Chlorophyta & Charophyta),1.828872668,1.098901099,2048.337388,8.181393174,166.4274128,25036.53528,
0823BRC_Phyto_L_depth,2013,August,8/23/2013,Blue River,C (depth),Synedra rumpens,Synedra,Syne,N,Diatom (Bacillariophyceae),27.43309002,16.48351648,3840.632603,15.3401122,166.4274128,25036.53528,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),53.28270042,60.21505376,1065.654008,7.183170857,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),18.07805907,20.43010753,9400.590717,63.36582863,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),4.757383966,5.376344086,118.9345992,0.801693176,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Achnanthes lanceolata,Achnanthes,Achn,N,Diatom (Bacillariophyceae),1.902953586,2.150537634,342.5316456,2.308876347,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Achnanthes minutissima,Achnanthes,Achn,N,Diatom (Bacillariophyceae),1.902953586,2.150537634,95.14767932,0.641354541,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Chlamydomonas sp.,Chlamydomonas,Chla,N,Green algae (Chlorophyta & Charophyta),1.902953586,2.150537634,618.4599156,4.168804515,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Mallomonas sp.,Mallomonas,Mall,Y,Golden algae (Chrysophyceae),1.902953586,2.150537634,723.1223629,4.87429451,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Kephyrion spirale,Kephyrion,Keph,N,Golden algae (Chrysophyceae),0.951476793,1.075268817,59.94303797,0.404053361,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Cyclotella stelligera,Cyclotella,Cycl,N,Diatom (Bacillariophyceae),0.951476793,1.075268817,52.33122363,0.352744997,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Synedra ulna,Synedra,Syne,N,Diatom (Bacillariophyceae),0.951476793,1.075268817,1893.438819,12.76295536,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Asterionella formosa,Asterionella,Aste,N,Diatom (Bacillariophyceae),0.951476793,1.075268817,209.3248945,1.41097999,88.48734177,14835.42616,
14_0603LP_Phyto_L_spatial,2014,June,5/27/2014,Lookout Point,spatial,Nitzschia dissipata,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),0.951476793,1.075268817,255.9472574,1.725243715,88.48734177,14835.42616,
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Asterionella formosa,Asterionella,Aste,N,Diatom (Bacillariophyceae),485.6923077,54.26356589,149593.2308,34.26791277,895.0615385,436540.2462,
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Dolichospermum flos-aquae,Dolichospermum,Doli,N,Bluegreen algae (Cyanobacteria),235.9076923,26.35658915,268698.8615,61.55191048,895.0615385,436540.2462,4010.430769
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),124.8923077,13.95348837,2497.846154,0.572191493,895.0615385,436540.2462,
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),20.81538462,2.325581395,10824,2.479496471,895.0615385,436540.2462,
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),13.87692308,1.550387597,346.9230769,0.079471041,895.0615385,436540.2462,
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Nitzschia palea,Nitzschia,Nitz,N,Diatom (Bacillariophyceae),6.938461538,0.775193798,1248.923077,0.286095747,895.0615385,436540.2462,
14_0601FC_Phyto_L_spatial,2014,June,5/28/2014,Fall Creek,spatial,Dinobryon sertularia,Dinobryon,Dino,N,Golden algae (Chrysophyceae),6.938461538,0.775193798,3330.461538,0.762921991,895.0615385,436540.2462,
14_0601FCC_Phyto_L_depth,2014,June,5/28/2014,Fall Creek,C (depth),Rhodomonas minuta,Rhodomonas,Rhod,N,Cryptophyte (Cryptophyta),104.1965517,47.18309859,2083.931034,1.683501684,220.8344828,123785.5034,
14_0601FCC_Phyto_L_depth,2014,June,5/28/2014,Fall Creek,C (depth),Dolichospermum flos-aquae,Dolichospermum,Doli,N,Bluegreen algae (Cyanobacteria),88.64482759,40.14084507,112844.8655,91.16161616,220.8344828,123785.5034,1684.251724
14_0601FCC_Phyto_L_depth,2014,June,5/28/2014,Fall Creek,C (depth),Ankistrodesmus falcatus,Ankistrodesmus,Anki,N,Green algae (Chlorophyta & Charophyta),10.8862069,4.929577465,272.1551724,0.219860294,220.8344828,123785.5034,
14_0601FCC_Phyto_L_depth,2014,June,5/28/2014,Fall Creek,C (depth),Cryptomonas erosa,Cryptomonas,Cryp,N,Cryptophyte (Cryptophyta),6.220689655,2.816901408,3234.758621,2.613196643,220.8344828,123785.5034,
14_0601FCC_Phyto_L_depth,2014,June,5/28/2014,Fall Creek,C (depth),Asterionella formosa,Asterionella,Aste,N,Diatom (Bacillariophyceae),4.665517241,2.112676056,1334.337931,1.077943615,220.8344828,123785.5034,
