lake,date_yyyy_mm_dd,zoo_order,zoo_taxa,zoo_lifestage,zoo_length_unit,zoo_length_measurement
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.552
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.552
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
1ST Lake,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
1ST Lake,2018,Copepoda,Limnocalanus macrurus ,Adult,mm,2.91
1ST Lake,2018,Copepoda,Limnocalanus macrurus ,Adult,mm,2.91
1ST Lake,2018,Copepoda,Limnocalanus macrurus ,Adult,mm,2.716
1ST Lake,2018,Copepoda,Limnocalanus macrurus ,Adult,mm,2.716
1ST Lake,2018,Copepoda,Cyclops scutifer,Adult,mm,1.358
1ST Lake,2018,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.58
1ST Lake,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.87
1ST Lake,2018,Copepoda,Leptodiaptomus minutus,Copepodite 4,mm,0.97
1ST Lake,2018,Copepoda,Leptodiaptomus minutus,Adult,mm,1.26
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,0.873
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,0.776
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,1.261
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,0.873
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,1.3192
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,0.9312
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,0.873
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,0.776
1ST Lake,2018,Cladoceran,Daphnia catawba,Adult,mm,1.552
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.58
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.873
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.8342
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.8536
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.873
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.873
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.7954
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.7178
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.8342
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.776
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,0.97
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0088
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0088
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.067
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,0.97
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0088
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0282
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0088
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0864
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.0088
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.4356
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2998
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.4938
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2998
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2998
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2222
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2222
1ST Lake,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.416
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Copepodite 3,mm,0.97
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Copepodite 4,mm,1.358
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Copepodite 4,mm,1.2222
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Copepodite 4,mm,1.067
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Copepodite 4,mm,1.2998
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.522
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.716
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.2116
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.619
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.716
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.328
1ST Lake,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.716
1ST Lake,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.601
1ST Lake,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.679
1ST Lake,2019,Copepoda,Cyclops sp.,Adult,mm,1.168
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.8342
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.0476
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.1058
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3192
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3192
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3192
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.4162
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3192
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2804
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2804
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2804
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2998
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3192
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3386
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2222
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.649
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
Pond 12,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.5908
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.485
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.485
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.485
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.485
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.5238
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.3492
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.601
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.582
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.582
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.4463
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.485
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.582
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.8148
Pond 12,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.679
Pond 12,2019,Copepoda,Leptodiaptomus minutus,Adult,mm,0.97
Pond 12,2019,Copepoda,Cyclops sp.,Copepodite 2,mm,0.582
Pond 12,2019,Copepoda,Cyclops sp.,Copepodite 2,mm,0.582
Pond 12,2019,Copepoda,Cyclops sp.,Copepodite 2,mm,0.582
Pond 12,2019,Copepoda,Cyclops sp.,Adult,mm,1.746
Pond 12,2019,Copepoda,Cyclops sp.,Adult,mm,1.746
Pond 12,2019,Copepoda,Cyclops sp.,Adult,mm,1.746
Pond 12,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.261
Pond 12,2019,Cladoceran,Bosmina sp.,Adult,mm,0.4462
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97577
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.95684
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.95006
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.1401
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.00178
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.01817
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.94412
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.06669
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.0298
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.02321
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.03288
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.873
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.746
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.9894
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.06884
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.94744
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.01553
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.04349
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.90996
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.06254
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.01554
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.00454
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.9894
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.97
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.04927
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.03257
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.96841
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.01055
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.92707
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.9894
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.9894
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.873
Pond 18,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,0.9506
Pond 18,2019,Copepoda,Arctodiaptomus arapahoensis,Adult,mm,2.522
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.478
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.4656
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.5814
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.6526
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.5332
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.5367
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.6208
Pond 18,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.5432
Pond 18,2019,Copepoda,Harpacticoid sp.,Adult,mm,0.4672
Pond 18,2019,Copepoda,Limnocalanus macrurus ,Adult,mm,2.037
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.76678
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,2.1146
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.358
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.746
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.5908
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.746
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.746
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.649
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.2998
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.7848
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.7266
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.9982
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.81541
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.79494
Pond 18,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,2.328
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.582
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.582
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.582
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.582
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.7178
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.776
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.873
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.873
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.776
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.8924
CBL5,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.8342
CBL5,2018,Copepoda,Leptodiaptomus minutus,Adult,mm,1.2028
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.679
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.6208
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.8342
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.0282
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.3192
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.3192
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.582
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.679
