Temp,BPA,Trip,Species,proportion_of_count,proportion_of_biovolume,Total_ BV,bv_species,count,avg_bv_per_count
27,2,A,Sq,0.000113661,0.002518835,37476756.1,94397.76,9,10488.64
27,2,B,Cv,0.999543092,0.995401608,54948593.23,54695918.06,70004,781.3256108
27,2,B,Ab,0.000242732,0.00115818,54948593.23,63640.37,17,3743.551177
27,2,B,Sq,0.000214176,0.003440212,54948593.23,189034.8,15,12602.32
27,2,C,Cv,0.999011523,0.99286357,51809247.18,51439514.1,70746,727.1013782
27,2,C,Ab,0.000480117,0.001691589,51809247.18,87639.95998,34,2577.645882
27,2,C,Sq,0.00050836,0.005444841,51809247.18,282093.12,36,7835.92
27,13,A,Cv,0.999676667,0.998370605,64794885.51,64689309.04,58744,1101.207086
27,13,A,Ab,0.000187193,0.000277692,64794885.51,17993.03,11,1635.73
27,13,A,Sq,0.00013614,0.001351703,64794885.51,87583.44003,8,10947.93
27,13,B,Cv,0.997907539,0.994954122,19195925.01,19099064.72,15261,1251.494969
27,13,B,Ab,0.001634735,0.002259531,19195925.01,43373.77999,25,1734.9512
27,13,B,Sq,0.000457726,0.002786347,19195925.01,53486.51,7,7640.93
27,13,C,Cv,0.999328759,0.994245172,9901086.02,9844106.97,13399,734.6896761
27,13,C,Ab,0.000372912,0.000587355,9901086.02,5815.45,5,1163.09
27,13,C,Sq,0.000298329,0.005167474,9901086.02,51163.6,4,12790.9
