Ref.code;Authors;Year;Title;Journal.Book;Pub.type
59;Langeland, A., Koksvik, J. I., and Y. Olsen.;1985;Post-embryonic development and growth rates of Daphnia pulex and Daphnia galeata under natural food conditions;Verhandlungen der Internationalen Vereinigung fur Theoretische und Angewandte Limnologie;Article
60;Orr, A. P.;1934;On the biology of Calanus finmarchicus. Part IV in Seasonal changes in the weight and chemical composition in Loch Fyne;Journal of the Marine Biological Association of the United Kingdom;Article
61;Lehman, J. T.;1980;Nutrient cycling as an interface between algae and grazers in freshwater communities;American Society of Limnology and Oceanography Special Symposium;Article
62;Hessen, D. O. ;1990;Carbon, nitrogen and phosphorus status in Daphnia at varying food conditions ;Journal of Plankton Research;Article
63;Hessen, D. O., and A. Lyche.;1991;Inter- and intraspecific variations in zooplankton element composition;Archiv fÅr Hydrobiologie;Article
64;Walve, J., and U. Larsson.;1999;Carbon, nitrogen and phosphorus stoichiometry of crustacean zooplankton in the Baltic Sea: implications for nutrient recycling;Journal of Plankton Research;Article
65;Whittaker, R. E.;1961;Experiments with radiophosphorus tracer in aquarium ecosystems ;Ecological Monograph;Article
66;James, M. R., and K. Salonen.;1991;Zooplankton-phytoplankton interactions and their importance in the phosphorus cycle of a polyhumic lake;Archiv fÅr Hydrobiologie;Article
67;Wen, Y. H.;1996;Pharmacokinetic modeling of pollutant fluxes by limnoplankton;NA;Thesis
68;Brett, M. T., MÅller-Navarra, D.C., and J. Persson.;2009;Crustacean zooplankton fatty acid composition;Lipids in Aquatic Ecosystems;Book or book chapter
69;Ikeda, T.;1974;Nutritional ecology of marine zooplankton;Memoirs of Faculty of Fisheries Sciences;Institutional report, bulletin or memoirs
70;Ikeda, T., Hing Fay, E., Hutchinson, S. A., and G. M. Boto.;1982;Relationships between excretion rates and body size. Vol 1 in Ammonia and inorganic phosphate excretion by zooplankton from inshore waters of the Great Barrier Reef, Queensland;Australian Journal of Marine and Freshwater Research;Article
71;Ikeda, T.;2013;Marine zooplankton metabolic measurements;NA;Unpublished data
72;Ikeda, T., and H. R. Skjoldal.;1989;Metabolism and elemental composition of zooplankton from the Barent Sea during Arctic summer;Marine Biology;Article
73;Ikeda, T., and A. W. Mitchell. ;1982;Oxygen uptake, ammonia excretion and phosphate excretion by krill and other Antarctic zooplankton in relation to their body size and chemical composition;Marine Biology;Article
74;Ikeda, T., and Hirakawa, K.;1998;Metabolism and body composition of zooplankton in the cold mesopelagic zone of the southern Japan Sea;Plankton Biology and Ecology;Article
75;Ikeda, T., Kanno, Y., Ozaki, K., and A. Shinada.;2001;Metabolic rates of epipelagic marine copepods as a function of body mass and temperature;Marine Biology;Article
76;Kim, S., and T. Onbe.;1989;Observations on the Biology of the Marine Cladoceran Podon schmackeri;Journal of Crustacean Biology;Article
77;Razouls, C., de BovÇe, F., Kouwenberg, J., and N. Desreumaux.;2014;Diversite et repartition geographique chez les copepodes planctoniques marins;NA;Open access online database
78;Mauchline, J.;1998;The biology of calanoid copepods;Advances in marine biology;Book or book chapter
79;Conover, R. J.;1959;Regional and seasonal variation in the respiratory rate of marine copepods;Limnology and Oceanography;Article
80;Gardner, G.A. and I. Szabo.;1982;British Columbia Pelagic Marine Copepoda: An identification Manual and Annotated Bibliography;Canadian Special Publication of Fisheries and Aquatic Sciences;Article
81;Lindley, J. A., John, A. W. G., and D. B. Robins.;1997;Dry weight, carbon and nitrogen content of some calanoid copepods from the seas around southern Britain in winter;Journal of the Marine Biological Association of the United Kingdom;Article
82;ArcOD (Arctic Ocean Diversity). ;2013;Consolidated data set on zooplankton in open access;NA;Open access online database
83;Jaschnov, W. A.;1972;On the systematic status of Calanus glacialis, Calanus finmarchicus and Calanus helgolandicus;Crustacea;Article
84;Omori, M. ;1969;Weight and chemical composition of some importante oceanic zooplankton in the North Pacific Ocean;Marine Biology;Article
85;Arashkevich, Y. G.;1969;The food and feeding of Copepods in the northwestern Pacific;Oceanology;Article
86;Murphy, J. A., and R. E. Cohen.;1978;NA;A guide to the developmental stages of common coastal, Georges Bank and Gulf of Maine Copepods;Book or book chapter
87;Deevey, G. B.;1966;Seasonal variations in length of copepods in South Pacific New Zealand Waters;Australian Journal of Marine and Freshwater Research;Article
88;Johnson, W. S., and D. M. Allen.;1946;NA;Zooplankton of the Atlantic and Gulf coasts;Book or book chapter
89;Pertola, S., Koski, M., and M. Viitasalo.;2002;Stoichiometry of mesozooplankton in N- and P-limited areas of the Baltic Sea;Marine Biology;Article
90;Frost, B.;1983;Feeding behavior of large calanoid copepods Neocalanus cristatus and N. plumchrus from the subarctic Pacific Ocean;Deep-sea Research;Article
91;Tsuda, A., Saito, H., and H. Kasai.;1999;Life histories of Neocalanus emingeri and Neocalanus plumchrus in the western subarctic Pacific;Marine Biology;Article
92;Wickstead, J. H.;1962;Food and feeding in pelagic copepods;Proceedings of the zoological society of London;Article
93;Gowing, M. M., and K. F. Wishner.;1992;Feeding ecology of benthopelagic zooplankton on an eastern tropical Pacific seamount;Marine Biology;Article
94;Turner, J. T.;2004;The importance of small planktonic copepods and their roles in pelagic marine food webs;Zoological Studies;Article
95;Dvoretsky, V. G. and A. G. Dvoretsky.;2009;Life cycle of Oithona similis (Copepoda, Cyclopoida) in Kola Bay (Barents Sea);Marine Biology;Article
96;Hirche, H. J., Kosobokova, K. N., Gaye-Haake, B., Harms, I., Meon, B., and E. M. Nothig.;2006;Structure and function of contemporary food webs on Arctic shelves: A pan-arctic comparison: The pelagic system of the Kara Sea - Communities and components of carbon flow;Progress in Oceanography;Article
97;Diel S., and K. Tande.;1992;Does the spawning of Calanus finmarchicus in high latitudes follow a reproducible pattern?;Marine Biology;Article
98;Lee, R. F.;1974;Lipids of zooplankton from Bute Inlet, British Columbia;Journal of the Fisheries Research Board of Canada;Article
99;Ohman, M. D., Bradford, J. M., and J. B. Jillett.;1989;Seasonal growth and lipid storage of the global, subantarctic copepod, Neocalanus tonsus;Deep-Sea Research;Article
100;Alonzo, F., Mayzaud, P., and S. Razouls.;2000;Egg production, population structure and biochemical composition of the subantarctic copepod Paraeuchaeta antarctica in the Kerguelen Archipelago;Marine Ecology Progress Series;Article
101;Alonzo, F, Mayzaud, P., and S. Razouls.;2000;Egg-production dynamics, biochemical composition and hatching success of the subantarctic copepod Paraeuchaeta antarctica: laboratory studies ;Marine Ecology Progress Series ;Article
102;Mayzaud, P. ;1976;The occurrence and distribution of octadecapentaenoic acid in a natural plankton population - A possible food chain index ;Lipids;Article
103;Harris, R. P., Berdugo, V., Corner, E. D. S., Kilvington, C. C., and S. C. M. O'Hara.;1977;Factors affecting the retention of a petroleum hydrocarbon by marine planktonic copepods;Fate and effects of petroleum hydrocarbons in marine ecosystems and organisms;Book or book chapter
104;Kayama, M., and M. Mankura. ;1980;Hydrolysis and synthesis of wax ester by calanoid copepod, Acartia clausi, preparation;Bulletin of the Japanese Society for the Science of Fish ;Article
105;Uye, S. I. ;1981;Fecundity studies of neritic calanoid copepods Acartia clausi (Giesbrecht) and A steueri (Smirnov): a simple empirical model of daily egg production ;Journal of Experimental Marine Biology and Ecology ;Article
106;Lee, R. F., and J. Hirota.;1973;Wax esters in tropical zooplankton and nekton and the geographical distribution of wax esters in marine copepods;Limnology and Oceanography;Article
107;Dagg, M. ;1977;Some effects of patchy food environments on copepods ;Limnology and Oceanography ;Article
108;Houde, S., and M. R. Roman. ;1987;Effects of food quality on the functional ingestion response of the copepod Acartia tonsa ;Marine Ecology Progress Series ;Article
109;Nival, S., Pagano, M., and P. Nival. ;1990;Laboratory study of the spawning rate of the calanoid copepod Centropages typicus: effect of fluctuating food concentration;Journal of Plankton Research ;Article
110;Attwood, C. G., and W. T. Peterson.;1989;Reduction in fecundity and lipids of the copepod Calanus australis (Brodskii) by strongly pulsed upwelling ;Journal of Experimental Marine Biology and Ecology;Article
111;Borchers, P., and P. Hutchings. ;1986;Starvation tolerance, development time and egg production of Calanoides carinatus in the Southern Benguela Current ;Journal of Plankton Research;Article
112;Sargent, J. R., and R. J. Henderson. ;1986;Lipids;The biological chemistry of marine copepods;Book or book chapter
113;Runge, J. A. ;1984;Egg production of the marine, planktonic copepod, Calanus pacificus;Limnology and Oceanography ;Article
114;Hassett, R. P., and M. R. Landry. ;1990;Effects of diet and starvation on digestive enzyme activity and feeding behavior of the marine copepod Calanus pacificus ;Journal of Plankton Research;Article
115;Lee, R. F. ;1975;Lipids of Arctic zooplankton ;Comparative Biochemistry and Physiology;Article
116;Hirche, H. J.;1989;Egg production of the Arctic copepod Calanus glacialis: laboratory experiments ;Marine Biology;Article
117;Hirche, H. J., and G. Kattner. ;1993;Egg production and lipid content of Calanus glacialis in spring: indication of a food-dependent and food-independent reproductive mode;Marine Biology;Article
118;Conover, R. J. ;1964;Food relations and nutrition of zooplankton;Symposium on experimental marine ecology;Institutional report, bulletin or memoirs
119;Lee, R. F. ;1974;Lipid composition of the copepod Calanus hyperboreus from the Arctic Ocean Changes with depth and season ;Marine Biology ;Article
120;Benson, A. A., Lee, R. F., and J. C. Nevenzel. ;1972;Wax esters: major marine metabolic energy source ;Current trends in the biochemistry of lipids;Book or book chapter
121;Bamstedt, U., and J. B. L. Matthews. ;1975;The weight and biochemical composition of Euchaeta norvegica (Boeck) in relation to its life cycle ;Studies of the deep-water pelagic community of Korsfjorden, western Norway;Book or book chapter
122;Lee, R. F., and A. Barnes. ;1975;Lipids in the mesopelagic copepod, Gaussia princeps: wax ester utilization during starvation;Comparative Biochemistry and Physiology ;Article
123;Fraser A. J., Sargent J. R., and J. C. Gamble. ;1989;Lipid class and fatty acid composition of Calanus finmarchicus (Gunnerus), Pseudocalanus sp and Temora longicornis (MÅller) from a nutrient-enriched seawater enclosure;Journal of Experimental Marine Biology and Ecology ;Article
124;Bamstedt, U., Hakanson, J. L., Brenner-Parsen, J., Bjîrnsen P. K., Geertz-Hansen O., and P. Tiselius.;1990;Copepod nutrition and pelagic production during autumn in Kosterfjorden, western Sweden ;Marine Biology ;Article
125;Corkett, C. J., and I. A. McLaren. ;1969;Egg production and oil storage by the copepod Pseudocalanus in the laboratory ;Journal of Experimental Marine Biology and Ecology;Article
126;Sommer U., Berninger, U. G., Bottger-Schnack R, Cornils, A. et al. ;2002;Grazing during early spring in the Gulf of Aqaba and the northern Red Sea;Marine Ecology Progress Series;Article
127;Graeve M., Hagen W., and G. Kattner. ;1994;Herbivorous or ominivorous? On the significance of lipid compositions as trophic markers in Antarctic copepods ;Deep-Sea Research I ;Article
128;Lee, R. F., Hirota, J., and A. M. Barnett. ;1971;Distribution and importance of wax esters in marine copepods and other zooplankton ;Deep-Sea Research I ;Article
129;Saito, H., and Y. Kotani. ;2000;Lipids of four boreal species of calanoid copepods: origin of monoene fats of marine animals at higher trophic levels in the grazing food chain in the subarctic ocean ecosystem;Marine Chemistry ;Article
130;Hagen, W., Kattner, G., and M. Graeve. ;1995; On the lipid biochemistry of polar copepods: Compositional differences in the Antarctic calanoids Euchaeta antarctica and Euchirella rostromagna ;Marine Biology ;Article
131;Kattner G., Graeve M., and W. Hagen.;1994;Ontogenetic and seasonal changes in lipid and fatty acid/alcohol compositions of the dominant Antarctic copepods Calanus propinquus, Calanoides acutus, and Rhincalanus gigas ;Marine Biology;Article
132;Falk-Petersen, S., Sargent, J. R., Lonne, O. J., and S. Timofeev. ;1999;Functional biodiversity of lipids in Antarctic zooplankton: Calanoides acutus, Calanus propinquus, Thysanoessa macrura, and Euphausia crystallorophias;Polar Biology;Article
133;Scott, C. L., Kwasniewski, S., Falk-Petersen, S, and J. R. Sargent. ;2000;Lipids and life strategies of Calanus finmarchicus, Calanus glacialis and Calanus hyperboreus in late autumn, Kongsfjorden, Svalbard ;Polar Biology ;Article
134;Auel, H., Klages, M., and I. Werner. ;2003;Respiration and lipid content of the Arctic copepod Calanus hyperboreus overwintering 1 m above the seafloor at 2,300 m water depth in the Fram Strait;Marine Biology ;Article
135;Jonasdottir, S. H.;1999;Lipid content of Calanus finmarchicus during overwintering in the Faroe-Shetland Channel ;Fish Oceanography ;Article
136;Ohman, M. D. ;1987;Energy sources for recruitment of the subantarctic copepod Neocalanus tonsus ;Limnology and Oceanography ;Article
137;Darnis, G., and L. Fortier. ;2012;Marine zooplankton respiration data ;NA;Unpublished data
138;Park, T. S. ;1968;Calanoid copepods from the Central North Pacific Ocean ;Fishery Bulletin of the United States Fish and Wildlife Serviceˇ;Article
139;Bradford, J. M. ;1971;AetideusˇandˇEuaetideusˇ(Copepoda: Calanoida) from the Atlantic and Pacific oceans;New Zealand Journal of Marine and Freshwater Research ;Article
140;Conover, R. J. ;1988;Comparative life histories in the genera Calanus and Neocalanus in high latitude of the northern hemisphere ;Hydrobiologia ;Article
141;IMAS;2012;Australian Marine Zooplankton: A taxonomic guide and atlas ;NA;Open access online database
142;Shimode, S., Takahashi, K., Shimizu, Y. et al.;2012;Distribution and life history of the planktonic copepod Eucalanus californicus, in the northwestern Pacific: Mechanisms for population maintenance within a high primary production area;Progress in Oceanography;Article
143;Yamaguchi, A., Watanabe, Y., Ishida, H., Harimoto, T., Furusawa, K., Suzuki, S., Ishizaka, J., Ikeda, T., and M. M. Takahashi.;2002;Community and trophic structures of pelagic copepods down to greater depths in the western subarctic Pacific ;Deep-sea Research I;Article
144;Ozaki, K., and T. Ikeda;1998;Development time and generation length of the mesopelagic copepod Paraeuchaeta elongata reared in the laboratory ;Plankton Biology and Ecology;Article
145;Greene, C. H, and M. R. Landry.;1985;Patterns of prey selection in the cruising calanoid predator Euchaeta elongata ;Ecology ;Article
146;Ikeda, T., Yamaguchi, A., and T. Matsuishi.;2006;Chemical composition and energy content of deep-sea calanoid copepods in the Western North Pacific Ocean ;Deep-Sea Research I;Article
147;Steinberg, D. K., Goldthwait, S. A., and D. A. Hansell. ;2002;Zooplankton vertical migration and the active transport of dissolved organic and inorganic nitrogen in the Sargasso Sea;Deep-Sea Research I;Article
148;Quetin, L. B., Ross, R. M., and K. Uchio;1980;Metabolic characteristics of midwater zooplankton: Ammonia excretion, O:N ratios, and the effect of starvation ;Marine Biology ;Article
149;Cataletto, B., and S. Fonda Umani.;1994;Seasonal variations in carbon and nitrogen content of Acartia clausi (Copepoda, Calanoida) in the Gulf of Trieste (Northern Adriatic Sea) ;Hydrobiologia ;Article
150;Gismervik, I. ;1997;Implications of zooplankton stoichiometry on distribution of N and P among planktonic size fractions ;Journal of Plankton Research ;Article
151;Ambler, J. W. ;1985;Seasonal factors affecting egg production and viability of eggs of Acartia tonsa (Dana) from East Lagoon, Galveston, Texas;Estuarine, Coastal and Shelf Science;Article
152;Libourel Houde, S. E., and M. R. Roman. ;1987;Effects of food quality on the functional ingestion response of the copepod Acartia tonsa;Marine Ecology Progress Series;Article
153;Ikeda, T. ;1972;Chemical composition and nutrition of zooplankton in the Bering Sea;Biological Oceanography of the Northern North Pacific Ocean;Book or book chapter
154;Mayzaud, P., and J. L. M. Martin. ;1975;Some aspects of the biochemical and mineral composition of marine plankton ;Journal of Experimental Marine Biology and Ecology ;Article
155;Tande, K. S. ;1982;Ecological investigations on the zooplankton community of Balsfjorden, Northern Norway: Generation cycles, and variations in body weight and body content of carbon and nitrogen related to overwintering and reproduction in the copepod Calanus finmarchicus (Gunnerus) ;Journal of Experimental Marine Biology and Ecology ;Article
156;Bamstedt, U., and A. Ervik.;1984;Local variations in size and activity among Calanus finmarchicus and Metridia longa (Copepoda, Calanoida) overwintering on the west coast of Norway ;Journal of Plankton Research ;Article
157;Willason, S. W., Favuzzi, J., and J. L. Cox. ;1986;Patchiness and nutritional condition of zooplankton in the California Current;Fishery Bulletin NOAA ;Article
158;Ikeda, T., and E. Hing Fay. ;1981;Metabolic activity of zooplankton from the Antarctic Ocean ;Australian Journal of Marine and Freshwater Research ;Article
159;Gorsky, G., Dallot, S., Sardou, J., Fenaux, R., Carre, C., and I. Palazzoli. ;1988;C and N composition of some northwestern Mediterranean zooplankton and micronekton species;Journal of Experimental Marine Biology and Ecology ;Article
160;Bamstedt, U. ;1978;Studies on the deep-water pelagic community of Korsfjorden, western Norway Seasonal variation in weight and biochemical composition of Chiridius armatus (Copepoda), Boreomysis arctica (Mysidacea), and Eukrohnia hamata (Chaetognatha) in relation to their biology ;Sarsia;Article
161;Dagg, M. J., and J. L. Littlepage. ;1972;Relationships between growth rate and RNA, DNA, protein and dry weight in Artemia salina and Euchaeta elongata ;Marine Biology;Article
162;Lindsay, D. J. ;2003;Carbon and nitrogen contents of mesopelagic organisms: Results from Sagami Bay, Japan ;Deep-Sea Research I;Article
163;Kosobokova, K. N., Hirche, H. J., and T. Scherzinger. ;2002;Feeding ecology of Spinocalanus antarcticus, a mesopelagic copepod with a looped gut ;Marine Biology;Article
164;Jawed, M. ;1973;Ammonia excretion by zooplankton and its significance to primary productivity during summer ;Marine Biology;Article
165;Gaudy, R., and J. Boucher. ;1983;Relation between respiration, excretion (ammonia and inorganic phosphorus) and activity of amylase and trypsin in different species of pelagic copepods from an Indian Ocean equatorial area ;Marine Biology;Article
166;Butler, E. I., Corner, E. D. S., and S. M. Marshall. ;1970;On the nutrition and metabolism of zooplankton, VII: Seasonal survey of nitrogen and phosphorus excretion by Calanus in the Clyde Sea-area;Journal of the Marine Biological Association of the United Kingdom;Article
167;Fernandez, F. ;1978;Metabolismo y alimentacidn en copepodos planctonicos del Mediterraneo: respuesta a la temperatura ;Investigacion Pesquera ;Article
168;Harris, E. ;1959;The nitrogen cycle in Long Island Sound ;Oceanography of Long Island Sound;Book or book chapter
169;Bamstedt, U., and K. S. Tande.;1985;Respiration and excretion rates of Calanus glacialis in arctic waters of the Barents Sea ;Marine Biology;Article
170;Rakusa-Suszczewsld, S., McWhinnie, M. A., and M. O. Cahoon.;1976;Respiration of the antarctic copepod Rhincalanus gigas ;Limnology and Oceanography;Article
171;Ikeda, T. ;1977;The effect of laboratory conditions on the extrapolation of experimental measurements to the ecology of marine zooplankton IV Changes in respiration and excretion rates of boreal zooplankton species maintained under fed and starved conditions ;Marine Biology ;Article
172;Anraku, M.;1964;Influence of the Cape Cod Canal on the hydrography and on the copepods in Buzzard's Bay and Cape Cod Bay, Massachusetts. II. Respiration and feeding;Limnology and Oceanography ;Article
173;Ikeda, T. ;1971;Preliminary shipboard culture experiments on the feeding and respiration of an oceanic copepod, Calanus cristatus, in the Bering Sea;Bulletin of the Plankton Society of Japan;Article
174;Taguchi, S., and H. Ishii. ;1972;Shipboard experiments on respiration, excretion and grazing of Calanus cristatus and C plumchrus (Copepoda) in the Northern North Pacific;Biological oceanography of the North Pacific Ocean;Book or book chapter
175;Bamstedt, U. ;1983;RNA concentration in zooplankton: seasonal variation in boreal species ;Marine Ecology Progress Series ;Article
176;Bamstedt, U. ;1985;Seasonal excretion rates of macrozooplankton from the Swedish west coast;Limnology and Oceanography ;Article
177;Conover, R. J., and E. D. S. Corner. ;1968;Respiration and nitrogen excretion by some marine zooplankton in relation to their life cycles ;Journal of the Marine Biological Association of the United Kingdom ;Article
178;Dagg, M. J., Vidal, J., Whitledge, T. E., Iverson, R., and J. J. Goering. ;1982;The feeding, respiration, and excretion of zooplankton in the Bering Sea during a spring bloom;Deep-Sea Research I;Article
179;Mayzaud, P. ;1976;Respiration and nitrogen excretion of zooplankton. IV. The influence of starvation on the metabolism and the biochemical composition of some species ;Marine Biology ;Article
