original.taxa.name,cleaned.taxa.name.gna,cleaned.source.gna
Cylindrospermopsis catemaco,Cylindrospermopsis catemaco,EOL
Cylindrospermopsis philippinensis,Cylindrospermopsis philippinensis,EOL
Cylindrospermopsis phillippinensis,Cylindrospermopsis philippinensis,EOL
Cylindrospermum cf. muscicola,Cylindrospermum muscicola,EOL
Synechococcus aff. nidulans,Synechococcus,EOL
small chlorelloid cells,NA,NA
Carteria complanata,Carteria,Catalogue of Life
Chlamydomonas depressa,Chlamydomonas depressa,EOL
Chlamydomonas microsphera,Chlamydomonas microsphaera,EOL
Chlamydomonas passiva,Chlamydomonas passiva,EOL
Chlamydomonas cf. muriella,Chlamydomonas muriella,EOL
Chloromonas minima,Chloromonas,Catalogue of Life
Pedimonas,NA,NA
Pteromonas variabilis,Pteromonas variabilis,EOL
Chlamydomonas planctogloea,Chlamydomonas planctogloea,EOL
Chlamydomonas sordida,Chlamydomonas sordida,EOL
Plagioselmis (Rhodomonas),Rhodomonas,Catalogue of Life
Monoraphidium cf. nanum,Monoraphidium nanum,EOL
Monoraphidium griffithiii,Monoraphidium griffithii,EOL
Chlorolobium,Chlorolobium,EOL
Monoraphidium pseudomirabile,Monoraphidium pseudomirabilis,EOL
Keryochlamys styriaca,Keriochlamys styriaca,EOL
Chlorella vulgaris var. autotrophica,Chlorella vulgaris autotrophica,EOL
Synechococcus elegans,Synechococcus,EOL
Cryptomonadales,Cryptomonadales,Catalogue of Life
small sized chrysoflagellates,NA,NA
Dynobrioncylindricum,NA,NA
Ochromonas cf. viridis,Ochromonas viridis,EOL
Cryptomonas cf. brasiliensis; Cryptomonas pyrenoidifera,Cryptomonas,Catalogue of Life
aff. Teleaulax,NA,NA
Cryptomonas acuta,Cryptomonas acuta,EOL
Cryptomonas reflexa Gymnodinium,Cryptomonas reflexa,EOL
Cryptomonas cf. marssonii,Cryptomonas marssonii,EOL
Colonial Chlorococcaleans (Botryococcus,NA,NA
Coenochlorys,NA,NA
Lobocystis planctonica var. mucosa,Lobocystis planctonica,EOL
Eremosphaera tanganyikae,Eremosphaera tanganyikae,EOL
Nephroclamys subsolitaria,Nephrochlamys subsolitaria,EOL
Willea wilhelmii,Willea vilhelmii,EOL
Oocytis borgei,Oocystis borgei,EOL
Eutetramorus fottiii,Eutetramorus fottii,EOL
Ketablepharis,NA,NA
Pediastrum biwae,Pediastrum biwae,EOL
Tetraedron tumidulum,Tetraedron tumidulum,EOL
Micratinium,NA,NA
Scenedesmus acuminatum,Scenedesmus acuminatus,EOL
Scenedesmus acuminatum var. bernardii,Scenedesmus acuminatus bernardii,EOL
Scenedesmus arcuatum,Scenedesmus arcuatus,EOL
Scenedesmus quadricauda var. parvus,Scenedesmus quadricauda parvus,EOL
Tetraedron gracilis,Tetraedron gracile,EOL
Tetraedron mediocris,Tetraedron mediocris,EOL
Tetraedron victoriae,Tetraedron victoriae,EOL
Oocystis marina,Oocystis marina,EOL
Goniochlorys mutica,Goniochloris mutica,EOL
Tetraedron trigonium,Tetraedron trigonum,EOL
Gloeocapsa punctata,Gloeocapsa punctata,EOL
Anabaena cf. circinalis,Anabaena circinalis,EOL
Anabaena cf. scheremetievi,Anabaena scheremetievi,EOL
Anabaena cf. solitaria,Anabaena,Catalogue of Life
Anabaena perturbata,Anabaena,Catalogue of Life
Anabaena elenkinii,Anabaena,Catalogue of Life
Anabaena tanganyikae,Anabaena tanganykae,EOL
Aphanizomenon cf. flos-aquae,Aphanizomenon flos-aquae,EOL
Anabaena cf. aphanizomenoides,Anabaena aphanizomendoides,EOL
Aphanizomenon aphanizomenoides,Aphanizomenon aphanizomenoides,EOL
Anabaena group,Anabaena,Catalogue of Life
Anabaena sphaerica,Anabaena sphaerica,EOL
Ceratium-Snowella,NA,NA
Peridinium gatunense,Peridinium gatunense,EOL
Peridiniopsis durandi,Peridiniopsis durandi,EOL
Peridinium cf. cinctum,Peridinium cinctum,EOL
Coelomoron tropicalis,Coelomoron tropicale,EOL
Microcystis lamelliformis,Microcystis lamelliformis,EOL
Tabellaria flocculosa var. fenestrata,Tabellaria fenestrata,EOL
Isocystis pallida,Isocystis pallida,EOL
Leptolyngbya tenue,Leptolyngbya tenue,EOL
Leptolyngbya antartica,Leptolyngbya antarctica,EOL
Chromatium,Chromatium,EOL
Pyrobotrys,Pyrobotrys,Catalogue of Life
Beggiatoa alba,Beggiatoa alba,EOL
Vacuolaria tropicalis,Vacuolaria tropicalis,EOL
Trachelomonas sculpta,Trachelomonas sculpta,EOL
Trachelomonas hispida var. hispida,Trachelomonas hispida hispida,EOL
Trachelomonas reticollis,Trachelomonas recticollis,EOL
Dimorphococcus,Dimorphococcus,Catalogue of Life
Gonynostomum,NA,NA
Heterosigma cf. akashiwo,Heterosigma akashiwo,EOL
Romeria chlorina,Romeria chlorina,EOL
Chlorella + Choricysits,NA,NA
Merismopedia cf. hyalina,Merismopedia hyalina,EOL
cf Mantellum sp.,NA,NA
Cylindrospermum Bourget03,Cylindrospermum,EOL
Cell of Dinobryon,NA,NA
Centric spp.,Centric,EOL
Centric (Cyclotella + Stephanodiscus),NA,NA
Centric <10µm,Centric,EOL
cf. Katodinium fongiforme,NA,NA
Geminella subtilissima,Geminella subtilissima,EOL
Stomatocyst FR1,NA,NA
Cyclotella spp<9µm ,Cyclotella,EOL
Stephanodiscus minutulus <7µm,Stephanodiscus minutulus,EOL
Cyst 1 of Chrysophyceae,NA,NA
Oedogonium large cell Bourget03,Oedogonium,Catalogue of Life
Cyst Chrysophycee N°1,NA,NA
Palmeacea sp.,NA,NA
Cyclotella spp>9µm ,Cyclotella,EOL
Stephanodiscus minutulus >7µm,Stephanodiscus minutulus,EOL
Centric >10µm,Centric,EOL
Cyst 2 of Chrysophyceae,NA,NA
Cyst of Dinobryon,NA,NA
micro Chlorophyceae,NA,NA
Cysts of Chrysophyceae (14µ),NA,NA
Staurastrum sp. Annecy 2004,Staurastrum,Catalogue of Life
"Cyst of Chrysophyceaes N°2 (diam. 17,5µm)",NA,NA
Gymnodinium sp 20,Gymnodinium,Catalogue of Life
23,NA,NA
Cyst of Ceratium hirundinella,NA,NA
Cysts of Chrysophyceae (30µ),NA,NA
Gymnodinium sp 60,Gymnodinium,Catalogue of Life
55,NA,NA
Actinastrum aciculare f minimum,Actinastrum,Catalogue of Life
Actinastrum hantzschii f minima,Actinastrum,Catalogue of Life
Ekrenia subguiciliata,NA,NA
Xanthophyceae,Xanthophyceae,Catalogue of Life
Coelomorom microcystoides,Coelomorum microcystoides,EOL
Eucapsis parallelepipedon,Eucapsis parallelepipedon,EOL
Woronchinia 2,NA,NA
Diatomococcus,NA,NA
Tetralitris,NA,NA
Dinobryon divergens Imhof,Dinobryon divergens,EOL
Dinobryon sertularia Ehr,Dinobryon sertularia,EOL
Dinoflagelado,NA,NA
Durinskia sp,Durinskia,EOL
Elakatothrix americana Wille,Elakatothrix americana,EOL
Elakatothrix gelatinosa Wille,Elakatothrix gelatinosa,EOL
Elakatotrix americana X cel,NA,NA
Entomoneis alata (Ehr) Kutz,Entomoneis alata,EOL
Epithemia zebra (Ehr)Kutz,Epithemia zebra,EOL
Euglena clabata Skuja,Euglena clavata,EOL
Euglena oxyuris Schmarda,Euglena oxyuris,EOL
Euglena viridis Ehr,Euglena viridis,EOL
Eutetramorus fotti (Hind) Kom,Eutetramorus fottii,EOL
Eutetramorus planctonicus Ehr,Eutetramorus planctonicus,EOL
Eutetramorus tetrasporus Kom,Eutetramorus tetrasporus,EOL
Fragilaria construens (Ehr) Grunow,Fragilaria construens,EOL
breviestriata,NA,NA
Binuclearia,Binuclearia,Catalogue of Life
Glaucospira laxissima,Glaucospira laxissima,EOL
Gloeocystis gigas X ORG,NA,NA
 Golenkiniopsis 1,Golenkiniopsis,Catalogue of Life
 Golenkiniopsis 2,Golenkiniopsis,Catalogue of Life
Golenkiniopsis sp3,Golenkiniopsis,Catalogue of Life
Gomphonema clavatum Ehr,Gomphonema clavatum,EOL
Gomphosphaeria nageliana (Unger)Lemm,Gomphosphaeria naegeliana,EOL
Goniochloris mutica (ABraun) Fott,Goniochloris mutica,EOL
Gyrosigma obtusatum (Sulliv& Wormley) Boyer,Gyrosigma obtusatum,EOL
Gyrosigma scalpoides (Rabh) Cleve,Gyrosigma scalproides,EOL
Hemiselmis simplex Butcher,Hemiselmis simplex,EOL
Kirchneriella irregularis (GMSmith) Kors,Kirchneriella irregularis,EOL
Lagerheimia subalsa Lemm,Lagerheimia subsalsa,EOL
Lagerheimia wratislaviensis Schroeder,Lagerheimia wratislaviensis,EOL
Lagherimia subsalsa Lemm,NA,NA
Lepocinclis ovum (Ehr) Lemm,Lepocinclis ovum,EOL
Leptolyngybya angusta,Leptolyngbya angusta,EOL
ercejovicii,NA,NA
Mallomonas akrokomos Ruttner,Mallomonas akrokomos,EOL
Melosira varians C Agardh,Melosira varians,EOL
Merismopedia  glauca (Ehr),Merismopedia glauca,EOL
Merismopedia elegans A Braun,Merismopedia elegans,EOL
Merismopedia glauca (Ehr) Nageli,Merismopedia glauca,EOL
Merismopedia tenuissima Lemm,Merismopedia tenuissima,EOL
Micractinium pusillum Fres,Micractinium pusillum,EOL
Monodus aff clavata,Monodus,Catalogue of Life
Monodus curvata,Monodus,Catalogue of Life
Monoraphidium arcuatum (Kors) Hind,Monoraphidium arcuatum,EOL
Monoraphidium circinale (Nyg) Nyg,Monoraphidium circinale,EOL
Monoraphidium contortum (Thur) Kom  Legn,Monoraphidium contortum,EOL
Monoraphidium minutum Kom Legn,Monoraphidium minutum,EOL
Monoraphidium tortile (West & West) Kom Legn,Monoraphidium tortile,EOL
Nephrocytium agardhianum Nag,Nephrocytium agardhianum,EOL
Nephroselmis angulata (Kors) Skuja,Nephroselmis angulata,EOL
Nephroselmis minuta (NCarter) H P,Nephroselmis minuta,EOL
Nitzschia acicularis WSmith,Nitzschia acicularis,EOL
Nitzschia fonticola Grun,Nitzschia fonticola,EOL
Nitzschia reversa WSmith,Nitzschia reversa,EOL
Nitzschia sigmoidea (Nizsch)W Smith,Nitzschia sigmoidea,EOL
Nitzschia solita Hust,Nitzschia solita,EOL
Nodularia spumigena Mert,Nodularia spumigena,EOL
Nodularia spumigena Mertens ex Bornet et Flahault,Nodularia spumigena,EOL
Oocystis lacustris Chod,Oocystis lacustris,EOL
Oocystis marsonii Lemm,Oocystis marssonii,EOL
Oocystis natans (Lemm) Playf,Oocystis natans,EOL
Oocystis parva WWest & GSWest,Oocystis parva,EOL
Oocystis submarina Lagerh,Oocystis submarina,EOL
Oscillatoria curviceps Agard,Oscillatoria curviceps,EOL
Pediastrum duplex Meyen,Pediastrum duplex,EOL
Pediastrum tetras (Ehrenb)Ralfs,Pediastrum tetras,EOL
Peridiniopsis borgei Lemm,Peridiniopsis borgei,EOL
Peridinium willei Huif Kass,Peridinium willei,EOL
Phacotus minusculus Bourr,Phacotus minusculus,EOL
Phacus acuminatus Stokes,Phacus acuminatus,EOL
Phacus brevicaudatus (Klebs) Lemm,Phacus brevicaudatus,EOL
Phacus curvicauda Swir,Phacus curvicauda,EOL
Phacus longicauda (Ehr) Duj,Phacus longicauda,EOL
Phacus triqueter (Ehr) Duj,Phacus triqueter,EOL
Pico Chloro flagelado 1,NA,NA
Pico Chloro gota,NA,NA
Pico Chryso 2,NA,NA
Pico Chryso 3,NA,NA
Pico Chryso 4,NA,NA
Pico Chryso fla 1,NA,NA
Pico cyano (<1um),Pica cyana,EOL
Pico NI esferoide,NA,NA
Pico NI flagelado 1,NA,NA
Pinnularia major Rabh,Pinnularia major,EOL
Plagioselmis lacustris (Pasch & Rutt) Javor,Plagioselmis lacustris,EOL
Planktolynbya,NA,NA
eubacteria,NA,NA
Planktothrix agardhii Gom,Planktothrix agardhii,EOL
Pseudanabaena catenata Lauterborn,Pseudanabaena catenata,EOL
Pseudodictyosphaerium Jurisii,Pseudodictyosphaerium,Catalogue of Life
Pseudokephyrion spirale Gerl Schmidt,Pseudokephyrion spirale,EOL
Pteromonas limnetica Hort,Pteromonas limnetica,EOL
Pteromonas sp Rara,Pteromonas,Catalogue of Life
Pyramimonas minima Pasch,Pyramimonas minima,EOL
Quadrigula closterioides (Bohl) Printz,Quadrigula closterioides,EOL
Quadrigula quaternata (W&GS West) Printz,Quadrigula quaternata,EOL
Rhodomonas minuta Skuja,Rhodomonas minuta,EOL
Roichosphaeria (aff),NA,NA
Scenedesmums linearis Kom,Scenedesmus linearis,EOL
Scenedesmus bicaudatus Dedus,Scenedesmus bicaudatus,EOL
Scenedesmus ecornis (Ehr) Chod,Scenedesmus ecornis,EOL
Scenedesmus intermedius Chod,Scenedesmus,EOL
Skeletonema potamos (Weber) Hasle,Skeletonema potamos,EOL
Skeletonema subsalsum (Cleve Euler) Bethge,Skeletonema subsalsum,EOL
Spermatozopsis exsultans Kors,Spermatozopsis exsultans,EOL
Mpanniformis (isolada),NA,NA
Sphaerocystis cf schroeteri X ORG,NA,NA
Sphaerocystis schoeteri Chod,Sphaerocystis schroeteri,EOL
Spirulina laxisima,Spirulina laxissima,EOL
nodosa,NA,NA
Staurastrum gracile Ralfs,Staurastrum gracile,EOL
Staurastrum leptocladum Nordst,Staurastrum leptocladum,EOL
Staurastrum paradoxum Meyen,Staurastrum paradoxum,EOL
Staurastrum polimorphus,Staurastrum polymorphum,EOL
paradoxum,NA,NA
Staurastrum quadricauda (Turp) Breb,Staurastrum,EOL
Staurastrum rotula Nordst,Staurastrum rotula,EOL
Staurastrum sebaldi var ornatum Nordst,Staurastrum sebaldi ornatum,EOL
Strombomonas fluviatilis (Lemm) Defl,Strombomonas fluviatilis,EOL
Strombomonas scabra (Playf) Tell & Conf,Strombomonas scabra,EOL
Surirella cfrobusta,Surirella,EOL
caproni,NA,NA
Synedra acus Kuetz,Synedra acus,EOL
Synedra ulna (Nitzsch) Ehr,Synedra ulna,EOL
Tetraedron minimun (A Br) Hansg,Tetraedron,EOL
Tetrastrum glabrum (Roll) Ahlstrom & Tiffany,Tetrastrum glabrum,EOL
Tetrastrum staurogeniaeforme (Schroed) Lemm,Tetrastrum staurogeniaeforme,EOL
Trachelomonas rugulosa Stein,Trachelomonas rugulosa,EOL
Trachelomonas volvocina Ehr,Trachelomonas volvocina,EOL
Trachelomonas volvocina Ehr var volvocina Ehr,Trachelomonas volvocina volvocina,EOL
TrybionelLa vitoriae,NA,NA
Urosolenia eriensis Smith,Urosolenia eriensis,EOL
Urosolenia longiseta Zacharias,Urosolenia longiseta,EOL
