source.code,authors,year,title,publication,volume,issue,start.page,end.page,doi,ISSN,eISSN,ISBN
314,"Richman, S.",1958,the transformation of energy by daphnia pulex,Ecological Monograph,28,3,273,291,10.2307/1942243,0012-9615,NA,NA
324,"Kersting, K., and C. Van der Leeuw-Leegwater.",1976,effect of food concentration on the respiration of daphnia magna,Hydrobiologia,49,2,137,142,10.1007/BF00772684,1573-5117,NA,NA
334,"Schindler, D. W.",1968,"feeding, assimilation and respiration rates of daphnia magna under various environmental conditions and their relation to production estimates",Journal of Animal Ecology,37,2,369,385,10.2307/2954,0021-8790,NA,NA
342,"Carillo, P., Reche. I., and L. Cruz-Pizarro.",1996,intraspecific stoichiometric variability and the ratio of nitrogen to phosphorus resupplied by zooplankton,Freshwater Biology,36,2,363,374,10.1046/j.1365-2427.1996.00091.x,NA,NA,NA
352,"Peters, R. H.",1975,phosphorus regeneration by natural population of limnetic zooplankton,Verhandlungen der Internationale Vereinigung f�r Theoretische und Angewandte Limnologie,19,1,273,279,10.1080/03680770.1974.11896064,NA,NA,NA
362,"Lehman, J. T.",1980,release and cycling of nutrients between planktonic algae and herbivores,Limnology and Oceanography,25,4,620,632,10.4319/lo.1980.25.4.0620,1939-5590,NA,NA
373,"Peters, R. H., and D. Lean.",1973,the characterization of soluble phosphorus released by limnetic zooplankton,Limnology and Oceanography,18,2,270,279,10.4319/lo.1973.18.2.0270,1939-5590,NA,NA
384,"Rigler, F. H.",1961,the uptake and release of inorganic phosphorus by daphnia magna (strauss),Limnology and Oceanography,6,2,165,174,10.4319/lo.1961.6.2.0165,1939-5590,NA,NA
393,"Olsen, Y., and K. Ostgaard.",1985,estimating release rates of phosphorus from zooplankton: model and experimental verification,Limnology and Oceanography,30,4,844,852,10.4319/lo.1985.30.4.0844Citations: 32,NA,NA,NA
404,"Bowers, J. A.",1986,phosphorus regeneration by the predatory copepod diacyclops thomasi,Canadian Journal of Fisheries and Aquatic Sciences,43,2,361,365,10.1139/f86-046,0706-652X,NA,NA
416,"Gardner, W. S., and D. Scavia.",1981,kinetic examination of nitrogen release by zooplankters,Limnology and Oceanography,26,5,801,810,10.4319/lo.1981.26.5.0801,1939-5590,NA,NA
427,"Jacobsen, T. R., and G. W. Comita.",1976,ammonia-nitrogen excretion in daphnia pulex,Hydrobiologia,51,3,195,200,10.1007/BF00005743,1573-5117,NA,NA
437,"Ganf, G. G., and P. Blazka.",1974,"oxygen uptake, ammonia and phosphate excretion by zooplankton of a shallow equatorial (lake george, uganda)",Limnology and Oceanography,192,NA,313,325,10.2307/2834416,NA,NA,NA
607,"Baudoin, M. F., and O. Ravera.",1972,"weight, size, and chemical composition of some freshwater zooplankters: daphnia hyalina (leydig)",Notes in Limnology and Oceanography,17,4,645,649,10.4319/lo.1972.17.4.0645,1939-5590,NA,NA
457,"Walve, J., and U. Larsson.",1999,"carbon, nitrogen and phosphorus stoichiometry of crustacean zooplankton in the baltic sea: implications for nutrient recycling",Journal of Plankton Research,21,12,2309,2321,10.1093/plankt/21.12.2309,0142-7873,NA,NA
468,"Whittaker, R. E.",1961,experiments with radiophosphorus tracer in aquarium ecosystems,Ecological Monograph,31,2,157,188,10.2307/1950753,0012-9615,NA,NA
477,"James, M. R., and K. Salonen.",1991,zooplankton-phytoplankton interactions and their importance in the phosphorus cycle of a polyhumic lake,Archiv f�r Hydrobiologie,123,1,37,51,10.1127/archiv-hydrobiol/123/1991/37,NA,NA,NA
486,"Wen, Y. H.",1996,pharmacokinetic modeling of pollutant fluxes by limnoplankton,PhD Thesis,NA,NA,NA,NA,NA,NA,NA,NA
497,SHL2,NA,shl2 monitoring program,SHL2,NA,NA,NA,NA,NA,NA,NA,NA
508,National Oceanic and Atmospheric Administration,NA,ecological assessments of kachemak bay,National Oceanic and Atmospheric Administration,NA,NA,NA,NA,NA,NA,NA,NA
520,The North Temperate Lakes Long-Term Ecological Research,NA,the north temperate lakes long-term ecological research,The North Temperate Lakes Long-Term Ecological Research,NA,NA,NA,NA,NA,NA,NA,NA
529,California Dept. of Water Resources,NA,"california dept. of water resources, bay-delta monitoring and analysis section",California Dept. of Water Resources,NA,NA,NA,NA,NA,NA,NA,NA
538,"Drexel University, Philadelphia",NA,academy of natural sciences phycology section,"Drexel University, Philadelphia",NA,NA,NA,NA,NA,NA,NA,NA
549,REBECCA,NA,european union project rebecca,European Union Project REBECCA,NA,NA,NA,NA,NA,NA,NA,NA
560,Cornell Biological Field Station,1975-2012,cornell biological field station,Cornell University,NA,NA,NA,NA,NA,NA,NA,NA
568,"Smirnov, N.N",1948,fauna sssr (fauna of the ussr),Akad. Nauk SSSR,3,NA,NA,NA,NA,NA,NA,NA
569,"Kutikova, L.A",1970,kolovratki fauny sssr (rotifers of the ussr fauna),Nauka,NA,NA,NA,NA,NA,NA,NA,NA
570,"Kutikova, L.A.",2005,bdelloidnye kolovratki fauny rossii (bdelloid rotifers of the fauna of russia),KMK,NA,NA,NA,NA,NA,NA,NA,NA
571,"Sushchenya, L.M.",1975,kolichestvennye zakonomernosti pitaniya rakoobraznyh (quantitative patterns of crustacean nutrition),Nauka i tekhnika,NA,NA,NA,NA,NA,NA,NA,NA
572,"Monakov, A.V.",1976,pitanie i pishchevye predpochtenia presnovodnyh kopepod (diet and food preferences of freshwater copepods),Nauka,NA,NA,NA,NA,NA,NA,NA,NA
574,"Monakov, A.V.",1998,pitanie presnovodnyh bespozvonochnyh (feeding of freshwater invertebrates),Rossel’khozakademiia,NA,NA,NA,NA,NA,NA,NA,NA
575,"Chuikov, Yu.S.",2000,materialy k kadastru planktonnyh bespozvonochnyh basseyna volgi i severnogo kaspiya. kolovratki (rotatoria) (materials for the inventory of planktonic invertebrates in the volga and north caspian basin. rotifers (rotatoria)),Inst. Ekol. Volzhsk. Basseina Ross. Akad. Nauk,NA,NA,NA,NA,NA,NA,NA,NA
576,"Chuikov, Yu.S.",1981,"analysis of the trophic structure of the plankton community, in osnovy izucheniia presnovodnykh ekosistem (foundations of the study of freshwater ecosystems)",Zool. Inst. Akad. Nauk SSSR,NA,NA,NA,NA,NA,NA,NA,NA
577,"Borutskii, E.V., Stepanova, L.A., and Kos, M.S.",1991,opredelitel’ calanoida presnih vod sssr (key to calanoida freshwater the ussr),Nauka,NA,NA,NA,NA,NA,NA,NA,NA
578,"Korovchinsky, N.M.,",2004,"vetvistousye rakoobraznye otryada ctenopoda mirovoi fauny (morfologiya, sistematika, ekologiya, biogeografiya) (cladocerans of the order ctenopoda of the world fauna (morphology, systematics, ecology, and zoogeography))",KMK,NA,NA,NA,NA,NA,NA,NA,NA
579,"Krylov, A.V.",2005,zooplankton ravninnyh malyh rek (zooplankton of lowland small rivers),Nauka,NA,NA,NA,NA,NA,NA,NA,NA
580,"Kotov, A. and Stifter, P.",2006,cladocera: family ilyocryptidae (branchiopoda: cladocera: anomopoda),Identification Guides to the Plankton and Benthos of Inland Waters,NA,NA,NA,NA,NA,NA,NA,NA
581,"Alekseev, V.R. and Tsalolikhin, S.Ya.",2010,zooplankton: key to zooplankton and zoobenthos in freshwater in european russia,KMK,1,NA,NA,NA,NA,NA,NA,NA
582,"Kotov, A.A.",2013,morphology and phylogeny of anomopoda (crustacea: cladocera),KMK,NA,NA,NA,NA,NA,NA,NA,978-5-87317-923-7
583,"Stoiko, T.G., Mazey, Yu.A., and Senkevich, V.A.",2016,planktonnye kolovratki penzenskih vodoyemov (plankton rotifers of the penza water bodies),Penza: Penz. Gos. Univ.,NA,NA,NA,NA,NA,NA,NA,NA
584,"Kotov, A. and Bekker, E.",2016,cladocera: family eurycercidae (branchiopoda: cladocera: anomopoda),Identification Guides to the Plankton and Benthos of Inland Waters,NA,NA,NA,NA,NA,NA,NA,NA
585,"Bledzki, L. and Rybak, J.",2016,freshwater crustacean zooplankton of europe,Springer,NA,NA,NA,NA,NA,NA,NA,NA
586,"Korovchinsky, N.M.",2018,"cladocera: ctenopoda. families sididae, holopediidae & pseudopenilidae (branchiopoda: cladocera)",Identification Guides to the Plankton and Benthos of Inland Waters,NA,NA,NA,NA,NA,NA,NA,NA
587,French national database,2005-2016,french national database,French national database,NA,NA,NA,NA,NA,NA,NA,NA
588,"Komárek, J; Anagnostidis, K",1998,süsswasserflora von mitteleuropa,springer,NA,NA,NA,NA,NA,NA,NA,NA
589,"Siemensma, F. J.,",NA,"microworld, world of amoeboid organisms. world-wide electronic publication, kortenhoef, the netherlands.",https://www.arcella.nl,NA,NA,NA,NA,NA,NA,NA,NA
590,"Mikrjukov, K.A",1996,revision of the genera and species composition of lower centroheliozoa ifamily heterophryidae poche,Archiv für Protistenkunde,147,1,107,113,10.1016/S0003-9365(96)80010-8,0003-9365,NA,NA
591,"Lahr, D.J.G., P.J. Bergmann, and S.G.B.C. Lopes",2008,taxonomic identity in microbial eukaryotes: a practical approach using the testate amoeba centropyxis to resolve conflicts between old and new taxonomic descriptions.,Journal of Eukaryotic Microbiology,55,5,409,416,10.1111/j.1550-7408.2008.00339.x,1550-7408,NA,NA
592,"Varol, M., Y.A. Mazei, and A. Bekleyen",2015,first records of freshwater testate amoebae in turkey,Известия высших учебных заведений. Поволжский регион. Естественные науки,1,10,101,108,NA,2307-9150,NA,NA
593,"Wanner, M. and R. Meisterfeld",1994,"effects of some environmental factors on the shell morphology of testate amoebae (rhizopoda, protozoa)",European Journal of Protistology,30,2,191,195,10.1016/S0932-4739(11)80029-5,0932-4739,NA,NA
595,"Kosakyan, A., et al.",2016,phylogenetic reconstruction based on coi reshuffles the taxonomy of hyalosphenid shelled (testate) amoebae and reveals the convoluted evolution of shell plate shapes,Cladistics,32,6,606,623,10.1111/cla.12167,1096-0031,NA,NA
596,"Page, F.C. and L.V. Kalinina",1984,amoeba leningradensis n. sp. (amoebidae): a taxonomic study incorporating morphological and physiological aspects,Archiv für Protistenkunde,128,1,37,53,10.1016/S0003-9365(84)80027-5,0003-9365,NA,NA
597,"Harper, R.M., J.C. Fry, and M.A. Learner",1981,a bacteriological investigation to elucidate the feeding biology of nais variabilis (oligochaeta: naididae),Freshwater Biology,11,3,227,236,10.1111/j.1365-2427.1981.tb01256.x,1365-2427,NA,NA
598,"Giani, N",1976,les oligochètes aquatiques du sud-ouest de la france,International Journal of Limnology,12,2,107,125,10.1051/limn/1976011,0003-4088,NA,NA
609,"Tachet, H; Richoux, P; Bournaud, M; Ussegli-Polatera, P",2010,"invertébrés d’eau douce - systématique, biologie, écologie.",CNRS Editions,NA,NA,NA,NA,NA,NA,NA,978-2271069450
599,"Koste, W. and R. Shiel,",1987,rotifera from australian inland waters. ii. epiphanidae and brachionidae (rotifera : monogononta),Invertebrate Systematics,1,7,949,1021,10.1071/it9870949,1447-2600,NA,NA
611,"Nogrady, T., R. Pourriot, and H. Segers",1995,rotifera 3: the notommatidae and the scaridiidae. guides to the identification of the microinvertebrates of the continental waters of the world,SPB Academic Publishing bv,3,NA,NA,NA,NA,NA,NA,9789051031034
600,"Soto, C.S. and S. Sarma",2009,"morphometric changes in lecane stokesii (pell, 1890)(rotifera: lecanidae) induced by allelochemicals from the predator asplanchnopus multiceps (schrank, 1793)",Allelopathy Journal,24,NA,215,222,NA,0971-4693,NA,NA
610,"De Smet, W.H. and R. Pourriot",1995,rotifera 5. the dicranophoridae (monogononta) and the ituridae (monogononta): guides to the identification of the microinvertebrates of the continental waters of the world,SPB Academic Publishing bv,3,NA,NA,NA,NA,NA,NA,978-9051031355
601,"Foissner, W",1996,"a user-friendly guide to the ciliate (protozoa, ciliophora) commonly used by hydrobiologists as bioindicators in rivers, lakes, and waste waters, with notes on their ecology",Freshwater Biology,35,2,375,482,10.1111/j.1365-2427.1996.tb01775.x,1365-2427,NA,NA
2,"Foissner, W; Berger, H; Blatterer, H; Kohmann,F",1995,"taxonomische und ökologische revision der ciliaten des saprobiensystems. band i: cyrtophorida, oligotrichida, hypotrichia, colpodea",Bayerisches Landesamt für Wasserwirtschaft,1,95,NA,NA,NA,NA,NA,NA
3,"Foissner, W., H. Berger, and F. Kohmann",1992,"taxonomische und ökologische revision der ciliaten des saprobiensystems. band ii: peritrichia, heterotrichida, odontostomatida",Bayerisches Landesamt für Wasserwirtschaft,5,92,NA,NA,NA,NA,NA,NA
4,"Foissner, W., H. Berger, and F. Kohmann,",1994,"taxonomische und ökologische revision der ciliaten des saprobiensystems : band iii. hymenostomata, prostomatida, nassulida",Bayerisches Landesamt für Wasserwirtschaft,1,94,NA,NA,NA,NA,NA,3-930253-59-3
5,"Foissner, W; Berger, H; Blatterer, H; Kohmann,F",1995,"taxonomische und ökologische revision der ciliaten des saprobiensystems : band iv. gymnostomatea, loxodes, suctoria",Bayerisches Landesamt für Wasserwirtschaft,NA,NA,NA,NA,NA,0176-4217,NA,3-930253-63-1
6,"Foissner, W., H. Berger, and J. Schaumburg",1999,identification and ecology of limnetic plankton ciliates.,Bavarian State Office for Water Management,3,99,NA,NA,NA,NA,NA,3-930253-79-8
7,"Kudo, R.R.",1966,protozoology. 5 ed,Charles C Thomas Pub,5,NA,NA,NA,NA,NA,NA,978-0398010584
8,"Dragesco, J",1980,"les protozoaires, in fiore et faune aquatiques de i'afrique sahelo-soudanienne.",IRD Editions,NA,NA,NA,NA,NA,NA,NA,978-2709905213
9,"Foissner, W., Y. Kusuoka, and S. Shimano",2009,"morphological and molecular characterization of histiobalantium natans viridis kahl, 1931 (ciliophora, scuticociliatia).",European journal of protistology,45,3,NA,NA,10.1016/j.ejop.2008.11.003,1618-0429,NA,NA
10,"Senler, N. and I. YIldiz,",2004,"faunistic and morphological studies on ciliates (protozoa, ciliophora) from a small pond, with responses of ciliate populations to changing environmental conditions",Turkish Journal of Zoology,28,3,245,265,NA,1300-0179,NA,NA
11,"Krammer, K; Lange-Bertalot, H",1991,"bacillariophyceae, teil 4: achnanthaceae, kritische ergänzungen zu achnanthes s.l., navicula s.str., gomphonema, gesamtliteraturverzeichnis",Spektrum,4,NA,NA,NA,NA,NA,NA,978-3827408389
13,"Krammer, K; Lange-Bertalot, H",1986,"bacillariophyceae, 1. teil: naviculaceae",Spektrum,1,NA,NA,NA,NA,NA,NA,978-3827426154
14,"Krammer, K; Lange-Bertalot, H",1991,"bacillariophyceae, teil 3: centrales, fragilariaceae, eunotiaceae",Spektrum,3,NA,NA,NA,NA,NA,NA,9783827408273
15,"Van de Vijver, B; Frenot, Y; Beyens, L",2002,"bibliotheca diatomologica, volume 46: freshwater diatoms from ile de la possession (crozet archipelago, subantarctica)",Gebrüder Borntraeger Verlag,46,NA,NA,NA,NA,NA,NA,9783443570378
16,"Potapova, M; Ponader, KC",2004,"two common north american diatoms, achnanthidium rivulare sp. nov. and a. deflexum (reimer) kingston: morphology, ecology and comparison with related species",Diatom Research,19,NA,33,57,10.1080/0269249X.2004.9705606,NA,NA,NA
17,"Monnier, O; Lange-Bertalot, H; Rimet, R; Hoffmann, L; Ector, L",2004,"achnanthidium atomoides sp. nov., a new diatom from the grand-duchy of luxembourg",Vie et Milieu,54,NA,127,136,NA,NA,NA,NA
18,"Lange-Bertalot, H; Krammer, K",1989,"bibliotheca diatomologica, volume 18: achnanthes eine monographie der gattung",Gebrüder Borntraeger Verlag,18,NA,NA,NA,NA,NA,NA,9783443570095
19,NA,NA,bibliotheca diatomologica,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Simonsen, R",1987,atlas and catalogue of the diatom types of friedrich hustedt,NA,NA,NA,NA,NA,NA,NA,NA,978-3-443-50007-8
21,"Lange-Bertalot, H",2001,"diatoms of the european inland waters and comparable habitats, volume 2",Koeltz,2,NA,NA,NA,NA,NA,NA,978-3-904144-78-0
22,"Lange-Bertalot, H",2004,"iconographia diatomologica, volume 13: annotated diatom micrographs. diatoms in springs from central europe and elsewhere under the influence of hydrogeology and anthropogenic impacts",A.R.G. Gantner,13,NA,NA,NA,NA,NA,NA,9783906166148
24,"Van Heurck, H",1896,a treatise on the diatomaceae,Kessinger Publishing,NA,NA,NA,NA,NA,NA,NA,978-1437470673
25,"Metzeltin, D; Lange-Bertalot, H",2007,"iconographia diatomologica, volume 18: tropical diatoms of south america , ii",A.R.G. Gantner,18,NA,NA,NA,NA,NA,NA,978-3906166575
26,"Lange-Bertalot, H; Metzeltin, D",1996,"iconographia diatomologica, volume 2: indicators of oligotrophy",Koeltz Botanical Books,2,NA,NA,NA,NA,NA,NA,9783874293860
27,"Lange-Bertalot, H; Moser, G",1994,"bibliotheca diatomologica, volume 29: brachysira",Schweizerbart Science Publishers,29,NA,NA,NA,NA,NA,NA,9783443570156
28,"Krammer, K; Lange-Bertalot, H",1988,"bacillariophyceae, teil 2: bacillariaceae, epithemiaceae, surirellaceae",Spektrum,2,NA,NA,NA,NA,NA,NA,978-3827419125
29,"Krammer, K",2002,"diatoms of the european inland waters and comparable habitats, volume 3",Koeltz,3,NA,NA,NA,NA,NA,NA,978-3-904144-84-1
30,ADIAC: Automatic Diatom Identification And Classification,NA,adiac: automatic diatom identification and classification,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Round, FE; Crawford, RM; Mann, DG",1990,diatoms: biology and morphology of the genera,Cambridge University Press,NA,NA,NA,NA,NA,NA,NA,978-0521363181
32,"Krammer, K",2003,"diatoms of the european inland waters and comparable habitats, volume 4",Koeltz,4,NA,NA,NA,NA,NA,NA,978-3-904144-99-5
33,"Druart, JC; Straub, F",1988,description de deux nouvelles cyclotelles (bacillariophyceae) de milieux alcalins et eutrophes:cyclotella costei nov. sp. etcyclotella wuethrichiana nov. sp.,Swiss journal of hydrology,50,2,182,188,10.1007/BF02538985,1420-9055,NA,NA
35,"Antoniades, D; Hamilton, PB; Douglas, MSV; Smol, JP",2008,"iconographia diatomologica, volume 17: diatoms of north america: freshwater floras of prince patrick, ellef ringnes and northern",Gantner Verlag,17,NA,NA,NA,NA,NA,NA,978-3906166506
619,"Hakansson, H",2002,"a compilation and evaluation of species in the general stephanodiscus, cyclostephanos and cyclo℡la with a new genus in the family stephanodiscaceae",Diatom Research,17,1,NA,NA,10.1080/0269249X.2002.9705534,NA,NA,NA
36,"Reichardt, E",1999,"iconographia diatomologica, volume 8: taxonomy: zur revision der gattung gomphonema",Gantner Verlag,8,NA,NA,NA,NA,NA,NA,9783904144155
37,"Siver, PA; Hamilton PB; Stachura-Suchoples K; Kociolek JP",2005,"iconographia diatomologica, volume 14: diatoms of north america",Koeltz Botanical Books,14,NA,NA,NA,NA,NA,NA,978-3906166179
38,"Lange-Berthalot, H",1993,"bibliotheca diatomologica, volume 27: 85 neue taxa und über 100 weitere neu definierte taxa ergänzend zur süßwasserflora von mitteleuropa",Gebrüder Borntraeger Verlag,27,NA,NA,NA,NA,NA,NA,978-3443570187
39,"Lange-Bertalot, H",2000,"iconographia diatomologica, volume 9: diatoms of the andes",Koeltz Botanical Books,9,NA,NA,NA,NA,NA,NA,9783904144209
40,"Houk, V; Klee, R",2004,the stelligeroid taxa of the genus cyclotella (kutzing) brebisson (bacillariophyceae) and their transfer into the new genus discostella gen. nov.,NA,19,NA,203,228,10.1080/0269249X.2004.9705871,NA,NA,NA
41,"Krammer, K",1997,"bibliotheca diatomologica, volume 36: die cymbelloiden diatomeen - eine monographie der weltweit bekannten taxa. teil 1. allgemeines und encyonema",J. Cramer,36,NA,NA,NA,NA,NA,NA,NA
42,"Krammer,K",1997,"bibliotheca diatomologica, volume 37: die cymbelloiden diatomeen, teil 2: encyonema part., encyonopsis and cymbellopsis",J. Cramer Verlag,37,NA,NA,NA,NA,NA,NA,9783443570286
43,"Coste, m; Ector, L",2000,diatomées invasives exotiques ou rares en france: principales observations effectuées au cours des dernières décennies,Systematics and Geography of Plants,70,NA,373,400,10.2307/3668651,NA,NA,NA
