source,authors,year,title,doi,page,volume,issue
"Alvarez‐Pellitero, M. and Gonzalez‐Lanza, M. (1986) ‘Eimeria spp. from cyprinid fish of the Duero basin (north‐west Spain)’, Journal of Fish Diseases, 9(4), pp. 325–336. Available at: https://doi.org/10.1111/j.1365-2761.1986.tb01022.x.","Alvarez‐Pellitero, M. and Gonzalez‐Lanza, M. ",1986,Eimeria spp. from cyprinid fish of the Duero basin (north‐west Spain),10.1111/j.1365-2761.1986.tb01022.x,325–336,9,(4)
"Andersen, R.A. (1982) ‘A light and electron microscopical investigation of Ochromonas sphaerocystis Matvienko (Chrysophyceae): the statospore, vegetative cell and its peripheral vesicles’, Phycologia, 21(3), pp. 390–398. Available at: https://doi.org/10.2216/i0031-8884-21-3-390.1.","Andersen, R.A. ",1982,"A light and electron microscopical investigation of Ochromonas sphaerocystis Matvienko (Chrysophyceae): the statospore, vegetative cell and its peripheral vesicles",10.2216/i0031-8884-21-3-390.1,390–398,21,(3)
"Anderson, B.G. (1932) ‘THE NUMBER OF PRE-ADULT INSTARS, GROWTH, RELATIVE GROWTH, AND VARIATION IN DAPHNIA MAGNA’, The Biological Bulletin, 63(1), pp. 81–98. Available at: https://doi.org/10.2307/1537448.","Anderson, B.G. ",1932,"THE NUMBER OF PRE-ADULT INSTARS, GROWTH, RELATIVE GROWTH, AND VARIATION IN DAPHNIA MAGNA",10.2307/1537448,81–98,63,(1)
"Anderson, B.G., Lumer, H. and Zupancic, L.J. (1937) ‘GROWTH AND VARIABILITY IN DAPHNIA PULEX’, The Biological Bulletin, 73(3), pp. 444–463. Available at: https://doi.org/10.2307/1537606.","Anderson, B.G., Lumer, H. and Zupancic, L.J. ",1937,GROWTH AND VARIABILITY IN DAPHNIA PULEX,10.2307/1537606,444–463,73,(3)
"Anisha, C., Sachidanandan, P. and Radhakrishnan, E.K. (2018) ‘Endophytic Paraconiothyrium sp. from Zingiber officinale Rosc. Displays Broad-Spectrum Antimicrobial Activity by Production of Danthron’, Current Microbiology, 75(3), pp. 343–352. Available at: https://doi.org/10.1007/s00284-017-1387-7.","Anisha, C., Sachidanandan, P. and Radhakrishnan, E.K. ",2018,Endophytic Paraconiothyrium sp. from Zingiber officinale Rosc. Displays Broad-Spectrum Antimicrobial Activity by Production of Danthron,10.1007/s00284-017-1387-7,343–352,75,(3)
"Arakaki, Y. et al. (2013) ‘The Simplest Integrated Multicellular Organism Unveiled’, PLoS ONE. Edited by E. Moreno, 8(12), p. e81641. Available at: https://doi.org/10.1371/journal.pone.0081641.","Arakaki, Y. et al. ",2013,The Simplest Integrated Multicellular Organism Unveiled,10.1371/journal.pone.0081641,e81641,8,(12)
"Arcifa, M.S. (1984) ‘Zooplankton composition of ten reservoirs in southern Brazil’, Hydrobiologia, 113(1), pp. 137–145. Available at: https://doi.org/10.1007/BF00026600.","Arcifa, M.S. ",1984,Zooplankton composition of ten reservoirs in southern Brazil,10.1007/BF00026600,137–145,113,(1)
"Arim, M. et al. (2010) ‘Food web structure and body size: trophic position and resource acquisition’, Oikos, 119(1), pp. 147–153. Available at: https://doi.org/10.1111/j.1600-0706.2009.17768.x.","Arim, M. et al. ",2010,Food web structure and body size: trophic position and resource acquisition,10.1111/j.1600-0706.2009.17768.x,147–153,119,(1)
"Ariyawansa, H.A. et al. (2020) ‘Species diversity of Pleosporalean taxa associated with Camellia sinensis (L.) Kuntze in Taiwan’, Scientific Reports, 10(1), p. 12762. Available at: https://doi.org/10.1038/s41598-020-69718-0.","Ariyawansa, H.A. et al. ",2020,Species diversity of Pleosporalean taxa associated with Camellia sinensis (L.) Kuntze in Taiwan,10.1038/s41598-020-69718-0,12762,10,(1)
"Armitage, P.D., Cranston, P.S. and Pinder, L.C.V. (eds) (1995) The Chironomidae. Dordrecht: Springer Netherlands. Available at: https://doi.org/10.1007/978-94-011-0715-0.","Armitage, P.D., Cranston, P.S. and Pinder, L.C.V.",1995,NA,10.1007/978-94-011-0715-0,NA,NA,NA
"Arndt, H. (1993) ‘Rotifers as predators on components of the microbial web (bacteria, heterotrophic flagellates, ciliates) ? a review’, Hydrobiologia, 255–256(1), pp. 231–246. Available at: https://doi.org/10.1007/BF00025844.","Arndt, H. ",1993,"Rotifers as predators on components of the microbial web (bacteria, heterotrophic flagellates, ciliates) ? a review",10.1007/BF00025844,231–246,255–256,(1)
"Aubriot, L., Bonilla, S. and Falkner, G. (2011) ‘Adaptive phosphate uptake behaviour of phytoplankton to environmental phosphate fluctuations: Adaptive phosphate uptake behaviour of phytoplankton’, FEMS Microbiology Ecology, 77(1), pp. 1–16. Available at: https://doi.org/10.1111/j.1574-6941.2011.01078.x.","Aubriot, L., Bonilla, S. and Falkner, G. ",2011,Adaptive phosphate uptake behaviour of phytoplankton to environmental phosphate fluctuations: Adaptive phosphate uptake behaviour of phytoplankton,10.1111/j.1574-6941.2011.01078.x,1–16,77,(1)
"Aufderheide, K.J. (2001) ‘Paramecia’, in Encyclopedia of Genetics. Elsevier, pp. 1411–1414. Available at: https://doi.org/10.1006/rwgn.2001.0952.","Aufderheide, K.J. ",2001,Paramecia,10.1006/rwgn.2001.0952,1411–1414,NA,NA
"Austin, D.A. and Baker, J.H. (1988) ‘Fate of bacteria ingested by larvae of the freshwater mayfly,Ephemera danica’, Microbial Ecology, 15(3), pp. 323–332. Available at: https://doi.org/10.1007/BF02012645.","Austin, D.A. and Baker, J.H. ",1988,"Fate of bacteria ingested by larvae of the freshwater mayfly,Ephemera danica",10.1007/BF02012645,323–332,15,(3)
"Aveskamp, M.M. et al. (2010) ‘Highlights of the Didymellaceae: A polyphasic approach to characterise Phoma and related pleosporalean genera’, Studies in Mycology, 65, pp. 1–60. Available at: https://doi.org/10.3114/sim.2010.65.01.","Aveskamp, M.M. et al. ",2010,Highlights of the Didymellaceae: A polyphasic approach to characterise Phoma and related pleosporalean genera,10.3114/sim.2010.65.01,1–60,65,NA
"Ayala-Borda, P. et al. (2021) ‘Evidence of eutrophication in Arctic lakes’, Arctic Science, 7(4), pp. 859–871. Available at: https://doi.org/10.1139/as-2020-0033.","Ayala-Borda, P. et al. ",2021,Evidence of eutrophication in Arctic lakes,10.1139/as-2020-0033,859–871,7,(4)
"Ban, S. et al. (2015) ‘Isaria takamizusanensis is the anamorph of Cordyceps ryogamimontana, warranting a new combination, Purpureocillium takamizusanense comb. nov.’, International Journal of Systematic and Evolutionary Microbiology, 65(Pt_8), pp. 2459–2465. Available at: https://doi.org/10.1099/ijs.0.000284.","Ban, S. et al. ",2015,"Isaria takamizusanensis is the anamorph of Cordyceps ryogamimontana, warranting a new combination, Purpureocillium takamizusanense comb. nov.",10.1099/ijs.0.000284,2459–2465,65,NA
"Barnett, A.J., Finlay, K. and Beisner, B.E. (2007) ‘Functional diversity of crustacean zooplankton communities: towards a trait‐based classification’, Freshwater Biology, 52(5), pp. 796–813. Available at: https://doi.org/10.1111/j.1365-2427.2007.01733.x.","Barnett, A.J., Finlay, K. and Beisner, B.E. ",2007,Functional diversity of crustacean zooplankton communities: towards a trait‐based classification,10.1111/j.1365-2427.2007.01733.x,796–813,52,(5)
"Barnett, A.J., Finlay, K. and Beisner, B.E. (2013) ‘Functional diversity of crustacean zooplankton communities: towards a trait‐based classification. Freshwater Biology , 52, 796–813. DOI : 10.1111/j.1365‐2427.2007.01733.x’, Freshwater Biology, 58(8), pp. 1755–1765. Available at: https://doi.org/10.1111/fwb.12177.","Barnett, A.J., Finlay, K. and Beisner, B.E. ",2013,"Functional diversity of crustacean zooplankton communities: towards a trait‐based classification. Freshwater Biology , 52, 796–813. DOI : 10.1111/j.1365‐2427.2007.01733.x",10.1111/fwb.12177,1755–1765,52,NA
"Baron, N.C., Souza Pollo, A.D. and Rigobelo, E.C. (2020) ‘Purpureocillium lilacinum and Metarhizium marquandii as plant growth-promoting fungi’, PeerJ, 8, p. e9005. Available at: https://doi.org/10.7717/peerj.9005.","Baron, N.C., Souza Pollo, A.D. and Rigobelo, E.C. ",2020,Purpureocillium lilacinum and Metarhizium marquandii as plant growth-promoting fungi,10.7717/peerj.9005,e9005,8,NA
"Barr, D.J.S. (1984) ‘The classification of Spizellomyces , Gaertneriomyces , Triparticalcar , and Kochiomyces (Spizellomycetales, Chytridiomycetes)’, Canadian Journal of Botany, 62(6), pp. 1171–1201. Available at: https://doi.org/10.1139/b84-161.","Barr, D.J.S. ",1984,"The classification of Spizellomyces , Gaertneriomyces , Triparticalcar , and Kochiomyces (Spizellomycetales, Chytridiomycetes)",10.1139/b84-161,1171–1201,62,(6)
"Barr, D.J.S. and Hadland-Hartmann, V.E. (1978) ‘Zoospore ultrastructure in the genus Rhizophydium (Chytridiales)’, Canadian Journal of Botany, 56(19), pp. 2380–2404. Available at: https://doi.org/10.1139/b78-290.","Barr, D.J.S. and Hadland-Hartmann, V.E. ",1978,Zoospore ultrastructure in the genus Rhizophydium (Chytridiales),10.1139/b78-290,2380–2404,56,(19)
"Barr, D.J.S. and Hartmann, V.E. (1976) ‘Zoospore ultrastructure of three Chytridium species and Rhizoclosmatium globosum’, Canadian Journal of Botany, 54(17), pp. 2000–2013. Available at: https://doi.org/10.1139/b76-214.","Barr, D.J.S. and Hartmann, V.E. ",1976,Zoospore ultrastructure of three Chytridium species and Rhizoclosmatium globosum,10.1139/b76-214,2000–2013,54,(17)
"Bass, D., Howe, A.T., et al. (2009) ‘Phylogeny and Classification of Cercomonadida (Protozoa, Cercozoa): Cercomonas, Eocercomonas, Paracercomonas, and Cavernomonas gen. nov.’, Protist, 160(4), pp. 483–521. Available at: https://doi.org/10.1016/j.protis.2009.01.004.","Bass, D., Howe, A.T., et al. ",2009,"Phylogeny and Classification of Cercomonadida (Protozoa, Cercozoa): Cercomonas, Eocercomonas, Paracercomonas, and Cavernomonas gen. nov.",10.1016/j.protis.2009.01.004,483–521,160,(4)
"Bass, D., Chao, E.E.-Y., et al. (2009) ‘Phylogeny of Novel Naked Filose and Reticulose Cercozoa: Granofilosea cl. n. and Proteomyxidea Revised’, Protist, 160(1), pp. 75–109. Available at: https://doi.org/10.1016/j.protis.2008.07.002.","Bass, D., Chao, E.E.-Y., et al. ",2009,Phylogeny of Novel Naked Filose and Reticulose Cercozoa: Granofilosea cl. n. and Proteomyxidea Revised,10.1016/j.protis.2008.07.002,75–109,160,(1)
"Bass, D. and Cavalier-Smith, T. (2004) ‘Phylum-specific environmental DNA analysis reveals remarkably high global biodiversity of Cercozoa (Protozoa)’, International Journal of Systematic and Evolutionary Microbiology, 54(6), pp. 2393–2404. Available at: https://doi.org/10.1099/ijs.0.63229-0.","Bass, D. and Cavalier-Smith, T. ",2004,Phylum-specific environmental DNA analysis reveals remarkably high global biodiversity of Cercozoa (Protozoa),10.1099/ijs.0.63229-0,2393–2404,54,(6)
"Batra, N. et al. (2019) ‘Cladosporium sphaerospermum causing brain abscess, a saprophyte turning pathogen: Case and review of published reports’, Journal de Mycologie Médicale, 29(2), pp. 180–184. Available at: https://doi.org/10.1016/j.mycmed.2019.04.005.","Batra, N. et al. ",2019,"Cladosporium sphaerospermum causing brain abscess, a saprophyte turning pathogen: Case and review of published reports",10.1016/j.mycmed.2019.04.005,180–184,29,(2)
"Baudouin, M.F. and Ravera, O. (1972) ‘WEIGHT, SIZE, AND CHEMICALC OMPOSITION OF SOME FRESHWATER ZOOPLANKTERS: DAPHNIA HYALINA ( LEYDIG)1’, Limnology and Oceanography, 17(4), pp. 645–649. Available at: https://doi.org/10.4319/lo.1972.17.4.0645.","Baudouin, M.F. and Ravera, O. ",1972,"WEIGHT, SIZE, AND CHEMICALC OMPOSITION OF SOME FRESHWATER ZOOPLANKTERS: DAPHNIA HYALINA ( LEYDIG)1",10.4319/lo.1972.17.4.0645,645–649,17,(4)
"Baumgartner, M. et al. (2003) ‘Cultivation and properties of Echinamoeba thermarum n. sp., an extremely thermophilic amoeba thriving in hot springs’, Extremophiles, 7(4), pp. 267–274. Available at: https://doi.org/10.1007/s00792-003-0319-6.","Baumgartner, M. et al. ",2003,"Cultivation and properties of Echinamoeba thermarum n. sp., an extremely thermophilic amoeba thriving in hot springs",10.1007/s00792-003-0319-6,267–274,7,(4)
"Beamud, S.G. et al. (2015) ‘Using trait-based approaches to study phytoplankton seasonal succession in a subtropical reservoir in arid central western Argentina’, Environmental Monitoring and Assessment, 187(5), p. 271. Available at: https://doi.org/10.1007/s10661-015-4519-1.","Beamud, S.G. et al. ",2015,Using trait-based approaches to study phytoplankton seasonal succession in a subtropical reservoir in arid central western Argentina,10.1007/s10661-015-4519-1,271,187,(5)
"Bellinger, E.G. and Sigee, D.C. (eds) (2015) Freshwater Algae: Identification, Enumeration and Use as Bioindicators. 1st edn. Wiley. Available at: https://doi.org/10.1002/9781118917152.","Bellinger, E.G. and Sigee, D.C.",2015,NA,10.1002/9781118917152,NA,NA,NA
"Belmonte, G. and Cavallo, A. (1997) ‘Body size and its variability in the copepod Acartia margalefi (Calanoida) from Lake Acquatina (SE Italy)’, Italian Journal of Zoology, 64(4), pp. 377–382. Available at: https://doi.org/10.1080/11250009709356225.","Belmonte, G. and Cavallo, A. ",1997,Body size and its variability in the copepod Acartia margalefi (Calanoida) from Lake Acquatina (SE Italy),10.1080/11250009709356225,377–382,64,(4)
"Belykh, O.I. et al. (2006) ‘Autotrophic picoplankton of Lake Baikal: composition, abundance and structure’, Hydrobiologia, 568(S1), pp. 9–17. Available at: https://doi.org/10.1007/s10750-006-0340-8.","Belykh, O.I. et al. ",2006,"Autotrophic picoplankton of Lake Baikal: composition, abundance and structure",10.1007/s10750-006-0340-8,9–17,568,NA
"Bendif, E.M. et al. (2011) ‘Integrative Taxonomy of the Pavlovophyceae (Haptophyta): A Reassessment’, Protist, 162(5), pp. 738–761. Available at: https://doi.org/10.1016/j.protis.2011.05.001.","Bendif, E.M. et al. ",2011,Integrative Taxonomy of the Pavlovophyceae (Haptophyta): A Reassessment,10.1016/j.protis.2011.05.001,738–761,162,(5)
"Bengyella, L. (2018) ‘Global insight into the distribution of velvet-like B protein in Cochliobolus species and implication in pathogenicity and fungicide resistance’, World Journal of Microbiology and Biotechnology, 34(12), p. 187. Available at: https://doi.org/10.1007/s11274-018-2569-6.","Bengyella, L. ",2018,Global insight into the distribution of velvet-like B protein in Cochliobolus species and implication in pathogenicity and fungicide resistance,10.1007/s11274-018-2569-6,187,34,(12)
"Benider, A., Tifnouti, A. and Pourriot, R. (2002) ‘[No title found]’, Hydrobiologia, 468(1/3), pp. 1–11. Available at: https://doi.org/10.1023/A:1015214530485.","Benider, A., Tifnouti, A. and Pourriot, R. ",2002,[No title found],10.1023/A:1015214530485,1–11,468,NA
"Benítez Rodas et al. (2017) ‘Influencia de factores fisicoquímicos sobre la biodiversidad de cianobacterias en el Lago Ypacaraí durante el periodo 2012-2014’, Steviana, 9(2). Available at: https://doi.org/10.56152/StevianaFacenV9N2A2_2017.",Benítez Rodas et al. ,2017,Influencia de factores fisicoquímicos sobre la biodiversidad de cianobacterias en el Lago Ypacaraí durante el periodo 2012-2014,10.56152/StevianaFacenV9N2A2_2017,NA,9,(2)
"Bernard, C. and Rassoulzadegan, F. (1990) ‘Bacteria or microflagellates as a major food source for marine ciliates: possible implications for the microzooplankton’, Marine Ecology Progress Series, 64, pp. 147–155. Available at: https://doi.org/10.3354/meps064147.","Bernard, C. and Rassoulzadegan, F. ",1990,Bacteria or microflagellates as a major food source for marine ciliates: possible implications for the microzooplankton,10.3354/meps064147,147–155,64,NA
"Bertrand, C. et al. (2003) ‘Une nouvelle approche de la biodiversité : plasticité morphologique chez une diatomée d’eau douce’, Comptes Rendus. Biologies, 326(1), pp. 107–120. Available at: https://doi.org/10.1016/S1631-0691(03)00012-X.","Bertrand, C. et al. ",2003,Une nouvelle approche de la biodiversité : plasticité morphologique chez une diatomée d’eau douce,10.1016/S1631-0691(03)00012-X,107–120,326,(1)
"Blancher, E.C. (1984) ‘Zooplankton-trophic state relationships in some north and central Florida lakes’, Hydrobiologia, 109(3), pp. 251–263. Available at: https://doi.org/10.1007/BF00007743.","Blancher, E.C. ",1984,Zooplankton-trophic state relationships in some north and central Florida lakes,10.1007/BF00007743,251–263,109,(3)
"Blandenier, Q. et al. (2017) ‘Mycamoeba gemmipara nov. gen., nov. sp., the First Cultured Member of the Environmental Dermamoebidae Clade LKM74 and its Unusual Life Cycle’, Journal of Eukaryotic Microbiology, 64(2), pp. 257–265. Available at: https://doi.org/10.1111/jeu.12357.","Blandenier, Q. et al. ",2017,"Mycamoeba gemmipara nov. gen., nov. sp., the First Cultured Member of the Environmental Dermamoebidae Clade LKM74 and its Unusual Life Cycle",10.1111/jeu.12357,257–265,64,(2)
"Bledzki, L.A. and Rybak, J.I. (2016) Freshwater Crustacean Zooplankton of Europe: Cladocera & Copepoda (Calanoida, Cyclopoida) Key to species identification, with notes on ecology, distribution, methods and introduction to data analysis. Cham: Springer International Publishing. Available at: https://doi.org/10.1007/978-3-319-29871-9.","Bledzki, L.A. and Rybak, J.I.",2016,NA,10.1007/978-3-319-29871-9,NA,NA,NA
"Boekhout, T. (2011) ‘Pseudozyma Bandoni emend. Boekhout (1985) and a comparison with the yeast state of Ustilago maydis (De Candolle)’, in The Yeasts. Elsevier, pp. 1857–1868. Available at: https://doi.org/10.1016/B978-0-444-52149-1.00153-1.","Boekhout, T. ",2011,Pseudozyma Bandoni emend. Boekhout (1985) and a comparison with the yeast state of Ustilago maydis (De Candolle),10.1016/B978-0-444-52149-1.00153-1,1857–1868,NA,NA
"Boenigk, J. et al. (2005) ‘High diversity of the “ Spumella ‐like” flagellates: an investigation based on the SSU rRNA gene sequences of isolates from habitats located in six different geographic regions’, Environmental Microbiology, 7(5), pp. 685–697. Available at: https://doi.org/10.1111/j.1462-2920.2005.00743.x.","Boenigk, J. et al. ",2005,High diversity of the “ Spumella ‐like” flagellates: an investigation based on the SSU rRNA gene sequences of isolates from habitats located in six different geographic regions,10.1111/j.1462-2920.2005.00743.x,685–697,7,(5)
"Bogdan, K.G. and Gilbert, J.J. (1982) ‘Seasonal patterns of feeding by natural populations of Keratella, Polyarthra, and Bosmina: Clearance rates, selectivities, and contributions to community grazing1’, Limnology and Oceanography, 27(5), pp. 918–934. Available at: https://doi.org/10.4319/lo.1982.27.5.0918.","Bogdan, K.G. and Gilbert, J.J. ",1982,"Seasonal patterns of feeding by natural populations of Keratella, Polyarthra, and Bosmina: Clearance rates, selectivities, and contributions to community grazing1",10.4319/lo.1982.27.5.0918,918–934,27,(5)
"Bogdan, K.G., Gilbert, J.J. and Starkweather, P.L. (1980) ‘In Situ Clearance Rates of Planktonic Rotifers’, in H.J. Dumont and J. Green (eds) Rotatoria. Dordrecht: Springer Netherlands, pp. 73–77. Available at: https://doi.org/10.1007/978-94-009-9209-2_14.","Bogdan, K.G., Gilbert, J.J. and Starkweather, P.L. ",1980,In Situ Clearance Rates of Planktonic Rotifers,10.1007/978-94-009-9209-2_14,73–77,NA,NA
"Bonecker, C.C., Lansac-Tôha, F.A. and Rossa, D.C. (1998) ‘Planktonic and non-planktonic rotifers in two environments of the Upper Paraná River floodplain, state of Mato Grosso do Sul, Brazil’, Brazilian Archives of Biology and Technology, 41(4), pp. 447–456. Available at: https://doi.org/10.1590/S1516-89131998000400009.","Bonecker, C.C., Lansac-Tôha, F.A. and Rossa, D.C. ",1998,"Planktonic and non-planktonic rotifers in two environments of the Upper Paraná River floodplain, state of Mato Grosso do Sul, Brazil",10.1590/S1516-89131998000400009,447–456,41,(4)
"Bonilla, S. et al. (2005) ‘Influence of hydrology on phytoplankton species composition and life strategies in a subtropical coastal lagoon periodically connected with the Atlantic Ocean’, Estuaries, 28(6), pp. 884–895. Available at: https://doi.org/10.1007/BF02696017.","Bonilla, S. et al. ",2005,Influence of hydrology on phytoplankton species composition and life strategies in a subtropical coastal lagoon periodically connected with the Atlantic Ocean,10.1007/BF02696017,884–895,28,(6)
"Bonilla, S. et al. (2016) ‘The success of the cyanobacterium Cylindrospermopsis raciborskii in freshwaters is enhanced by the combined effects of light intensity and temperature’, Journal of Limnology [Preprint]. Available at: https://doi.org/10.4081/jlimnol.2016.1479.","Bonilla, S. et al. ",2016,The success of the cyanobacterium Cylindrospermopsis raciborskii in freshwaters is enhanced by the combined effects of light intensity and temperature,10.4081/jlimnol.2016.1479,NA,NA,NA
"Boraas, M.E. (1983) ‘Population dynamics of food‐limited rotifers in two‐stage chemostat culture1,2’, Limnology and Oceanography, 28(3), pp. 546–563. Available at: https://doi.org/10.4319/lo.1983.28.3.0546.","Boraas, M.E. ",1983,"Population dynamics of food‐limited rotifers in two‐stage chemostat culture1,2",10.4319/lo.1983.28.3.0546,546–563,28,(3)
"Borics, G. et al. (2021) ‘Biovolume and surface area calculations for microalgae, using realistic 3D models’, Science of The Total Environment, 773, p. 145538. Available at: https://doi.org/10.1016/j.scitotenv.2021.145538.","Borics, G. et al. ",2021,"Biovolume and surface area calculations for microalgae, using realistic 3D models",10.1016/j.scitotenv.2021.145538,145538,773,NA
"Bourland, W., Rotterová, J. and Čepička, I. (2017) ‘Morphologic and molecular characterization of seven species of the remarkably diverse and widely distributed metopid genus Urostomides Jankowski, 1964 (Armophorea, Ciliophora)’, European Journal of Protistology, 61, pp. 194–232. Available at: https://doi.org/10.1016/j.ejop.2017.07.003.","Bourland, W., Rotterová, J. and Čepička, I. ",2017,"Morphologic and molecular characterization of seven species of the remarkably diverse and widely distributed metopid genus Urostomides Jankowski, 1964 (Armophorea, Ciliophora)",10.1016/j.ejop.2017.07.003,194–232,1964,NA
"Bourland, W., Rotterová, J. and Čepička, I. (2018) ‘Morphologic and molecular characterization of Brachonella pulchra (Kahl, 1927) comb. nov. (Armophorea, Ciliophora) with comments on cyst structure and formation’, International Journal of Systematic and Evolutionary Microbiology, 68(9), pp. 3052–3065. Available at: https://doi.org/10.1099/ijsem.0.002888.","Bourland, W., Rotterová, J. and Čepička, I. ",2018,"Morphologic and molecular characterization of Brachonella pulchra (Kahl, 1927) comb. nov. (Armophorea, Ciliophora) with comments on cyst structure and formation",10.1099/ijsem.0.002888,3052–3065,1927,NA
