Sp_no,Species name,BioVol_C1,BioVol_C2,BioVol_C3,BioVol_C4,BioVol_C5,min.body.size,max.body.size,type
Sp87,Pinnularia subcapitata,0,0,1,0,0,300,600,range
Sp88,Pinnularia viridis,0,0,0,0,1,1500,NA,min
Sp89,Planctonema lauterbornii,0,0,0,1,0,600,1500,range
Sp90,Planothidium frequentissimum,0,1,0,0,0,100,300,range
Sp91,Planothidium lanceolatum,0,0,1,0,0,300,600,range
Sp92,Polyedriopsis spinulosa,0,0,1,0,0,300,600,range
Sp93,Pseudanabaena minima,0,1,0,0,0,100,300,range
Sp94,Psudodidymocystis planctonica,0,1,0,0,0,100,300,range
Sp95,Pteromonas cordiformis,0,0,0,0,1,1500,NA,min
Sp96,Rhodomonas lacustris var. nannoplanctica,0,0,1,0,0,300,600,range
Sp97,Comasiella arcuata,1,0,0,0,0,5,100,range
Sp98,Tetradesmus obliquus,1,0,0,0,0,5,100,range
Sp99,Selenastrum bibraianum,0,0,0,0,1,1500,NA,min
Sp100,Sellaphora pupula,0,0,0,1,0,600,1500,range
Sp101,Senedesmus acuminatus,0,0,0,1,0,600,1500,range
Sp102,Spirulina major,1,0,0,0,0,5,100,range
Sp103,Staurastrum gracile,0,0,0,0,1,1500,NA,min
Sp104,Staurastrum tetracerum,0,1,0,0,0,100,300,range
Sp105,Stauroneis gracilis,0,0,0,1,0,600,1500,range
Sp106,Stichococcus minor,0,0,0,0,0,NA,NA,min
Sp107,Strombomonas acuminata,0,0,0,1,0,600,1500,range
Sp108,Strombomonas borysteniensis,0,0,0,0,1,1500,NA,min
Sp109,Surirella angusta,0,0,0,1,0,600,1500,range
Sp110,Synechococcus nidulans,1,0,0,0,0,5,100,range
Sp111,Synura globosa,0,0,0,1,0,600,1500,range
Sp112,Tabularia fasciculata,0,0,1,0,0,300,600,range
Sp113,Tetraedron minimum,0,1,0,0,0,100,300,range
Sp114,Tetrastrum komarekii,1,0,0,0,0,5,100,range
Sp115,Trachelomonas armata,0,0,0,0,1,1500,NA,min
Sp116,Trachelomonas hispida,0,0,0,0,1,1500,NA,min
Sp117,Trachelomonas intermedia,0,0,0,0,1,1500,NA,min
Sp118,Trachelomonas planctonica,0,0,0,0,1,1500,NA,min
Sp119,Trachelomonas planctonica var. hyalina,0,0,0,0,1,1500,NA,min
Sp120,Trachelomonas volvocina,0,0,0,0,1,1500,NA,min
Sp121,Trachelomonas volvocinopsis,0,0,0,0,1,1500,NA,min
Sp122,Treubaria plantonica,0,0,0,1,0,600,1500,range
Sp123,Treubaria schmidlei,0,1,0,0,0,100,300,range
Sp124,Ulnaria acus,0,0,0,0,1,1500,NA,min
Sp125,Ulnaria ulna,0,0,0,0,1,1500,NA,min
Sp126,Uronema confervicolum,0,0,0,0,0,NA,NA,min
Sp127,Woronichinia obtusa,0,0,0,1,0,600,1500,range
Sp128,Chrooceoccus turgidus,0,0,0,0,1,1500,NA,min
Sp129,Phacus caudatus,0,0,0,0,1,1500,NA,min
Sp130,Cryptomonas curvata,0,0,1,0,0,300,600,range
Sp131,Chromulina ovalis,1,0,0,0,0,5,100,range
Sp132,Tribonema vulgare,0,0,0,1,0,600,1500,range
Sp133,Sorastrum spinulosum,0,0,1,0,0,300,600,range
Sp134,Lagerheimia ciliata,0,1,0,0,0,100,300,range
Sp135,Mougeotia sp.,0,0,0,0,1,1500,NA,min
Sp136,Dolichospermum flos-aquae,0,1,0,0,0,100,300,range
