Species,Nitrogen fixation,Motility,Silicon demand,Individual cell volumes (μm³),Maximum linear size (μm),Viscose,Cell tissue type,min_size,max_size,min_length,max_length
Scenedesmus acuminatus,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Synedra acusvar,Not possess,Non-motor cells,Possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Strombomonas ensifera,Not possess,Non-motor cells,Not possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Tetrachlorella alternans,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Staurastrum paradoxum,Not possess,Non-motor cells,Not possess,>10000,40~80,Not possess,Monoplast,10000,NA,40,80
Euglena deses,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,80~200,Not possess,Monoplast,10000,NA,80,200
Coelosphaerium sp.1,Not possess,Flagellar species that can move in 3D space,Not possess,<400,<12,Not possess,Instable group,NA,400,NA,12
Trachelomonas oblonga,Not possess,Flagellar species that can move in 3D space,Not possess,<400,12~25,Not possess,Monoplast,NA,400,12,25
Chroomonas caudata,Not possess,Flagellar species that can move in 3D space,Not possess,400~1000,12~25,Not possess,Monoplast,400,1000,12,25
Tetraëdron caudatum,Not possess,Non-motor cells,Not possess,<400,25~40,Not possess,Cenobium,NA,400,25,40
Anabaena circinalis,Possess,Adjust the buoyancy through the airbag,Not possess,<400,12~25,Possess,Protonema,NA,400,12,25
Khawkinea quartana,Not possess,Flagellar species that can move in 3D space,Not possess,<400,<12,Not possess,Monoplast,NA,400,NA,12
Quadrigula chodatii,Not possess,Non-motor cells,Not possess,<400,40~80,Not possess,Cenobium,NA,400,40,80
Oscillatoria granulata,Possess,Non-motor cells,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Melosira granulata,Not possess,Non-motor cells,Possess,<400,12~25,Not possess,Protonema,NA,400,12,25
Melosira granulata var. angustissima,Not possess,Non-motor cells,Possess,400~1000,12~25,Not possess,Protonema,400,1000,12,25
Tetrastrum sp.1,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Anabaena oscillarioides,Possess,Adjust the buoyancy through the airbag,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Phacus pyrum,Not possess,Flagellar species that can move in 3D space,Not possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Ankistrodesmus falcatus,Not possess,Non-motor cells,Not possess,<400,80~200,Not possess,Monoplast,NA,400,80,200
Oscillatoria amphibia,Possess,Non-motor cells,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Scenedesmus protuberans,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Cryptomonas ovata,Not possess,Flagellar species that can move in 3D space,Not possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Diploneis ovalis,Not possess,Non-motor cells,Possess,>10000,80~200,Not possess,Monoplast,10000,NA,80,200
Surirella ovalis,Not possess,Non-motor cells,Possess,>10000,40~80,Not possess,Monoplast,10000,NA,40,80
Schroederia spiralis,Not possess,Non-motor cells,Not possess,1000~2000,80~200,Not possess,Monoplast,1000,2000,80,200
Ankistrodesmus spiralis,Not possess,Non-motor cells,Not possess,<400,80~200,Not possess,Monoplast,NA,400,80,200
Anabaena spiroides,Possess,Adjust the buoyancy through the airbag,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Gymnodinium aeruginosum,Not possess,Flagellar species that can move in 3D space,Not possess,400~1000,25~40,Not possess,Monoplast,400,1000,25,40
Nitzschia terrestris,Not possess,Non-motor cells,Possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Nitzschia lorenziana,Not possess,Non-motor cells,Possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Euglena viridis,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,40~80,Not possess,Monoplast,10000,NA,40,80
Cyclotella meneghiniana,Not possess,Non-motor cells,Possess,3000~10000,25~40,Not possess,Monoplast,3000,10000,25,40
Asterionella formosa,Not possess,Non-motor cells,Possess,1000~2000,40~80,Not possess,Monoplast,1000,2000,40,80
Oscillatoria subbrevis,Possess,Non-motor cells,Not possess,<400,<12,Possess,Protonema,NA,400,NA,12
Schroederia nitzschioides,Not possess,Non-motor cells,Not possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Closterium moniliferum,Not possess,Non-motor cells,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Cryptomonas erosa,Not possess,Flagellar species that can move in 3D space,Not possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Chroococcus turgidus,Possess,Non-motor cells,Not possess,3000~10000,40~80,Possess,Cenobium,3000,10000,40,80
Cymbella tumida,Not possess,Non-motor cells,Possess,>10000,80~200,Not possess,Monoplast,10000,NA,80,200
Nitzschia lanceolata,Not possess,Non-motor cells,Possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Diatoma vulagare,Not possess,Non-motor cells,Possess,3000~10000,25~40,Not possess,Monoplast,3000,10000,25,40
Phacus anomalus,Not possess,Flagellar species that can move in 3D space,Not possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Chlamydomonas globosa,Not possess,Flagellar species that can move in 3D space,Not possess,<400,<12,Not possess,Monoplast,NA,400,NA,12
Achnanthidium sp.1,Not possess,Non-motor cells,Possess,<400,<12,Not possess,Monoplast,NA,400,NA,12
Closterium acerosum,Not possess,Non-motor cells,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Tetraedron trigonum,Not possess,Non-motor cells,Not possess,<400,25~40,Not possess,Cenobium,NA,400,25,40
Pandorina morum,Not possess,Flagellar species that can move in 3D space,Not possess,<400,12~25,Not possess,Instable group,NA,400,12,25
Golenkinia paucispina,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Monoplast,NA,400,12,25
Scenedesmus bijuga,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Scenedesmus bicaudatus,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Hantzschia amphioxys,Not possess,Non-motor cells,Possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Pediastrum biradiatum,Not possess,Non-motor cells,Not possess,1000~2000,25~40,Possess,Cenobium,1000,2000,25,40
Scenedesmus sp.1,Not possess,Non-motor cells,Not possess,400~1000,12~25,Not possess,Cenobium,400,1000,12,25
Tetraspora sp.1,Not possess,Non-motor cells,Not possess,<400,12~25,Possess,Instable group,NA,400,12,25
Crucigenia quadrata,Not possess,Non-motor cells,Not possess,<400,<12,Not possess,Cenobium,NA,400,NA,12
Scenedesmus quadricauda,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Crucigenia tetrapedia,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Euglena acus,Not possess,Flagellar species that can move in 3D space,Not possess,>10000,80~200,Not possess,Monoplast,10000,NA,80,200
Gomphonema turris,Not possess,Non-motor cells,Possess,400~1000,25~40,Not possess,Monoplast,400,1000,25,40
Phacus stokesii,Not possess,Flagellar species that can move in 3D space,Not possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Nitzschia kurzeana,Not possess,Non-motor cells,Possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Encyonema minutum,Not possess,Non-motor cells,Possess,1000~2000,25~40,Not possess,Monoplast,1000,2000,25,40
Microcystis aeruginosa,Not possess,Non-motor cells,Not possess,<400,<12,Possess,Cenobium,NA,400,NA,12
Chroococcus minutus,Possess,Non-motor cells,Not possess,<400,<12,Possess,Cenobium,NA,400,NA,12
Tetraedron minimum,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Gomphonema minutum,Not possess,Non-motor cells,Possess,<400,25~40,Not possess,Monoplast,NA,400,25,40
Fragilaria vaucheriae,Not possess,Non-motor cells,Possess,3000~10000,80~200,Not possess,Cenobium,3000,10000,80,200
Navicula cincta,Not possess,Non-motor cells,Possess,1000~2000,40~80,Not possess,Monoplast,1000,2000,40,80
Merismopedia minima,Not possess,Non-motor cells,Not possess,<400,<12,Possess,Cenobium,NA,400,NA,12
Ankistrodesmus bibraianus,Not possess,Non-motor cells,Not possess,<400,40~80,Not possess,Monoplast,NA,400,40,80
Closterium gracile,Not possess,Non-motor cells,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Westellopsis linearis,Not possess,Non-motor cells,Not possess,<400,<12,Possess,Instable group,NA,400,NA,12
Cymbella cistula,Not possess,Non-motor cells,Possess,1000~2000,40~80,Not possess,Monoplast,1000,2000,40,80
Anabaena sp.,Possess,Adjust the buoyancy through the airbag,Not possess,<400,12~25,Possess,Protonema,NA,400,12,25
Coelastrum microporum,Not possess,Non-motor cells,Not possess,<400,12~25,Possess,Cenobium,NA,400,12,25
Gomphonema parvulum,Not possess,Non-motor cells,Possess,<400,25~40,Not possess,Monoplast,NA,400,25,40
Scenedesmus obliquus,Not possess,Non-motor cells,Not possess,400~1000,12~25,Not possess,Cenobium,400,1000,12,25
Trachelomonas volvocina,Not possess,Non-motor cells,Not possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Tetrastrum heterocanthum,Not possess,Non-motor cells,Not possess,<400,25~40,Not possess,Cenobium,NA,400,25,40
Gomphonema constrictum,Not possess,Non-motor cells,Possess,<400,<12,Not possess,Monoplast,NA,400,NA,12
Schroederia robusta,Not possess,Non-motor cells,Not possess,3000~10000,80~200,Not possess,Monoplast,3000,10000,80,200
Pleurosigma decorum,Not possess,Non-motor cells,Possess,1000~2000,40~80,Not possess,Monoplast,1000,2000,40,80
Dinobryon cylindricum,Not possess,Non-motor cells,Not possess,<400,40~80,Possess,Instable group,NA,400,40,80
Selenastrum bibraianum,Not possess,Non-motor cells,Not possess,400~1000,25~40,Not possess,Monoplast,400,1000,25,40
Neidium sp.1,Not possess,Non-motor cells,Possess,>10000,>200,Not possess,Monoplast,10000,NA,200,NA
Nitzschia longissima,Not possess,Non-motor cells,Possess,1000~2000,80~200,Not possess,Monoplast,1000,2000,80,200
Scenedesmus javaensis,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Nitzschia acicularis,Not possess,Non-motor cells,Possess,1000~2000,80~200,Not possess,Monoplast,1000,2000,80,200
Ankistrodesmus acicularis,Not possess,Non-motor cells,Not possess,400~1000,80~200,Not possess,Monoplast,400,1000,80,200
Crucigenia rectangularis,Not possess,Non-motor cells,Not possess,<400,12~25,Not possess,Cenobium,NA,400,12,25
Characium strictum,Not possess,Non-motor cells,Not possess,400~1000,25~40,Not possess,Monoplast,400,1000,25,40
Synedra ulna,Not possess,Non-motor cells,Possess,3000~10000,>200,Not possess,Monoplast,3000,10000,200,NA
Pinnularia nobilis,Not possess,Non-motor cells,Possess,3000~10000,40~80,Not possess,Monoplast,3000,10000,40,80
Staurastrum vestitum,Not possess,Non-motor cells,Not possess,>10000,40~80,Not possess,Monoplast,10000,NA,40,80
