genus,family
Skeletonema,Skeletonemaceae
Rhodomonas,Pyrenomonadaceae
Plagioselmis,Geminigeraceae
Synedra,Fragilariaceae
Coenocystis,Radiococcaceae
Botryococcus,Botryococcaceae
Cyclotella,Stephanodiscaceae
Nephrodiella,Pleurochloridaceae
Cymbella,Cymbellaceae
Dinobryon,Dinobryaceae
Encyonema,Cymbellaceae
Chloroidium,Watanabeaceae
Heleochloris,Sphaerocystidaceae
Chrysolykos,Dinobryaceae
Achnanthidium,Achnanthidiaceae
Pseudostaurosira,Fragilariaceae
Nephrocytium,Nephrocytiaceae
Eunotia,Eunotiaceae
Coelomoron,Microcystaceae
Monallantus,Pleurochloridaceae
Epipyxis,Dinobryaceae
Amphora,Catenulaceae
Neocystis,Radiococcaceae
Tychonema,Microcoleaceae
Oedogonium,Oedogoniaceae
Achnanthes,Achnanthaceae
Protoperidinium,Protoperidiniaceae
Thalassiosira,Thalassiosiraceae
Fragilariforma,Fragilariaceae
Goniochloris,Goniochloris
Neidium,Neidiaceae
Tetraedriella,Goniochloridaceae
Craticula,Stauroneidaceae
Gymnodinium,Gymnodiniaceae
Aulacoseira,Aulacoseiraceae
Lobocystis,Chlorophyceae familia incertae sedis
Chrysococcus,Chrysococcaceae
Elakatothrix,Elakatotrichaceae
Asterionella,Fragilariaceae
Discostella,Stephanodiscaceae
Haslea,Naviculaceae
Sciadium,Sciadiaceae
Stokesiella,Dinobryaceae
Chromulina,Chromulinaceae
Tryblionella,Bacillariaceae
Peridinium,Peridiniaceae
Cryptomonas,Cryptomonadaceae
Cyanosarcina,Chroococcaceae
Amphidinium,Amphidiniaceae
Karayevia,Achnanthidiaceae
Melosira,Melosiraceae
Himantidium,Eunotiaceae
Chrysastrella,Chrysosphaeraceae
Palaeacmea,Palaeacmaeidae
Diatoma,Fragilariaceae
Ulnaria,Fragilariaceae
Korshikoviella,Characiaceae
Placoneis,Cymbellaceae
Isthmochloron,Pleurochloridaceae
Oestrupia,Pinnulariaceae
Hannaea,Fragilariaceae
Cocconeis,Cocconeidaceae
Cymbopleura,Cymbellaceae
Caloneis,Naviculaceae
Surirella,Surirellaceae
Limnococcus,Cyanothrichaceae
Euglena,Euglenaceae
Meridion,Fragilariaceae
Chaetoceros,Chaetocerotaceae
Gyrosigma,Pleurosigmataceae
Pseudostaurastrum,Goniochloridaceae
Trochiscia,Oocystaceae
Frustulia,Amphipleuraceae
Puncticulata,Stephanodiscaceae
Pinnularia,Pinnulariaceae
Eucocconeis,Achnanthidiaceae
Stauroneis,Stauroneidaceae
Amphipleura,Amphipleuraceae
Belonastrum,Bacillariophyceae familia incertae sedis
Centritractus,Centritractaceae
Gyrodinium,Gyrodiniaceae
Peridiniopsis,Peridiniopsidaceae
Rhopalodia,Rhopalodiaceae
Dinosphaera,Dinosphaeraceae
Lithoperidinium,Peridiniaceae
Strombomonas,Euglenaceae
Glenodinium,Peridiniales familia incertae sedis
Spiniferodinium,Gymnodiniaceae
Epithemia,Rhopalodiaceae
Diplosalis,Dinosphaeraceae
Cymatopleura,Surirellaceae
Lindavia,Stephanodiscaceae
Campylodiscus,Surirellaceae
Cylindrospermopsis,Aphanizomenonaceae
Erkenia,Chrysochromulinaceae
Gloeotrichia,Aphanizomenonaceae
Fragilariopsis,Bacillariaceae
Chlorocloster,Pleurochloridaceae
Spirulina,Spirulinaceae
Chrysocapsa,Chrysocapsaceae
Polygoniochloris,Pleurochloridaceae
Cyanogranis,Microcystaceae
Actinocyclus,Hemidiscaceae
Nephroselmis,Nephroselmidaceae
Gloeothece,Microcystaceae
Rhizosolenia,Rhizosoleniaceae
Anabaenopsis,Nodulariaceae
Cyanocatena,Microcystaceae
Dactylococcopsis,Chroococcaceae
Chrysosporum,Nodulariaceae
Trichormus,Aphanizomenonaceae
Entomoneis,Entomoneidaceae
Monodus,Pleurochloridaceae
Romeria,Cymatolegaceae
Gonyostomum,Vacuolariaceae
Akashiwo,Gymnodiniaceae
Ophiocytium,Ophiocytiaceae
Syncrypta,Mallomonadaceae
Tabularia,Fragilariaceae
Coscinodiscus,Coscinodiscaceae
Bacillaria,Bacillariaceae
Amphiprora,Amphipleuraceae
Grunowia,Bacillariaceae
Gloeobacter,Gloeobacteraceae
Chrysamoeba,Chrysamoebaceae
Attheya,Attheyaceae
Actinoptychus,Heliopeltaceae
Amphicampa,Eunotiaceae
Biddulphia,Biddulphiaceae
Characiopsis,Chlorobotryaceae
Komma,Chroomonadaceae
Crypthecodinium,Crypthecodiniaceae
Dictyocha,Dictyochaceae
Didymosphenia,Cymbellaceae
Dissodinium,Pyrocystaceae
Ditylum,Lithodesmiaceae
Eucampia,Hemiaulaceae
Eucapsis,Microcystaceae
Eutreptiella,Eutreptiaceae
Gomphoneis,Gomphonemataceae
Hapalosiphon,Hapalosiphonaceae
Hemiselmis,Chroomonadaceae
Leptocylindrus,Leptocylindraceae
Leucocryptos,Kathablepharidae
Nostoc,Nostocaceae
Odontella,Triceratiaceae
Stephanopyxis,Stephanopyxidaceae
Pedinella,Actinomonadaceae
Phaeocystis,Phaeocystaceae
Pleurosigma,Pleurosigmataceae
Protoderma,Helicodictyaceae
Prymnesium,Prymnesiaceae
Pseudoanabaena,Pseudoanabaenaceae
Pyrenomonas,Pyrenomonadaceae
Pyrophacus,Pyrophacaceae
Raphidiopsis,Aphanizomenonaceae
Reimeria,Gomphonemataceae
Salpingella,Tintinnidae
Stenopterobia,Surirellaceae
Teleaulax,Geminigeraceae
Terpsinoe,Anaulaceae
Triceratium,Triceratiaceae
Warnowia,Warnowiaceae
Gyromitus,Polyblepharidaceae
Katablepharis,Kathablepharidae
Monas,Ochromonadaceae
Chrysidiastrum,Chrysamoebaceae
Monochrysis,Chromulinaceae
Telonema,Telonemidae
Synuropsis,Ochromonadaceae
Chrysosphaera,Chrysosphaeraceae
Paramastix,Paramastigaceae
Diplochloris,Chlorophyceae familia incertae sedis
Paraphysomonas,Paraphysomonadaceae
Cryptaulax,Cryptomonadaceae
Cyanonephron,Synechococcaceae
Bodo,Bodonidae
Goniomonas,Cyathomonadaceae
Vacuolaria,Vacuolariaceae
Planctococcus,Sphaerocystidaceae
Chrysostephanosphaera,Chrysamoebaceae
Kephyriopsis,Dinobryaceae
Tyrannodinium,Pfiesteriaceae
Glochidinium,Peridiniaceae
Platymonas,Chlorodendraceae
Pseudopolyedriopsis,Pleurochloridaceae
Rhabdomonas,Astasiidae
Hydrurus,Hydruraceae
Chilomonas,Campylomonadaceae
Actinella,Eunotiaceae
Ducellieria,Botryochloridaceae
Rhizochrysis,Chrysamoebaceae
Bernardinium,Tovelliaceae
Geitlerinema,Geitlerinemataceae
Petalomonas,Scytomonadidae
Kobayasiella,Naviculaceae
Fistulifera,Naviculaceae
Halamphora,Amphipleuraceae
Picochlorum,Chlorellales familia incertae sedis
Tetrahymena,Tetrahymenidae
Rotaria,Philodinidae
Pyramidomonas,NA
Cyanobacterium,Geminocystaceae
Glaucospira,Spirulinaceae
Limnolyngbya,Leptolyngbyaceae
Encyonopsis,Cymbellaceae
Pantocsekiella,Stephanodiscaceae
Stauroforma,Fragilariaceae
Chimonodinium,Thoracosphaeraceae
Trachydiscus,Goniochloridaceae
Amoeba,Amoebidae
Saccamoeba,Hartmannellidae
Actinophrys,Actinophryidae
Codonella,Bitectiporidae
Aspidisca,Aspidiscidae
Cinetochilum,Cinetochilidae
Stentor,Stentoridae
Campanella,Aeginidae
Vorticella,Vorticellidae
Litonotus,Litonotidae
Chilodonella,Chilodonellidae
Glaucoma,Glaucomidae
Dexiostoma,Turaniellidae
Carchesium,Vorticellidae
Cothurnia,Vaginicolidae
Trachelophyllum,Trachelophyllidae
Adlafia,Naviculaceae
Rossithidium,Achnanthidiaceae
Psammothidium,Achnanthidiaceae
Platessa,Pleuronectidae
Naviculadicta,Naviculaceae
Kolbesia,Achnanthidiaceae
Berkeleya,Orbiniidae
Anomoeoneis,Anomoeoneidaceae
Biremis,Scoliotropidaceae
Catenula,Catenulaceae
Chamaepinnularia,Naviculaceae
Ctenophora,Fragilariaceae
Diadesmis,Diadesmidaceae
Humidophila,Diadesmidaceae
Delicatophycus,Cymbellaceae
Delicata,Cymbellaceae
Eolimna,Naviculaceae
Fallacia,Sellaphoraceae
Distrionella,Fragilariaceae
Scalptrum,Naviculaceae
Hippodonta,Naviculaceae
Licmophora,Licmophoraceae
Lemnicola,Achnanthidiaceae
Dorofeyukea,Stauroneidaceae
Luticola,Diadesmidaceae
Mayamaea,Naviculaceae
Microcostatus,Naviculaceae
Muelleria,Holothuriidae
Opephora,Fragilariaceae
Parlibellus,Berkeleyaceae
Achnantheiopsis,Achnanthidiaceae
Lysigonium,Melosiraceae
Stauroptera,Naviculaceae
Praetriceratium,Triceratiaceae
Pulchella,Naviculaceae
Simonsenia,Bacillariaceae
Arachnochloris,Pleurochloridaceae
Arthrospira,Microcoleaceae
Chlorolobium,Chlorobiaceae
Chroococcopsis,Hydrococcaceae
Korschpalmella,Sphaerocystidaceae
Cylindrotheca,Bacillariaceae
Dendromonas,Chromulinaceae
Durinskia,Kryptoperidiniaceae
Epigloeosphaera,Cymatolegaceae
Leibleinia,Microcoleaceae
Microcrocis,Geminocystaceae
Nodularia,Nodulariaceae
Pavlova,Pavlovaceae
Phytodinium,Phytodiniaceae
Pleurogaster,Pleurochloridaceae
Pseudopodosira,Melosiraceae
Sphaerocavum,Microcystaceae
Sphaerospermopsis,Aphanizomenonaceae
Spumella,Ochromonadaceae
Tetraktis,Botryochloridaceae
Tetraplektron,Pleurochloridaceae
Urosolenia,Rhizosoleniaceae
Phaeodactylum,Phaeodactylaceae
Euplotoides,Euplotidae
Epistylis,Epistylididae
Paramecium,Parameciidae
Strobilidium,Strobilidiidae
Strombidium,Strombidiidae
Tintinnidium,Tintinnidiidae
Brachionus,Brachionidae
Nannochloropsis,Monodopsidaceae
Frankophila,Fragilariaceae
Hantzschia,Bacillariaceae
Trichodina,Trichodinidae
Limnostrombidium,Strombidiidae
Monodinium,Didiniidae
Lagynophrya,Trachelophyllidae
Blepharisma,Blepharismidae
Halteria,Halteriidae
Cyclidium,Cyclidiidae
Rimostrombidium,Strobilidiidae
Lacrymaria,Lacrymariidae
Vorticellides,NA
Pelagostrombidium,Strombidiidae
Colpoda,Colpodidae
Ellipsoidion,Pleurochloridaceae
Denticula,Bacillariaceae
Plectonema,Microcoleaceae
Actidesmium,Characiaceae
Actinomonas,Actinomonadaceae
Acanthochloris,Pleurochloridaceae
Ammatoidea,Microcoleaceae
Amphichrysis,Chromulinaceae
Nusuttodinium,Gymnodiniaceae
Togula,Gymnodiniaceae
Ankistrodinium,Gymnodiniaceae
Amphirhiza,Chrysamoebaceae
Apedinella,Actinomonadaceae
Astasia,Astasiidae
Aulosira,Leptobasaceae
Bacularia,Cymatolegaceae
Blennothrix,Microcoleaceae
Parabodo,Parabodonidae
Neobodo,Neobodonidae
Botrydium,Botrydiaceae
Botryochloris,Botryochloridaceae
Brasilonema,Scytonemataceae
Pseudobumilleriopsis,Sciadiaceae
Camptylonemopsis,Leptobasaceae
Parkeria,NA
Chakia,Scytonemataceae
Chamaecalyx,Hyellaceae
Characiellopsis,Characiaceae
Chlorallanthus,Ophiocytiaceae
Chlorella,Chlorellaceae
Chloridella,Squillidae
Chlorobotrys,Chlorobotryaceae
Chlorogibba,Pleurochloridaceae
Chondrocystis,Hydrococcaceae
Chroococcidiopsis,Chroococcidiopsidaceae
Chrysapsis,Chromulinaceae
Chrysocapsella,Chrysocapsaceae
Haptolina,Prymnesiaceae
Braarudosphaera,Braarudosphaeraceae
Chrysodendron,Ochromonadaceae
Chrysomonas,Chromulinaceae
Chrysopora,Chrysocapsaceae
Chrysotilos,Chrysocapsaceae
Chrysoxys,Chromulinaceae
Coccopedia,Merismopediaceae
Coleochlamys,Microthamniaceae
Coleodesmium,Torquaratoridae
Conradocystis,Chrysococcaceae
Crinalium,Gomontiellaceae
Leptomonas,Trypanosomatidae
Cyanokybus,Chroococcaceae
Cyanotetras,Microcystaceae
Cyanothamnos,Cymatolegaceae
Cyclidiopsis,Phacaceae
Cyclonexis,Ochromonadaceae
Cymbomonas,Pyramimonadaceae
Cystodinedria,Phytodiniaceae
Cystodinium,Phytodiniaceae
Dactylosphaerium,Dictyosphaeriaceae
Dasygloea,Microcoleaceae
Dermocarpella,Hydrococcaceae
Desmococcus,Stichococcaceae
Deuterocharacium,Characiaceae
Diachros,Ophiocytiaceae
Dichothrix,Rivulariaceae
Dinococcus,Phytodiniaceae
Distigma,Distigmatidae
Epicystis,Chrysosphaeraceae
Crumenula,Euglenaceae
Fortiea,Leptobasaceae
Glenodiniopsis,Glenodiniopsidaceae
Kryptoperidinium,Peridiniaceae
Coolia,Ostreopsidaceae
Gloeochrysis,Chrysocapsaceae
Gloeococcus,Palmellopsidaceae
Lepidodinium,Gymnodiniaceae
Levanderina,Gymnodiniales familia incertae sedis
Karlodinium,Kareniaceae
Woloszynskia,Tovelliaceae
Karenia,Kareniaceae
Hassallia,Tolypothrichaceae
Helicopedinella,Actinomonadaceae
Heterochromonas,Chromulinaceae
Heterodesmus,Cypridinidae
Hexamitus,Hexamitidae
Hormoscilla,Gomontiellaceae
Hormothece,Microcystaceae
Hormotila,Hormotilaceae
Hortobagyiella,Chlorophyceae familia incertae sedis
Hydrocoleum,Microcoleaceae
Katagnymene,Gomontiellaceae
Aduncodinium,Pfiesteriaceae
Khawkinea,Euglenaceae
Lepochromulina,Chrysococcaceae
Chroakolemma,Leptolyngbyaceae
Macrospermum,Aphanizomenonaceae
Mallomonas,Mallomonadaceae
Merotricha,Vacuolariaceae
Microchaete,Rivulariaceae
Microcoleus,Microcoleaceae
Mischococcus,Mischococcaceae
Myochloris,Nephroselmidaceae
Echinochrysis,Ochromonadaceae
Cercomonas,Cercomonadidae
Ollicola,Dinobryaceae
Oonephris,Oocystaceae
Ophiothrix,Scytonemataceae
Pachycladella,Oocystaceae
Palatinus,Peridiniaceae
Paracapsa,Chroococcaceae
Staszicella,Peridiniaceae
Archaeperidinium,Protoperidiniaceae
Petalonema,Scytonemataceae
Phaeobotrys,Phaeothamniaceae
Phaeoplaca,Chrysothallaceae
Planktothricoides,Oscillatoriaceae
Pleurocapsa,Hydrococcaceae
Pleurochloris,Pleurochloridaceae
Polyedriella,Pleurochloridaceae
Polylepidomonas,Paraphysomonadaceae
Porphyrosiphon,Microcoleaceae
Prismatella,Pleurochloridaceae
Pseudocapsa,Chroococcaceae
Pseudocharaciopsis,Chlorobotryaceae
Pseudocharacium,Chlorobotryaceae
Pseudochattonella,Ignatiaceae
Pseudoncobyrsa,Microcystaceae
Pseudophormidium,Leptolyngbyaceae
Radiofilum,Sphaeropleaceae
Raphidosphaera,Pleurochloridaceae
Rhodostichus,Cymatolegaceae
Rivularia,Rivulariaceae
Saccochrysis,Chromulinaceae
Schizochlamydella,Oocystaceae
Hypheothrix,Oscillatoriaceae
Scytonema,Scytonemataceae
Sphaeraspis,Chromulinaceae
Spirodinium,Gymnodiniaceae
Stanieria,Hydrococcaceae
Stenokalyx,Chrysococcaceae
Storeatula,Pyrenomonadaceae
Stylochrysalis,Dinobryaceae
Symplocastrum,Microcoleaceae
Tetrarcus,Chroococcaceae
Tolypothrix,Tolypothrichaceae
Trachychloron,Pleurochloridaceae
Trichocoleus,Trichocoleusaceae
Trichodesmium,Microcoleaceae
Tubiella,Cymatolegaceae
Umezakia,Aphanizomenonaceae
Uroglenopsis,Ochromonadaceae
Vischeria,Chlorobotryaceae
Wollea,Aphanizomenonaceae
Wolskyella,Cymatolegaceae
Xenococcus,Hydrococcaceae
Xenotholos,Hydrococcaceae
Opercularia,Operculariidae
Frontonia,Frontoniidae
Euplotes,Euplotidae
Bromeliothrix,NA
Colpidium,Turaniellidae
Didinium,Didiniidae
Glaucomides,Bromeliophryidae
Meseres,Synallactidae
Pauliella,Lithodesmiaceae
Cothurniopsis,NA
Pyxicola,Vaginicolidae
Stokesia,Stokesiidae
Urocentrum,Urocentridae
Picocystis,Picocystaceae
Stephanoceros,Collothecidae
Paradileptus,Tracheliidae
Pelagohalteria,Halteriidae
Staurophora,Laodiceidae
Pseudourostyla,Pseudourostylidae
Stylonychia,Oxytrichidae
Gastrostyla,Oxytrichidae
Uroleptus,Urostylidae
Condylostoma,Condylostomatidae
Dileptus,Tracheliidae
Celsinotum,Chydoridae
Cyclostephanos,Stephanodiscaceae
Stephanocostis,Stephanodiscaceae
Praestephanos,NA
Tintinnopsis,Codonellidae
Pulvinularia,Stigonemataceae
