Taxa,08/03/2018,12/04/2018,09/05/2018,07/06/2018,09/07/2018,09/07/2018,07/08/2018,07/09/2018,07/09/2018,01/10/2018,14/11/2018,14/11/2018,03/12/2018,14/01/2019,18/02/2019,12/03/2019,01/04/2019,08/05/2019,08/05/2019,06/06/2019,06/06/2019,25/06/2019,25/06/2019,11/07/2019,11/07/2019,29/08/2019,17/09/2019,21/10/2019,19/11/2019,18/12/2019,21/01/2020,18/02/2020,17/03/2020,20/04/2020,14/05/2020,23/06/2020,23/06/2020,08/07/2020,05/08/2020,17/09/2020,20/10/2020,12/11/2020,15/12/2020
Elakatothrix gelatinosa,,,,124,,,,4,28,41,11,9,10,4,10.417,3.788,4.262,4.26163873,3.906502169,1.775682804,14.20546243,5.918942681,17.75682804,28.41092487,7.102731217,46.16775291,4.2,65.93491871,2.535958412,1.420546243,8.496,5.841,15.93,35.4,58.41,22089.6,20390.4,15526.44,1.062,31.86,26.55,67.26,580.56
Mougeotia sp.,,1,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,1.28,,0.1,,,,,,,,,,
Teilingia granulata,,,,,,,,,,,,,,,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankyra judayi,,,,,,,,,,,,,15,,101.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankyra lanceolata,,,,3,,,,,,,,,,4815,1369.418,1317.639,675.858,147.0855879,111.5821701,316.9948015,266.2756333,,,,,,,,,,,,,,,,,,,,,,
Botryococcus braunii,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carteria multifilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.34,74.34,21.24,8.496,5.31,,3.54,0.6
Carteria sp.,,,,,,,,,,,,,,,,,,,,,,,,5.327048413,,,,,,,,,,,13.275,127.44,389.4,,,,,,
Chlamydocapsa sp.,,,,,,,,,,,,,,,,,,,,,,,,7.102731217,,,,,,,,,,,,,,,,,,,
Chlamydomonas sp.,101,,,257,,,,,,,,,,,4.058,28.397,,,5.071916824,12.67979206,12.67979206,422.6597353,295.8618147,205.2918715,50.71916824,20.2876673,12.67979206,25.35958412,,25.35958412,,,,3.54,63.72,244.26,99.12,63.72,15.93,53.1,,,49.56
Chlorella sp.,,,888,21,,,,,,,,,,,,,,,,,,,,,,770.9313573,,60.86300189,309.3869263,17.75170888,14.868,,,,,,,,,84.96,,672.6,70.8
Chlorococcales,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelastrum astroideum,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coenochloris sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4383365,,,,,,,,,,,,,,,
Desmodesmus abundans,,,,,,,,,,,,,,45,16.1,1.894,,,,,,,,,,,,,,1.267979206,,,,,,,,,,,,,
Desmodesmus aculeolatus,,,,,,,,,,,,,,,5.682,5.682,45.436,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmodesmus spinosus,,,,,,,,135,7,101,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geminella interrupta,,,,,,,,,,,,,,,,,,,4.971911852,,,,23.67577072,,,,,,,,,,,,,,,,,,,,
Geminella sp.,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloeotila sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,
Hariotina polychorda,,,,,,,,,,,,,,,,,,,,,,,,92.33550582,54.45427266,121.7260038,152.1575047,76.07875236,24.09160491,19.01968809,,,,,,,,,,,,,
Hariotina reticulata,,,,,,,85,36,114,78,135,228,87,13,3.315,,9.944,15.27087212,22.37360333,,42.6163873,485.3532998,432.0828157,,,81.15066919,,,,,,,,,,,,,,,,,
Kirchneriella bibraiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62,,,,,,,,,,
Lemmermannia tetrapedia,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micractinium pusillum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.41,,,,,,,,
Monoraphidium circinale,,,,,20,,,,,,,3,,,,,,5.071916824,,,,,,,,,,,,,,,,,,,,,,,,,
Monoraphidium contortum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.912,,,,,,,,,,,
Monoraphidium nanum,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoraphidium sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,26.55,,,,,,,,
Nephrochlamys subsolitaria,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephrocytium agardhianum,,,,,48,42,,,,,,,,,,,,64.63485407,81.68140899,3.551365608,46.16775291,71.02731217,47.35154145,,,,,35.50341777,2.535958412,,,,,,,,,,,,,,
Nephrocytium limneticum,,,,,,,,,,,,,,,,,,22.72873989,22.72873989,21.30819365,44.39207011,,,,,,,,,,,,,,,,,,,,,,
Oedogonium sp.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oocystis apicurvata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.55,261.96,,,
Oocystis lacustris,,,,,,,,180,203,4,269,388,,,24.345,,,,,,,,,,,,,157.2294216,2.535958412,6.33989603,1.062,,26.55,10.62,15.93,47.79,21.24,,9.558,,31.86,,
Oocystis marssonii,,18,,1,,,7,,,,32,41,18,32,16.23,,,,,,,,,,,,,50.71916824,1.267979206,2.535958412,,16.992,,,,,,,,4587.84,5278.14,6478.2,173.46
Oocystis parva,,,,,,,,,,,,,,,,,,,,,,,,,50.71916824,,,,,,,26.904,,,,,,21.24,32.922,,,297.36,63.72
Oocystis solitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.248,,,,,,,,
Oocystis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.4,169.92,283.2
Pandorina morum,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum boryanum,,,,,6,3,47,2,5,2,6,6,4,3,3.315,3.92,7.24,1.84,2.72,0.3,0.2,2.333333333,177.5682804,,,4.26163873,,,0.8,1.93,9.44,31.86,21.24,53.1,,,,,101.952,,6.4,14.4,13.4
Pediastrum duplex,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,
Pediastrum integrum,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum sp.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktosphaeria gelatinosa,,,,,,,,,,,,,,,,,,,,,,,,,,855.4633043,1559.614423,1176.684703,253.5958412,29.16352174,597.906,6.372,55.755,134.52,13.275,53.1,177,7.08,8.496,,21.24,,
Scenedesmus aculeolatus,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,4.248,21.24,14.16,,,,,,42.48,,21.24,
Scenedesmus ecornis,,,,,,8,1420,1014,1037,1141,15,13,,9,0.947,,,,,7.102731217,76.07875236,,,144.9119093,126.7979206,71.00683554,215.556465,172.445172,5.071916824,1.267979206,0.32,,,,,10.62,7.08,10.62,,,,,
Scenedesmus linearis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.248,21.24,,,,,31.86,80.712,79.65,42.48,,56.64
Scenedesmus obtusus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.071916824,,,,,,,,,,,,,,
Scenedesmus quadricauda,,,,,10,,101,,,,,,,,,,,,20.2876673,,,,,,,,,,,,,,,,,,,,,,,203.55,148.68
Scenedesmus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.535958412,,,,14.16,21.24,,42.48,,,,84.96,,
Schroederia ecsediensis,,,,,,,,,,,,,36,77,44.633,,,,,,25.35958412,,42.26597353,1.775682804,,,,,1.267979206,7.607875236,1.062,,,,,,,,,,,,
Schroederia sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.558,,,,,,,,,,,,
Sphaerocystis schroeteri,,,,,2120,2272,12375,,,,114,84,290,2861,4473.431,1033.665,528.192,172.445172,136.9417543,202.876673,240.9160491,42.26597353,42.26597353,,,,,,,,4.248,5896.224,10683.72,2184.18,5214.42,302.67,481.44,325.68,280.368,679.68,58.41,226.56,92.04
Tetrabaena socialis,469,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetradesmus dimorphus,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetradesmus lagerheimii,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraedron minimum,,,,21,,4,7963,2277,1736,2079,34,47,108,135,219.107,238.538,340.769,2069.342064,1552.006548,8368.66276,7328.919811,12679.79206,6339.89603,1386.323932,431.1129301,1650.063607,4235.050548,1146.253202,150.7083856,145.8176087,52.038,82.128,403.56,84.96,10.624,5.31,10.62,35.4,0.531,,15.93,14.16,24
Tetraedron regulare,,,,,,,,,,,,,,,,,,,,,,,84.53194707,12.07599244,,,,,,,,,,,,,,,,,,,
Tetraselmis cordiformis,,,,,,,,,,,,,,,,,,,0.355136561,1.775682804,14.20546243,,,,1.183788536,,,,,,,,,,15.93,15.93,,,,,,,
Ulothrix sp.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1.03,0.48,,,,,,,,,,,,
Volvocales,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptomonas erosa,,,,3,,,,,,,,,,,,11.359,17.038,,,25.35958412,25.35958412,,126.7979206,24.15198488,12.67979206,,,6.392458095,6.33989603,3.906502169,28.674,17.523,,17.7,25.232,58.41,49.56,109.74,35.046,116.82,58.41,8.85,11.2
Cryptomonas marssonii,,,,,51,8,,45,,,254,294,443,41,4.058,5.679,11.359,10.14383365,20.2876673,63.3989603,25.35958412,,,12.07599244,,15.21575047,12.67979206,,2.535958412,13.94777127,29.736,87.792,13.275,24.78,9.296,,35.4,53.1,114.696,21.24,10.62,5.31,92.04
Cryptomonas obovata,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptomonas ovata,,,,12,41,20,51,,45,,8,,4,,,,11.359,15.21575047,,25.35958412,63.3989603,84.53194707,,36.22797732,12.67979206,,,4.26163873,,2.485955926,1.062,0.531,,1.77,2.656,,14.16,,2.124,,,,0.2
Cryptomonas sp.,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plagioselmis nannoplanctica,,,,,477,,,,,,,,,,,,,,,,,42.26597353,,108.6839319,38.03937618,55.79108507,,30.43150095,40.57533459,,5.31,,,28.32,79.65,53.1,106.2,116.82,8.496,,,,219.48
Chromulina sp.,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinobryon bavaricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.367,,,,,,,,,,,
Dinobryon divergens,,29,13,,2010,843,,,,,,,,,,,,53.27048413,51.84993788,248.5955926,649.8999063,5.918942681,5.918942681,,,,,,,1.420546243,21.2,,2.655,205.32,9.296,,,,,15.93,,,
Mallomonas sp.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.24,1.593,2.655,,,31.86,56.64,,,10.62,,,
Ochromonas sp.,,,,,,,,,,,,,,,,,,,,,,507.1916824,1606.106994,,,60.86300189,12.67979206,,2.535958412,34.23543856,2.124,,,,,,,,,,,,
Ceratium hirundinella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Gymnodinium cnecoides,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnodinium hiemale,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnodinium lantzschii,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.071916824,2.535958412,,,,,,,,,,,,,,
Gymnodinium mitratum,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnodinium sp.,,4,,,,,,7,11,,,,,,,28.397,,,0.710273122,14.20546243,10.65409683,17.75682804,29.5947134,96.60793951,88.75854442,,,,,,,,,,,10.62,21.24,10.62,1.062,,,,
Gymnodinium uberrimum,1,,,9,,,,,,,1,1,,,,,,,,,,,0.333333333,0.3,0.4,2.8,1,0.2,0.11,,0.08,,,,,,,,,,,,
Peridiniopsis elpatiewskyi,,,,,,,11,4,4,2,,,,,,,4.735,,,,25.35958412,42.26597353,5.918942681,,1.183788536,6.392458095,,,,,,,,,,,,,,,,,
Peridinium sp.,,,,,,,,,,,,,,,,,,0.355136561,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.2
Peridinium umbonatum,,,,3,,,4,4,4,,,,,,,3.315,4.262,4.26163873,2.485955926,7.102731217,7.102731217,41.43259876,5.918942681,,1.183788536,11.36436995,0.1,1.420546243,,,,,,,,,,7.08,1.593,15.93,,,
Tyrannodinium edax,,14,13,1,,,,,7,2,,1,1,2,8.115,1.421,3.788,1.420546243,2.841092487,1.775682804,1.775682804,5.918942681,,40.8407045,20.12440511,6.392458095,0.2,,,,,,,,,,,,,,,,
Aphanizomenon yezoense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.11,,
Aphanocapsa delicatissima,,,,,,,,,,,,,,,,,,,,,,81995.98866,48605.86957,,,,,,,3696.159386,,,,,,,,,,,,,
Aphanocapsa holsatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.8465879,,,,,,,,,,,,,
Aphanocapsa nubila,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039.742949,,,,,,,,,,,,,,,
Aphanocapsa sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.432,,,,,,,,,,,,5040.96
Aphanothece sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.85,,,
Chroococcales,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chroococcus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,,,,,,,,
Merismopedia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32,,,,,,
Oscillatoria sp.,,,,,,,,,,,,,,,,,,,,,,,,,118.3788536,,,,,,,,,,,,,,,,,,106.2
Planktolyngbya limnetica,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,57.05906427,47.79,,,,,,,,,,,,
Planktothrix isothrix,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktothrix sp.,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudanabaena catenata,,,609,10,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudanabaena limnetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.1,,,318.6,982.35,,,35
Chrysochromulina parva,,,25,,,,1319,6222,6515,6199,561,522,751,117,8.115,6764.26,14332.733,309.3869263,547.767017,786.1471078,1394.777127,9805.70586,11411.81285,6153.925747,5680.546843,233.3081739,38.03937618,65.93491871,111.5821701,197.8047561,4.248,,21.24,,,,14.16,,269.748,,,,
Ellipsoidion sp.,,,,10,,,,,,,,,,,,,,,,,,,,,,15.21575047,,,,,,,,,,,,,,,,,
Nephrodiella lunaris,,,,3,,,51,,4,51,,3,,,,,5.679,,,,,126.7979206,84.53194707,,12.67979206,187.6609225,367.7139698,1065.102533,1075.246367,81.15066919,3.186,,,,,,,,,,,,
Pseudopedinella gallica,,129,,19,30,,,,,,,,,,4.058,51.115,17.038,20.2876673,10.14383365,,,,,,,,,15.21575047,,5.071916824,1.062,,,,,,,,,,,,
Euglena sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,,,,,,,,,,
Phacus curvicauda,,,,,,,,,,,,,,,,,,0.355136561,,,,,,,,,,,,,,,,,,,,,,,,,
Trachelomonas volvocinopsis,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmarella sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62,,,,,,,,,
Katablepharis ovalis,,111,13,5,,8,25,248,,13,28,33,52,41,8.115,90.872,,30.43150095,50.71916824,101.4383365,88.75854442,84.53194707,84.53194707,108.6839319,355.0341777,15.21575047,,15.21575047,12.67979206,7.607875236,6.372,26.904,31.86,17.7,31.86,10.62,134.52,,5.31,,53.1,7.08,
Salpingoeca sp.,,,,,,,,,,,,,,,4.058,,,,,,,,,,,,,25.35958412,20.2876673,,,,,,,,,,,,,,
