"","Authors","Article.Title","Source.Title","Publication.Year","Volume","Issue","Start.Page","End.Page","DOI","body.size","Abstract"
"21","Titocci, J; Fink, P","Food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod Eudiaptomus sp.","JOURNAL OF PLANKTON RESEARCH",2022,44,"4",528,541,"10.1093/plankt/fbac030","D","Supplied five different phytoplankton diets to the freshwater calanoid copepod Eudiaptomus sp. to investigate their dietary quality for the copepods' fitness traits over the copepod's entire life cycle"
"22","Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z","Coping with antagonistic predation risks: Predator-dependent unique responses are dominant in Ceriodaphnia cornuta","MOLECULAR ECOLOGY",2022,31,"14",3951,3962,"10.1111/mec.16550","D","Based on antagonistic predation pressure froman invertebrate (Chaoborus larvae) and a vertebrate (Rhodeus ocellatus) predator, westudied the responses of multiple traits and transcriptomes of the freshwater crus-tacean Ceriodaphnia cornuta under multiple predation risks."
"23","Krzton, W; Kosiba, J; Wilk-Wozniak, E","Features that matter: studying how phytoplankton drives zooplankton community functional traits","HYDROBIOLOGIA",2022,849,"12",2647,2662,"10.1007/s10750-022-04863-3",NA,NA
"24","Yilcin, D; Yalcin, G; Jovanovic, B; Boukal, DS; Vebrova, L; Riha, D; Stankovic, J; Zdrakovic, DS; Metin, M; Akyurek, YN; Balkanl, D; Filiz, N; Milosevic, D; Feuchtmayr, H; Richardson, JA; Beklioglu, M","Effects of a microplastic mixture differ across trophic levels and taxa in a freshwater food web: In situ mesocosm experiment","SCIENCE OF THE TOTAL ENVIRONMENT",2022,836,"",NA,NA,"10.1016/j.scitotenv.2022.155407",NA,NA
"25","Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B","Direct effects of elevated dissolved CO2 can alter the life history of freshwater zooplankton","SCIENTIFIC REPORTS",2022,12,"1",NA,NA,"10.1038/s41598-022-10094-2","D","The extent to which freshwater zooplankton may be directly affectedby dissolved CO2 levels (pCO2) "
"26","Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG","Range expansion of Kellicottia bostoniensis (Rousselet, 1908) (Rotifera) throughout a biogeographic boundary between the Brazilian savanna and the Amazon","AQUATIC SCIENCES",2022,84,"2",NA,NA,"10.1007/s00027-022-00861-8","D","surveying Kellicottia bostoniensis in Araguaia River"
"27","Chipps, SR; Bennett, DH; Deslauriers, D; Rudstam, LG","The cost of avoiding predators: a bioenergetic analysis of diel vertical migration by the opossum shrimp Mysis diluviana","HYDROBIOLOGIA",2022,849,"8",1871,1884,"10.1007/s10750-022-04832-w",NA,NA
"28","Pan, Y; Long, YY; Hui, J; Xiao, WY; Yin, J; Li, Y; Liu, D; Tian, QD; Chen, LQ","Microplastics can affect the trophic cascade strength and stability of plankton ecosystems via behavior-mediated indirect interactions","JOURNAL OF HAZARDOUS MATERIALS",2022,430,"",NA,NA,"10.1016/j.jhazmat.2022.128415",NA,NA
"29","Kim, K; Taylor, DJ","Thermal phenotypic plasticity of the second limb in Daphnia","JOURNAL OF PLANKTON RESEARCH",2022,44,"2",259,267,"10.1093/plankt/fbac003","D","Thermal phenotypic plasticity of the second limb in Daphnia"
"30","Dao, TS; Nguyen, VT; Baduel, C; Bui, MH; Tran, VT; Pham, TL; Bui, BT; Dinh, KV","Toxicity of di-2-ethylhexyl phthalate and tris (2-butoxyethyl) phosphate to a tropical micro-crustacean (Ceriodaphnia cornuta) is higher in Mekong River water than in standard laboratory medium","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",2022,29,"26",39777,39789,"10.1007/s11356-022-18993-7","D","Effect of di(2-ethylhexyl) phthalate (DEHP) and tris (2-butoxyethyl) phosphate (TBOEP) on C.cornuta"
"31","Kakouei, K; Kraemer, BM; Adrian, R","Variation in the predictability of lake plankton metric types","LIMNOLOGY AND OCEANOGRAPHY",2022,67,"3",608,620,"10.1002/lno.12021",NA,NA
"32","Mohanty, TR; Tiwari, NK; Kumari, S; Ray, A; Manna, RK; Bayen, S; Roy, S; Das Gupta, S; Ramteke, MH; Swain, HS; Bhor, M; Das, BK","Variation of Aulacoseira granulata as an eco-pollution indicator in subtropical large river Ganga in India: a multivariate analytical approach","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",2022,29,"25",37498,37512,"10.1007/s11356-021-18096-9","D","assess major environmental factors which contribute to A. granulata bloom in the riverine system"
"33","Bomfim, FF; Melao, MGG; Gebara, RC; Lansac-Tôha, FA","Warming alters the metabolic rates and life-history parameters of Ceriodaphnia silvestrii (Cladocera)","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS",2022,94,"2",NA,NA,"10.1590/0001-3765202220200604",NA,NA
"34","Schenone, L; Modenutti, B; Martyniuk, N; Navarro, MB; Laspoumaderes, C; Balseiro, E","Modelling key variables for understanding the effects of grazing and nutrient recycling by zooplankton on the freshwater microbial loop","FRESHWATER BIOLOGY",2021,66,"12",2322,2337,"10.1111/fwb.13835",NA,NA
"35","Govaert, L; De Meester, L; Rousseaux, S; Declerck, SAJ; Pantel, JH","Measuring the contribution of evolution to community trait structure in freshwater zooplankton","OIKOS",2021,130,"10",1773,1787,"10.1111/oik.07885","D","when evolutionary processes are likely to play an important role in structuring community features"
"36","Hamasaki, K; Kondo, S; Dan, S","Larval Performance of Amphidromous and Landlocked Atyid Shrimp Species in the Genus Paratya Under Different Temperature and Salinity Conditions","ZOOLOGICAL STUDIES",2021,60,"",NA,NA,"10.6620/ZS.2021.60-45",NA,NA
"37","Caputo, L; Fuentes, R; Woelfl, S; Castañeda, LE; Cárdenas, L","Phenotypic plasticity of clonal populations of the freshwater jellyfish Craspedacusta sowerbii (Lankester, 1880) in Southern Hemisphere lakes (Chile) and the potential role of the zooplankton diet","AUSTRAL ECOLOGY",2021,46,"8",1192,1197,"10.1111/aec.13087","D","report synchronous blooms of clonal populations of C. sowerbii in two nordpatagonian lakes"
"38","Flöder, S; Yong, J; Klauschies, T; Gaedke, U; Poprick, T; Brinkhoff, T; Moorthi, S","Intraspecific trait variation alters the outcome of competition in freshwater ciliates","ECOLOGY AND EVOLUTION",2021,11,"15",10225,10243,"10.1002/ece3.7828","D","we investigate how intraspecific trait variation affects the competition between the freshwater ciliates Euplotes octocarinatus and Coleps hirtus in a nitrogen-limited chemostat system"
"39","Bomfim, FD; Melao, MDG; Gebara, RC; Lansac-Tôha, FA","Warming and predator drive functional responses of three subtropical cladocerans","AQUATIC ECOLOGY",2021,55,"3",903,914,"10.1007/s10452-021-09870-5","D","how warming and predator affect the functional responses of three subtropical cladocerans"
"40","Münzner, K; Gollnisch, R; Rengefors, K; Koreiviene, J; Lindström, ES","High Iron Requirements for Growth in the Nuisance Alga Gonyostomum semen (Raphidophyceae)","JOURNAL OF PHYCOLOGY",2021,57,"4",1309,1322,"10.1111/jpy.13170","D",""
"41","Fettweis, A; Bergen, B; Hansul, S; De Schamphelaere, K; Smolders, E","Correlated Ni, Cu, and Zn Sensitivities of 8 Freshwater Algal Species and Consequences for Low-Level Metal Mixture Effects","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY",2021,40,"7",2015,2025,"10.1002/etc.5034","D","explore the correlations of metal sensitivities among species and if these sensitivities or metal mixture interactions are related to growth or morphological traits"
"42","Choi, JY; Kim, SK","The Use of Winter Water Temperature and Food Composition by the Copepod Cyclops vicinus (Uljanin, 1875) to Provide a Temporal Refuge from Fish Predation","BIOLOGY-BASEL",2021,10,"5",NA,NA,"10.3390/biology10050393","D","describe a new defense strategy for Cyclops vicinus, which is vulnerable to fish predation"
"43","Broccoli, A; Anselmi, S; Cavallo, A; Ferrari, V; Prevedelli, D; Pastorino, P; Renzi, M","Ecotoxicological effects of new generation pollutants (nanoparticles, amoxicillin and white musk) on freshwater and marine phytoplankton species","CHEMOSPHERE",2021,279,"",NA,NA,"10.1016/j.chemosphere.2021.130623","D","Effects of new generation pollutants on five phytoplankton species"
"44","Tseng, M; Di Filippo, CM; Fung, M; Kim, JO; Forster, IP; Zhou, YL","Cascading effects of algal warming in a freshwater community","FUNCTIONAL ECOLOGY",2021,35,"4",920,929,"10.1111/1365-2435.13752","D","How resource quality is also affected by warming, and changes in resource quality can have meaningful effects on the productivity of higher trophic levels"
"45","Borics, G; Lerf, V; T-Krasznai, E; Stankovic, I; Pickó, L; Béres, V; Várbíró, G","Biovolume and surface area calculations for microalgae, using realistic 3D models","SCIENCE OF THE TOTAL ENVIRONMENT",2021,773,"",NA,NA,"10.1016/j.scitotenv.2021.145538",NA,NA
"46","Kazama, T; Urabe, J; Yamamichi, M; Tokita, K; Yin, XW; Katano, I; Doi, H; Yoshida, T; Hairston, NG","A unified framework for herbivore-to-producer biomass ratio reveals the relative influence of four ecological factors","COMMUNICATIONS BIOLOGY",2021,4,"1",NA,NA,"10.1038/s42003-020-01587-9","D","Effects of production rate, defense traits and nutrient contents of producers, and predation by carnivores on structure of a community"
"47","Amaral, DC; Dunck, B; Braghin, LSM; Fernandes, UL; Bomfim, FF; Bonecker, CC; Lansac-Tôha, FA","Predation by an omnivorous fish and food availability alter zooplankton functional diversity: a microcosm approach","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS",2021,93,"",NA,NA,"10.1590/0001-3765202120200778","D",""
"48","Chaktraborty, S; Karmaker, D; Rahman, MA; Bali, SC; Das, SK; Hossen, R","Impacts of pH and salinity on community composition, growth and cell morphology of three freshwater phytoplankton","PLANT SCIENCE TODAY",2021,8,"3",655,661,"10.14719/pst.2021.8.3.1190","D","impacts of different pH (pH 5.90 to 9.10) and salinity (0.60 to 3.0 ppt) concentrations on freshwater phytoplankton Chlorella vulgaris, Euglena granulata and Scenedesmus quadricauda. "
"49","Macêdo, RL; Franco, ACS; Corrêa, RF; Costa, KD; Pereira, LG; de Oliveira, FDM; Klippel, G; Cordeiro, BD; Thiago, MGR; Rocha, MID; Huszar, VLM; dos Santos, LN; Branco, CWC","Spreading of the invasive dinoflagellate Ceratium furcoides (Levander) Langhans throughout the Paraiba do Sul ecoregion, South America, Brazil","LIMNETICA",2021,40,"2",233,246,"10.23818/limn.40.16","D","looks at the invasive  dinoflagellate Ceratium furcoides (Levander) in south america"
"50","Salmi, P; Mäki, A; Mikkonen, A; Puupponen, VM; Vuorio, K; Tiirola, M","Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton","BOREAL ENVIRONMENT RESEARCH",2021,26,"",17,27,"10.17011/jyx/dataset/66278","D","Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton"
"51","Lu, XT; Gao, YY; Weisse, T","Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature","JOURNAL OF EUKARYOTIC MICROBIOLOGY",2021,68,"1",NA,NA,"10.1111/jeu.12823","D","growth rate (numerical response, NR) and ingestion rate (functional response, FR) over a range of ecologically relevant temperatures for two cilliate species"
"52","Lines, T; Orr, P; Beardall, J","Elevated co2 has Differential Effects on Five Species of Microalgae from a Subtropical Freshwater Lake: Possible Implications for Phytoplankton Species Composition1","JOURNAL OF PHYCOLOGY",2021,57,"1",324,334,"10.1111/jpy.13104","D","nvestigated the effects of elevated CO2 (1,000 ppm) relative to current atmospheric CO2 partial pressures (400 ppm), on growth, cell size, carbon acquisition, and photophysiology of five freshwater phytoplankton species including a toxic cyanophyte, Raphidiopsis raciborskii, from Lake Wivenhoe, Australia"
"53","Hamasaki, K; Okada, M; Nishimoto, S; Dan, S","Larval Performance of Amphidromous and Landlocked Atyid Shrimp Species in the Genus Paratya under Different Feeding Conditions","ZOOLOGICAL STUDIES",2020,59,"",NA,NA,"10.6620/ZS.2020.59-70",NA,NA
"54","Braghin, LDM; Dias, JD; Simoes, NR; Bonecker, CC","Food availability, depth, and turbidity drive zooplankton functional diversity over time in a Neotropical floodplain","AQUATIC SCIENCES",2020,83,"1",NA,NA,"10.1007/s00027-020-00763-7",NA,NA
"55","Burfeid-Castellanos, AM; Kloster, M; Cambra, J; Beszteri, B","Both hydrology and physicochemistry influence diatom morphometry","DIATOM RESEARCH",2020,35,"4",315,326,"10.1080/0269249X.2020.1828175",NA,NA
"56","Gaskill, JA; Harris, TD; North, RL","Phytoplankton Community Response to Changes in Light: Can Glacial Rock Flour Be Used to Control Cyanobacterial Blooms?","FRONTIERS IN ENVIRONMENTAL SCIENCE",2020,8,"",NA,NA,"10.3389/fenvs.2020.540607",NA,NA
"57","Sha, YC; Tesson, SVM; Hansson, LA","Diverging responses to threats across generations in zooplankton","ECOLOGY",2020,101,"11",NA,NA,"10.1002/ecy.3145","D","xposed clones of a freshwater cladoceran, Daphnia magna, to threats from predation and ultraviolet radiation (UVR) during three consecutive parthenogenetic generations."
"58","Krzton, W; Kosiba, J","Variations in zooplankton functional groups density in freshwater ecosystems exposed to cyanobacterial blooms","SCIENCE OF THE TOTAL ENVIRONMENT",2020,730,"",NA,NA,"10.1016/j.scitotenv.2020.139044","LG",""
"59","Macedo, RL; Franco, ACS; Klippel, G; Oliveira, EF; Silva, LHS; dos Santos, LN; Branco, CWC","Small in size but rather pervasive: the spread of the North American rotifer Kellicottia bostoniensis (Rousselet, 1908) through Neotropical basins","BIOINVASIONS RECORDS",2020,9,"2",287,302,"10.3391/bir.2020.9.2.14",NA,NA
"60","Pinheiro-Silva, L; Gianuca, AT; Silveira, MH; Petrucio, MM","Grazing efficiency asymmetry drives zooplankton top-down control on phytoplankton in a subtropical lake dominated by non-toxic cyanobacteria","HYDROBIOLOGIA",2020,847,"10",2307,2320,"10.1007/s10750-020-04255-5","D",""
"61","Vezhnavets, VV; Litvinova, AG","REPRESENTATIVES OF THE GENUS EURYTEMORA GIESBRECHT, 1881 (CALANOIDA, TEMORIDAE) IN AQUATIC ECOSYSTEMS OF BELARUS","CRUSTACEANA",2020,93,"3-5",283,298,"10.1163/15685403-00004008","D","The main biological features of two species of the genus Eurytemora have been studied: the relict E. lacustris (Poppe, 1887) and the alien E. velox"
"62","Wentzky, VC; Tittel, J; Jäger, CG; Bruggeman, J; Rinke, K","Seasonal succession of functional traits in phytoplankton communities and their interaction with trophic state","JOURNAL OF ECOLOGY",2020,108,"4",1649,1663,"10.1111/1365-2745.13395",NA,NA
"63","Ritschar, S; Rabus, M; Laforsch, C","Predator-specific inducible morphological defenses of a water flea against two freshwater predators","JOURNAL OF MORPHOLOGY",2020,281,"6",653,661,"10.1002/jmor.21131","D","investigated whether a clone of the pond-dwelling species Daphnia similis responds to different predatory invertebrates (Triops cancriformis; Notonecta maculata) with the expression of predator-specific modifications of the same defensive traits"
"64","Cabezudo, MM; Ribeiro, KF; Schneck, F; Werner, VR; Lima, MS; Bohnenberger, JE; Crossetti, LO","Ecological factors shaping cyanobacterial assemblages in a coastal lake system","HYDROBIOLOGIA",2020,847,"10",2225,2239,"10.1007/s10750-020-04250-w",NA,NA
"65","Luimstra, VM; Verspagen, JMH; Xu, TS; Schuurmans, JM; Huisman, J","Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies","ECOLOGY",2020,101,"3",NA,NA,"10.1002/ecy.2951","D","Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies"
"66","Arunpandi, N; Jyothibabu, R; Jagadeesan, L; Albin, KJ; Savitha, KMM; Parthasarathi, S","Impact of salinity on the grazing rate of a cladocera (Latonopsis australis) in a large tropical estuarine system","ENVIRONMENTAL MONITORING AND ASSESSMENT",2020,192,"2",NA,NA,"10.1007/s10661-020-8068-x","D","Impact of salinity on the grazing rate of a cladocera"
"67","Hofmann, P; Chatzinotas, A; Harpole, WS; Dunker, S","Temperature and stoichiometric dependence of phytoplankton traits","ECOLOGY",2019,100,"12",NA,NA,"10.1002/ecy.2875","D","investigate variability of cellular traits in three prokaryotic and three eukaryotic freshwater phytoplankton species along gradients of temperature and nitrogen:phosphorus ratio (N:P) in laboratory microcosms."
"68","Barrow, JL; Beisner, BE; Giles, R; Giani, A; Domaizon, I; Gregory-Eaves, I","Macrophytes moderate the taxonomic and functional composition of phytoplankton assemblages during a nutrient loading experiment","FRESHWATER BIOLOGY",2019,64,"8",1369,1381,"10.1111/fwb.13311","D","how macrophyte abundance altered phytoplankton assemblages using experimental ponds"
"69","Colomer, J; Müller, MF; Barcelona, A; Serra, T","Mediated food and hydrodynamics on the ingestion of microplastics by Daphnia magna","ENVIRONMENTAL POLLUTION",2019,251,"",434,441,"10.1016/j.envpol.2019.05.034","D"," investigated the variability in the ingestion of MP to food ratios and the exposed time of MP to Daphnia magna in non-sheared and sheared conditions"
"70","Tseng, M; Bernhardt, JR; Chila, AE","Species interactions mediate thermal evolution","EVOLUTIONARY APPLICATIONS",2019,12,"7",1463,1474,"10.1111/eva.12805","D","how thermal evolution of Daphnia pulex to two selection temperatures (12 and 18°C) is mediated by rapid thermal evolution of its algal resource (Scenedesmus obliquus) or by the presence of the zooplankton predator Chaoborus americanu"
"71","Jordan, MP; Stewart, AR; Eagles-Smith, CA; Strecker, AL","Nutrients mediate the effects of temperature on methylmercury concentrations in freshwater zooplankton","SCIENCE OF THE TOTAL ENVIRONMENT",2019,667,"",601,612,"10.1016/j.scitotenv.2019.02.259","D","how warmer water temperatures and excess nutrients would alter zooplankton communities and phytoplankton concentrations"
"72","Josué, IIP; Cardoso, SJ; Miranda, M; Mucci, M; Ger, KA; Roland, F; Marinho, MM","Cyanobacteria dominance drives zooplankton functional dispersion","HYDROBIOLOGIA",2019,831,"1",149,161,"10.1007/s10750-018-3710-0","D","assessed the effects of eutrophication and cyanobacteria blooms on zooplankton functional diversity in a tropical hypereutrophic lake."
"73","Raveh, S; Langen, K; Bakker, TCM; Josephs, C; Frommen, JG","Oddity, predation risk and social decisions in aquatic invertebrates","ETHOLOGY",2019,125,"2",106,113,"10.1111/eth.12835","D","examined the oddity effect and swarming preferences in two differently sized species of freshwater planktonic crustaceans"
"74","Wilkinson, AA; Hondzo, M; Guala, M","Investigating Abiotic Drivers for Vertical and Temporal Heterogeneities of Cyanobacteria Concentrations in Lakes Using a Seasonal In Situ Monitoring Station","WATER RESOURCES RESEARCH",2019,55,"2",954,972,"10.1029/2018WR024228","D","The abiotic drivers for toxic HAB are investigated using a research station deployed in a eutrophic lake in Minnesota in 2016."
"75","Beaver, JR; Arp, CD; Tausz, CE; Jones, BM; Whitman, MS; Renicker, TR; Samples, EE; Ordosch, DM; Scotese, KC","Potential shifts in zooplankton community structure in response to changing ice regimes and hydrologic connectivity","ARCTIC ANTARCTIC AND ALPINE RESEARCH",2019,51,"1",327,345,"10.1080/15230430.2019.1643210",NA,NA
"76","Mironova, E; Gopko, M; Pasternak, A; Mikheev, V; Taskinen, J","Trematode cercariae as prey for zooplankton: effect on fitness traits of predators","PARASITOLOGY",2019,146,"1",105,111,"10.1017/S0031182018000963","D",""
"77","Mandal, S; Wilkins, RA; Shurin, JB","Compensatory grazing by Daphnia generates a trade-off between top-down and bottom-up effects across phytoplankton taxa","ECOSPHERE",2018,9,"12",NA,NA,"10.1002/ecs2.2537","D","compared functional and structural traits of 14 species of freshwater phytoplankton to test the influence of life history on grazing and growth rate of Daphnia consumers"
"78","Valiñas, MS; Villafañe, VE; Cabrerizo, MJ; Romero, CD; Helbling, EW","Global change effects on plankton community structure and trophic interactions in a Patagonian freshwater eutrophic system","HYDROBIOLOGIA",2018,816,"1",61,77,"10.1007/s10750-017-3272-6",NA,NA
"79","Mehner, T; Lischke, B; Scharnweber, K; Attermeyer, K; Brothers, S; Gaedke, U; Hilt, S; Brucet, S","Empirical correspondence between trophic transfer efficiency in freshwater food webs and the slope of their size spectra","ECOLOGY",2018,99,"6",1463,1472,"10.1002/ecy.2347",NA,NA
"80","Bestion, E; García-Carreras, B; Schaum, CE; Pawar, S; Yvon-Durocher, G","Metabolic traits predict the effects of warming on phytoplankton competition","ECOLOGY LETTERS",2018,21,"5",655,664,"10.1111/ele.12932","D","evelop a theoretical model that links interspecific differences in the temperature dependence of resource acquisition and growth to the outcome of pairwise competition in phytoplankton"
"81","Aljaibachi, R; Callaghan, A","Impact of polystyrene microplastics on Daphnia magna mortality and reproduction in relation to food availability","PEERJ",2018,6,"",NA,NA,"10.7717/peerj.4601",NA,NA
"82","Jones, NT; Gilbert, B","Geographic signatures in species turnover: decoupling colonization and extinction across a latitudinal gradient","OIKOS",2018,127,"4",507,517,"10.1111/oik.04590","D","how zooplankton communities (copepods and cladocerans) have changed over a 25–75 year time span by assessing colonization and extinction rates from lakes across an 1800 km latitudinal gradient, and further tested whether species traits predict rates of community change over time"
"83","Wolf, R; Heuschele, J","Water Browning Influences the Behavioral Effects of Ultraviolet Radiation on Zooplankton","FRONTIERS IN ECOLOGY AND EVOLUTION",2018,6,"",NA,NA,"10.3389/fevo.2018.00026","D","effects of DOM and UV on exploration behavior and other motility patterns"
"84","Kruk, C; Segura, AM; Nogueira, L; Alcántara, I; Calliari, D; de la Escalera, GM; Carballo, C; Cabrera, C; Sarthou, F; Scavone, P; Piccini, C","A multilevel trait-based approach to the ecological performance of Microcystis aeruginosa complex from headwaters to the ocean","HARMFUL ALGAE",2017,70,"",23,36,"10.1016/j.hal.2017.10.004","D","patterns at multiple levels of organization irrespective of taxonomic identity (i.e. a trait-based approach) were analyzed"
