Taxa,27/03/2019,30/04/2019,14/05/2019,26/06/2019,08/07/2019,29/08/2019 (8m),29/08/2019 (I),17/09/2019,21/10/2019,19/11/2019,15/12/2019,21/01/2020,12/02/2020,17/03/2020,20/04/2020,13/05/2020,23/06/2020,06/07/2020,05/08/2020,16/09/2020,22/10/2020,11/11/2020
Chlorella sp.,,13.525,290.790,38.039,,11.412,1.268,187.661,5.072,,,,,,,,,,,,19.116,14.868
Desmodesmus abundans,,,,,,,,,5.072,15.216,,,,,,,,,,,,
Kirchneriella bibraiana,,,,,,,,,,,,,,,0.000,,,,,,,
Kirchneriella dianae,,,,,,,,,,,,,,,,,,,,,,4.248
Kirchneriella irregularis,,,,,,,,,,,,,,,,,,,,,14.868,2.124
Monoraphidium circinale,,,,,,,,,,,,,,,,,,,,1762.920,,
Monoraphidium contortum,,,,,,,,,,,,3.186,,,,,,,,,,
Monoraphidium komarkovae,,3.381,,,,,,,,,,,,,,,,,,,,
Monoraphidium minutum,,,,,,,,,1.268,,,,,,,,,,,,,
Oocystis marssonii,,,,1.268,,,,,1.268,,1.268,,,,,,18.408,,,,,
Oocystis parva,,,,,,1.268,,,,,,,,,4.956,1.062,84.252,2.832,,,,10.620
Oocystis solitaria,,,,,,,,,,,,,,,,1.062,,,,,,
Pediastrum boryanum,,,,,,,0.080,0.200,,,,,,,,,,,,,,
Pediastrum duplex,,,,,11.364,,,,,,,,,,,,,,,,,
Planktosphaeria gelatinosa,,,,,198.975,,,,,,,,,,,,,,,,,
Polytoma cordatum,,,,,,,,,,,1.268,,,,,,,,,,,
Polytoma sp.,,,,,,,,,,,,9.558,,,,,,,,,,
Scenedesmus aculeolatus,,,,,,,,,,,,,,,,,,,,,,0.080
Scenedesmus armatus,,,,,,,,,,,,,,,,,,,,,0.320,
Scenedesmus ecornis,,,,,,7.608,7.608,5.072,,,,,,,,5.664,0.160,,,,,
Scenedesmus ellipticus,,,,,,,,,,,,,,,,,,,,,,0.480
Scenedesmus linearis,,,,,,,,,,,,,,,,,,2.832,4.248,15.930,0.800,
Sphaerellopsis aulata,316.149,,,,,,,,,,,,,,,,,,,,,
Sphaerocystis schroeteri,,,,,,,,,,,,,,52.038,,,,,0.600,58.410,,0.960
Stichococcus sp.,,,,,,,1.268,1.268,,,,,,,,,,,,,,
Tetraedron minimum,,,,0.355,5.072,1.268,1.268,24.092,5.072,,,,,,,,1.416,0.080,0.040,,4.248,44.604
Tetraedron regulare,,,,,,,,,,,,,,,,1.416,0.708,,,,,
Tetraselmis cordiformis,,,,,,,,,,,,,,,,,,,,,,2.124
Tetraselmis sp.,,,,,,,,,1.268,,,,,,,,,,,,,
Treubaria planctonica,,,,,,,,,,,13.948,,,,,,,,,,,
Cryptomonas erosa,,,,,,,,1.268,,,,,,,1.064,2.832,,0.080,0.020,,12.744,6.372
Cryptomonas marssonii,,,,,,,,,,,,,,3.186,7.182,29.028,,,0.040,31.860,67.968,50.976
Plagioselmis nannoplanctica,,,,,1.268,57.059,35.503,35.503,6.340,8.876,25.360,293.112,248.508,28.674,,13.452,,3.540,80.712,122.130,144.432,195.408
Bitrichia chodatii,,,,,,35.514,4.972,6.748,0.355,1.065,1.268,25.488,78.588,76.464,,,126.732,123.192,106.200,69.030,,
Chromulina sp.,,,,,11.412,24.092,12.680,,,,,,,,,,,,,,,
Chrysolykos planctonicus,,,,1.268,5.072,,2.536,22.824,,,,,,,,,,,,,,
Dinobryon bavaricum,,,,,,,,,,,13.948,50.976,14.868,,,,,,,,,
Dinobryon divergens,,249.715,413.218,1.268,,1.776,1.421,,1.268,0.710,,,,0.708,2.832,1.416,,4.248,254.880,153.990,,1.080
Lagynion sp.,,10.144,,,,,,,,,,,,,,,,,,,,
Mallomonas acaroides,,,,,,,,,3.804,,,,,,,,,,,,,
Mallomonas akrokomos,,,,,,,,,,,,,,1.062,,,,,,,,
Mallomonas helvetica,,,,,,,,,,,,,,1.770,,,,,,,,
Mallomonas sp.,,,6.763,,,2.536,6.340,5.072,1.268,2.536,3.907,6.372,8.496,,,21.240,,8.496,42.480,,2.124,6.372
Ochromonas sp.,,,,,114.118,21.556,43.111,2.536,32.967,31.699,105.242,31.860,23.364,3.540,1.416,,,,,,,
Pseudokephyrion hypermaculatum,,,,,,,,,1.268,5.072,,,,,,,,,,,,
Amphidinium elenkinii,,,20.288,5.072,3.804,3.804,7.608,5.072,,,2.486,0.240,,,,,,,,,,
Ceratium hirundinella,,,,,,,,,,,,,,,0.020,,0.320,1.160,,,,
Gymnodinium cnecoides,,,,1.776,22.729,3.551,2.486,5.327,,,,,,,,,,,,,,
Gymnodinium hiemale,,,,1.268,,,,,,,,,,,,,,,,,,
Gymnodinium lantzschii,,37.194,27.050,,1.268,2.536,2.536,10.144,3.804,,,,,,,,,,,,,
Gymnodinium sp.,,,,,,,,,,,,,,,,,,3.540,,,,
Gymnodinium uberrimum,,,,,,,0.020,0.030,0.365,,,,,,,,,,,,,
Peridiniopsis elpatiewskyi,,,,1.598,1.776,0.355,1.421,2.131,,,,,,,,,,,,,,
Peridinium cinctum,,,,,0.010,,,,,,,,,,,,,,,,,
Peridinium sp.,,,,,,,,,,,,,,0.708,0.020,,,,0.040,5.310,4.248,2.124
Peridinium umbonatum,,0.474,1.421,,,0.355,0.710,1.421,1.421,1.421,,,,,,,,,,,,
Tyrannodinium edax,,3.381,7.576,0.355,3.907,4.972,1.776,1.421,0.947,1.065,,,,,,,,,,,,
Anabaena minderi,,,,,,,1.060,2.280,11.128,,,,,,,,,,3.640,,,
Aphanizomenon sp.,,,,,,,,,,,,,,,,,,,,281.430,,
Aphanocapsa sp.,,,,,,,,,,,,,,,,16.284,60.888,48.852,,,,
Aphanothece sp.,,,,,,,,,,,,,,,,,,,1.620,,,
Chroococcus sp.,,,,,,,,,6.340,,,12.744,,,,,4.248,1.416,,,0.480,29.736
Cianobacteria cocoide,,,,,,,,,,,,5616.918,,,,,,,,,,
Leptolyngbya sp.,,,,,,,,,,,1.425,,,,,,,,,,,
Limnothrix redekei,,,,,,71.027,,,,,,,,,,,,,,,,
Oscillatoria sp.,,,,,,,,,,,,,,,,,,,,,9.000,
Planktolyngbya limnetica,,,,,,,,,27.582,,,,,,,,,,,,,
Pseudanabaena limnetica,,,,,,,,30.432,,31.699,,12.744,,,,,,70.800,208.152,292.050,11.480,318.600
Synechocystis aquatilis,,81.151,,,2.536,,,,,,,,,,,,,,,,,
Chrysochromulina parva,0.845,16.906,,,1.268,27.896,29.164,,45.647,107.778,371.941,168.858,,41.418,9.912,,3.540,,,,,
Ellipsoidion pachydermum,,91.295,,,,,,,,,,,,,,,,,,,,
Gloeobotrys sp.,,,84.532,,,,,,,,,,,,,,,,,,,
Pseudopedinella gallica,,114.963,33.813,115.386,181.419,176.249,126.798,59.595,88.759,130.602,95.098,,,,,,,,,,,
Desmarella sp.,,,,,,,,,,1.268,544.386,50.976,2.124,15.930,,,,,,,,
Katablepharis ovalis,,3.381,98.057,3.804,15.216,44.379,29.164,,74.811,34.235,36.771,76.464,174.168,3.186,7.080,4.248,7.080,7.080,61.596,,,
Salpingoeca sp.,,,,5.072,46.915,,11.412,,1.268,,,,,,,,,,,,,
