taxa,abundance,date,bv,ind.bv
Fragilaria tenera,1.775682804,08/05/2019,4.284e-4,2.4125930545419643e-4
Fragilaria tenera,2.130819365,08/05/2019,5.141e-4,2.4126869149229834e-4
Fragilaria tenera,17.75682804,25/06/2019,0.004284,2.4125930545419643e-4
Fragilaria tenera,5.327048413,11/07/2019,0.001285,2.412217611659239e-4
Fragilaria tenera,1295.64,08/07/2020,0.8705,6.718687289679232e-4
Fragilaria tenera,2.124,05/08/2020,0.001427,6.718455743879473e-4
Gomphonema sp.,47.79,17/03/2020,0.007428,1.554300062774639e-4
Melosira varians,0.24,12/03/2019,0.00128,0.005333333333333334
Navicula radiata,0.1,14/05/2020,8.369e-4,0.008369
Navicula sp.,18,12/04/2018,0.005254,2.918888888888889e-4
Navicula sp.,1,14/11/2018,0.001,0.001
Navicula sp.,1,14/01/2019,0.001,0.001
Navicula sp.,0.474,18/02/2019,0.00396,0.008354430379746836
Navicula sp.,2.841,12/03/2019,0.02378,0.008370292150651179
Navicula sp.,2.368,01/04/2019,0.01981,0.00836570945945946
Navicula sp.,0.08,08/05/2019,6.695e-4,0.00836875
Navicula sp.,0.1,06/06/2019,8.369e-4,0.008369
Navicula sp.,2.615958412,18/12/2019,6.489e-4,2.4805440217372997e-4
Navicula sp.,2.124,21/01/2020,6.199e-4,2.9185499058380414e-4
Navicula sp.,1.416,18/02/2020,2.864e-4,2.0225988700564975e-4
Navicula sp.,37.17,17/03/2020,0.01304,3.508205542103847e-4
Navicula sp.,7.08,20/04/2020,0.001958,2.7655367231638417e-4
Navicula sp.,15.93,14/05/2020,0.003222,2.0225988700564972e-4
Navicula sp.,1.062,05/08/2020,3.1e-4,2.919020715630885e-4
Navicula sp.,1.6,20/10/2020,0.01339,0.00836875
Navicula sp.,3,12/11/2020,0.02511,0.00837
Navicula sp.,2.8,15/12/2020,0.02343,0.008367857142857144
Nitzschia acicularis,21,08/03/2018,0.005348,2.5466666666666666e-4
Nitzschia acicularis,148,12/04/2018,0.03769,2.546621621621622e-4
Nitzschia acicularis,0.355136561,08/05/2019,9.045e-5,2.5469075824046175e-4
Nitzschia acicularis,1.77,20/04/2020,5.167e-4,2.9192090395480227e-4
Nitzschia linearis,0.8,18/02/2019,0.00109,0.0013625
Nitzschia linearis,0.32,12/03/2019,4.3e-4,0.00134375
Nitzschia linearis,0.12,01/04/2019,1.6e-4,0.0013333333333333335
Nitzschia linearis,7.08,23/06/2020,0.009612,0.0013576271186440678
Nitzschia sp.,0.355136561,08/05/2019,9.143e-5,2.574502600986779e-4
Nitzschia sp.,3.551365608,06/06/2019,7.787e-4,2.1926776512276233e-4
Nitzschia sp.,5.071916824,21/10/2019,3.641e-4,7.178745484884553e-5
Nitzschia sp.,7.965,17/03/2020,0.008152,0.0010234777150031388
Nitzschia sp.,0.1,14/05/2020,1.024e-4,0.001024
Nitzschia sp.,106.2,23/06/2020,0.1087,0.0010235404896421845
Nitzschia sp.,77.88,23/06/2020,0.07971,0.001023497688751926
Nitzschia sp.,53.1,17/09/2020,0.05435,0.0010235404896421845
Nitzschia sp.,0.2,20/10/2020,3.939e-4,0.0019695
Nitzschia sp.,0.6,12/11/2020,1.521e-4,2.5350000000000004e-4
Nitzschia sp.,0.6,15/12/2020,1.521e-4,2.5350000000000004e-4
Tabellaria fenestrata,5.31,14/05/2020,0.01597,0.0030075329566854997
Tabellaria sp.,2.124,05/08/2020,0.00639,0.0030084745762711863
Ulnaria acus,1,09/05/2018,0.001,0.001
Ulnaria acus,1,07/06/2018,0.001,0.001
Ulnaria acus,1,09/07/2018,0.001,0.001
Ulnaria acus,1,09/07/2018,0.001,0.001
Ulnaria acus,0.04,08/05/2019,1.025e-4,0.0025625
Ulnaria acus,0.531,05/08/2020,0.003583,0.0067476459510357805
Ulnaria acus,0.2,12/11/2020,5.123e-4,0.0025615
Ulnaria ulna,5,08/03/2018,0.04943,0.009886
Ulnaria ulna,2,12/04/2018,0.01977,0.009885
Ulnaria ulna,1,09/05/2018,0.009886,0.009886
Ulnaria ulna,1,07/09/2018,0.009886,0.009886
Ulnaria ulna,1,07/09/2018,0.009886,0.009886
Ulnaria ulna,1,01/10/2018,0.001,0.001
Ulnaria ulna,1,14/11/2018,0.001,0.001
Ulnaria ulna,1,14/01/2019,0.001,0.001
Ulnaria ulna,0.12,12/03/2019,0.00119,0.009916666666666667
Ulnaria ulna,0.01,18/12/2019,9.886e-5,0.009885999999999999
Ulnaria ulna,0.1,17/03/2020,9.886e-4,0.009886
Ulnaria ulna,1.77,20/04/2020,0.0175,0.009887005649717515
Ulnaria ulna,0.4,20/10/2020,0.003955,0.0098875
Closterium parvulum,0.04,18/02/2019,4.9e-4,0.012249999999999999
Closterium sp.,0.1,17/03/2020,5.233e-4,0.005233
Closterium sp.,0.1,14/05/2020,1.024e-4,0.001024
Cosmarium bioculatum,1648,07/08/2018,0.7575,4.5964805825242713e-4
Cosmarium bioculatum,16698,07/09/2018,7.675,4.596358845370703e-4
Cosmarium bioculatum,19286,07/09/2018,8.865,4.59659856891009e-4
Cosmarium bioculatum,6340,01/10/2018,2.914,4.5962145110410097e-4
Cosmarium bioculatum,89,14/11/2018,0.04091,4.5966292134831465e-4
Cosmarium bioculatum,101,14/11/2018,0.04642,4.5960396039603966e-4
Cosmarium bioculatum,57,03/12/2018,0.0262,4.5964912280701756e-4
Cosmarium bioculatum,1,14/01/2019,0.001,0.001
Cosmarium bioculatum,12.173,18/02/2019,0.0056,4.6003450258769407e-4
Cosmarium bioculatum,17.038,12/03/2019,0.00783,4.5956098133583754e-4
Cosmarium bioculatum,5.679,01/04/2019,0.00261,4.5958795562599047e-4
Cosmarium formosulum,1,07/06/2018,0.001,0.001
Cosmarium laeve,1,09/07/2018,0.001,0.001
Cosmarium laeve,1,09/07/2018,0.001,0.001
Cosmarium laeve,99,07/08/2018,0.06086,6.147474747474747e-4
Cosmarium laeve,721,07/09/2018,0.4432,6.147018030513176e-4
Cosmarium laeve,654,07/09/2018,0.402,6.146788990825688e-4
Cosmarium laeve,406,01/10/2018,0.2496,6.147783251231526e-4
Cosmarium laeve,9,14/11/2018,0.005533,6.147777777777778e-4
Cosmarium laeve,9,14/11/2018,0.005533,6.147777777777778e-4
Cosmarium laeve,3,03/12/2018,0.001844,6.146666666666667e-4
Cosmarium laeve,3,14/01/2019,0.001844,6.146666666666667e-4
Cosmarium laeve,4.262,18/02/2019,0.00262,6.147348662599719e-4
Cosmarium laeve,2.368,12/03/2019,0.00146,6.16554054054054e-4
Cosmarium laeve,2.368,01/04/2019,0.00146,6.16554054054054e-4
Cosmarium laeve,5.682184973,08/05/2019,0.003493,6.147283160611041e-4
Cosmarium laeve,4.26163873,08/05/2019,0.00262,6.147869789047088e-4
Cosmarium laeve,17.75682804,06/06/2019,0.01092,6.149747001773635e-4
Cosmarium laeve,23.08387645,06/06/2019,0.01419,6.147147785483837e-4
Cosmarium laeve,35.51365608,25/06/2019,0.02183,6.14693118354938e-4
Cosmarium laeve,29.5947134,25/06/2019,0.01819,6.146368019904529e-4
Cosmarium laeve,26.63524206,11/07/2019,0.01637,6.145992577474627e-4
Cosmarium laeve,4.735154145,11/07/2019,0.002911,6.147635136807146e-4
Cosmarium laeve,55.79108507,29/08/2019,0.0343,6.147935634692254e-4
Cosmarium laeve,481.8320983,17/09/2019,0.2962,6.147369613710935e-4
Cosmarium laeve,395.6095123,21/10/2019,0.2432,6.147476044902978e-4
Cosmarium laeve,168.0978147,19/11/2019,0.1033,6.145231583429979e-4
Cosmarium laeve,10.65409683,18/12/2019,0.006549,6.146931180087651e-4
Cosmarium laeve,2.124,21/01/2020,0.001306,6.148775894538606e-4
Cosmarium laeve,3.186,18/02/2020,0.001959,6.148775894538606e-4
Cosmarium laeve,26.55,17/03/2020,0.01632,6.146892655367232e-4
Cosmarium laeve,12.39,20/04/2020,0.007616,6.146892655367231e-4
Cosmarium laeve,21.248,14/05/2020,0.01306,6.146460843373494e-4
Cosmarium laeve,113.28,08/07/2020,0.06964,6.147598870056497e-4
Cosmarium laeve,20.178,05/08/2020,0.0124,6.145306769749231e-4
Cosmarium laeve,934.56,17/09/2020,0.5745,6.147277863379559e-4
Cosmarium laeve,148.68,20/10/2020,0.0914,6.14743072370191e-4
Cosmarium laeve,21.24,12/11/2020,0.01306,6.148775894538607e-4
Cosmarium laeve,5.8,15/12/2020,0.003565,6.146551724137932e-4
Cosmarium majae,55,12/04/2018,0.009726,1.7683636363636365e-4
Cosmarium majae,1103,09/05/2018,0.1951,1.7688123300090662e-4
Cosmarium majae,12,07/06/2018,0.002122,1.7683333333333334e-4
Cosmarium majae,49873.94005,11/07/2019,8.82,1.7684586361449902e-4
Cosmarium majae,25972.96786,11/07/2019,4.593,1.7683770390651074e-4
Cosmarium majae,689.7806881,29/08/2019,0.122,1.7686781045733366e-4
Cosmarium majae,722.7481474,17/09/2019,0.1278,1.768250814059437e-4
Cosmarium majae,370.2499282,21/10/2019,0.06548,1.768535116761165e-4
Cosmarium majae,150.7083856,19/11/2019,0.02665,1.768315670949633e-4
Cosmarium majae,3.803937618,18/12/2019,6.727e-4,1.7684306830291455e-4
Cosmarium majae,1.062,21/01/2020,1.878e-4,1.768361581920904e-4
Cosmarium majae,74.34,23/06/2020,0.01315,1.7688996502555825e-4
Cosmarium majae,113.28,23/06/2020,0.02003,1.7681850282485874e-4
Cosmarium majae,408.87,08/07/2020,0.07231,1.768532785481938e-4
Cosmarium majae,63.72,20/10/2020,0.01127,1.7686754551161332e-4
Cosmarium majae,21.24,15/12/2020,0.003756,1.768361581920904e-4
Cosmarium phaseolus,598.4861853,08/05/2019,0.3311,5.532291440178043e-4
Cosmarium phaseolus,436.1848469,08/05/2019,0.2413,5.532058293976466e-4
Cosmarium phaseolus,5477.67017,06/06/2019,3.03,5.531548826350747e-4
Cosmarium phaseolus,4945.118904,06/06/2019,2.735,5.530706244065674e-4
Cosmarium phaseolus,18935.15614,25/06/2019,10.47,5.529397234746014e-4
Cosmarium phaseolus,23922.54102,25/06/2019,13.23,5.530348966248737e-4
Cosmarium sp.,138.06,23/06/2020,0.1517,0.001098797624221353
Cosmarium sp.,100.89,23/06/2020,0.1109,0.0010992169689761125
Elakatothrix gelatinosa,124,07/06/2018,0.009961,8.033064516129032e-5
Elakatothrix gelatinosa,4,07/09/2018,3.213e-4,8.0325e-5
Elakatothrix gelatinosa,28,07/09/2018,0.002249,8.032142857142858e-5
Elakatothrix gelatinosa,41,01/10/2018,0.003294,8.034146341463415e-5
Elakatothrix gelatinosa,11,14/11/2018,8.837e-4,8.033636363636363e-5
Elakatothrix gelatinosa,9,14/11/2018,7.23e-4,8.033333333333334e-5
Elakatothrix gelatinosa,10,03/12/2018,8.033e-4,8.033e-5
Elakatothrix gelatinosa,4,14/01/2019,0.001,2.5e-4
Elakatothrix gelatinosa,10.417,18/02/2019,8.4e-4,8.063741960257272e-5
Elakatothrix gelatinosa,3.788,12/03/2019,3e-4,7.91974656810982e-5
Elakatothrix gelatinosa,4.262,01/04/2019,3.4e-4,7.977475363679025e-5
Elakatothrix gelatinosa,4.26163873,08/05/2019,3.423e-4,8.032121483934422e-5
Elakatothrix gelatinosa,3.906502169,08/05/2019,3.138e-4,8.0327614429644e-5
Elakatothrix gelatinosa,1.775682804,06/06/2019,1.426e-4,8.030713575576193e-5
Elakatothrix gelatinosa,14.20546243,06/06/2019,0.001141,8.032121485819171e-5
Elakatothrix gelatinosa,5.918942681,25/06/2019,4.755e-4,8.033529392443191e-5
Elakatothrix gelatinosa,17.75682804,25/06/2019,0.001426,8.030713575576194e-5
Elakatothrix gelatinosa,28.41092487,11/07/2019,0.002282,8.032121482992047e-5
Elakatothrix gelatinosa,7.102731217,11/07/2019,5.706e-4,8.0335293926694e-5
Elakatothrix gelatinosa,46.16775291,29/08/2019,0.003709,8.033745994158242e-5
Elakatothrix gelatinosa,4.2,17/09/2019,3.374e-4,8.033333333333334e-5
Elakatothrix gelatinosa,65.93491871,21/10/2019,0.005297,8.033679427584751e-5
Elakatothrix gelatinosa,2.535958412,19/11/2019,2.037e-4,8.032466109700541e-5
Elakatothrix gelatinosa,1.420546243,18/12/2019,1.141e-4,8.03212148581917e-5
Elakatothrix gelatinosa,8.496,21/01/2020,9.849e-4,1.1592514124293784e-4
Elakatothrix gelatinosa,5.841,18/02/2020,6.771e-4,1.1592193117616847e-4
Elakatothrix gelatinosa,15.93,17/03/2020,0.001847,1.1594475831763967e-4
Elakatothrix gelatinosa,35.4,20/04/2020,0.004104,1.1593220338983052e-4
Elakatothrix gelatinosa,58.41,14/05/2020,0.006771,1.1592193117616847e-4
Elakatothrix gelatinosa,22089.6,23/06/2020,2.561,1.1593691148775895e-4
Elakatothrix gelatinosa,20390.4,23/06/2020,2.364,1.1593691148775894e-4
Elakatothrix gelatinosa,15526.44,08/07/2020,1.8,1.15931275939623e-4
Elakatothrix gelatinosa,1.062,05/08/2020,1.231e-4,1.1591337099811676e-4
Elakatothrix gelatinosa,31.86,17/09/2020,0.003693,1.1591337099811676e-4
Elakatothrix gelatinosa,26.55,20/10/2020,0.003078,1.159322033898305e-4
Elakatothrix gelatinosa,67.26,12/11/2020,0.008229,1.2234611953612846e-4
Elakatothrix gelatinosa,580.56,15/12/2020,0.07103,1.2234738872812459e-4
Mougeotia sp.,1,12/04/2018,7.475e-4,7.475e-4
Mougeotia sp.,0.24,01/04/2019,8e-5,3.333333333333334e-4
Mougeotia sp.,1.28,21/01/2020,0.001126,8.796875e-4
Mougeotia sp.,0.1,17/03/2020,2.827e-4,0.0028269999999999997
Teilingia granulata,0.947,18/02/2019,8.5e-4,8.97571277719113e-4
Ankyra judayi,15,03/12/2018,6.985e-4,4.656666666666667e-5
Ankyra judayi,101.438,18/02/2019,0.00472,4.65308858613143e-5
Ankyra lanceolata,3,07/06/2018,4.47e-4,1.4900000000000002e-4
Ankyra lanceolata,4815,14/01/2019,0.7174,1.4899273104880583e-4
Ankyra lanceolata,1369.418,18/02/2019,0.204,1.489683938724334e-4
Ankyra lanceolata,1317.639,12/03/2019,0.1963,1.4897858973512474e-4
Ankyra lanceolata,675.858,01/04/2019,0.1007,1.4899579497468403e-4
Ankyra lanceolata,147.0855879,08/05/2019,0.02191,1.4896088945774952e-4
Ankyra lanceolata,111.5821701,08/05/2019,0.01662,1.4894852811255728e-4
Ankyra lanceolata,316.9948015,06/06/2019,0.04723,1.489929796214655e-4
Ankyra lanceolata,266.2756333,06/06/2019,0.03967,1.4898096197674127e-4
Botryococcus braunii,2,14/01/2019,0.001,5e-4
Carteria multifilis,74.34,23/06/2020,0.1068,0.0014366424535916062
Carteria multifilis,74.34,23/06/2020,0.1068,0.0014366424535916062
Carteria multifilis,21.24,08/07/2020,0.03052,0.0014369114877589453
Carteria multifilis,8.496,05/08/2020,0.01221,0.0014371468926553672
Carteria multifilis,5.31,17/09/2020,0.007629,0.0014367231638418082
Carteria multifilis,3.54,12/11/2020,0.005086,0.001436723163841808
Carteria multifilis,0.6,15/12/2020,8.621e-4,0.0014368333333333334
Carteria sp.,5.327048413,11/07/2019,0.004945,9.28281407755248e-4
Carteria sp.,13.275,14/05/2020,0.01907,0.0014365348399246703
Carteria sp.,127.44,23/06/2020,0.0827,6.489328311362209e-4
Carteria sp.,389.4,23/06/2020,0.2527,6.489470980996405e-4
Chlamydocapsa sp.,7.102731217,11/07/2019,0.02551,0.0035915761445320087
Chlamydomonas sp.,101,08/03/2018,0.002585,2.5594059405940595e-5
Chlamydomonas sp.,257,07/06/2018,0.006579,2.5599221789883266e-5
Chlamydomonas sp.,4.058,18/02/2019,6.1e-4,1.503203548546082e-4
Chlamydomonas sp.,28.397,12/03/2019,7.3e-4,2.570694087403599e-5
Chlamydomonas sp.,5.071916824,08/05/2019,1.298e-4,2.5591902332821068e-5
Chlamydomonas sp.,12.67979206,06/06/2019,3.246e-4,2.559978889748449e-5
Chlamydomonas sp.,12.67979206,06/06/2019,3.246e-4,2.559978889748449e-5
Chlamydomonas sp.,422.6597353,25/06/2019,0.01082,2.5599788899503432e-5
Chlamydomonas sp.,295.8618147,25/06/2019,0.007574,2.5599788900368693e-5
Chlamydomonas sp.,205.2918715,11/07/2019,0.005255,2.559770127089518e-5
Chlamydomonas sp.,50.71916824,11/07/2019,0.0012979999999999999,2.559190233282106e-5
Chlamydomonas sp.,20.2876673,29/08/2019,5.193e-4,2.559683143068893e-5
Chlamydomonas sp.,12.67979206,17/09/2019,3.246e-4,2.559978889748449e-5
Chlamydomonas sp.,25.35958412,21/10/2019,0.009621,3.793831931341624e-4
Chlamydomonas sp.,25.35958412,18/12/2019,0.003984,1.5710036809546857e-4
Chlamydomonas sp.,3.54,20/04/2020,2.257e-4,6.375706214689266e-5
Chlamydomonas sp.,63.72,14/05/2020,0.00571,8.961079723791588e-5
Chlamydomonas sp.,244.26,23/06/2020,0.01557,6.374355195283714e-5
Chlamydomonas sp.,99.12,23/06/2020,0.00632,6.376109765940274e-5
Chlamydomonas sp.,63.72,08/07/2020,0.004063,6.376333961079724e-5
Chlamydomonas sp.,15.93,05/08/2020,0.001016,6.37790332705587e-5
Chlamydomonas sp.,53.1,17/09/2020,0.003386,6.376647834274952e-5
Chlamydomonas sp.,49.56,15/12/2020,0.00316,6.376109765940274e-5
Chlorella sp.,888,09/05/2018,0.05895,6.638513513513513e-5
Chlorella sp.,21,07/06/2018,0.001394,6.638095238095238e-5
Chlorella sp.,770.9313573,29/08/2019,0.0106,1.3749602866231733e-5
Chlorella sp.,60.86300189,21/10/2019,8.365e-4,1.3743981959875033e-5
Chlorella sp.,309.3869263,19/11/2019,0.004252,1.3743308584012393e-5
Chlorella sp.,17.75170888,18/12/2019,2.44e-4,1.3745155559355929e-5
Chlorella sp.,14.868,21/01/2020,9.869e-4,6.637745493677696e-5
Chlorella sp.,84.96,17/09/2020,0.00564,6.638418079096046e-5
Chlorella sp.,672.6,12/11/2020,0.009244,1.3743681236990782e-5
Chlorella sp.,70.8,15/12/2020,9.73e-4,1.3742937853107345e-5
Chlorococcales,18,12/04/2018,0.001178,6.544444444444444e-5
Coelastrum astroideum,28,07/09/2018,0.01113,3.9749999999999996e-4
Coenochloris sp.,101.4383365,21/10/2019,0.01177,1.160310825877946e-4
Desmodesmus abundans,45,14/01/2019,0.003185,7.077777777777777e-5
Desmodesmus abundans,16.1,18/02/2019,0.00114,7.080745341614906e-5
Desmodesmus abundans,1.894,12/03/2019,1.3e-4,6.863780359028511e-5
Desmodesmus abundans,1.267979206,18/12/2019,8.974e-5,7.077403128959515e-5
Desmodesmus aculeolatus,5.682,18/02/2019,4.2e-4,7.391763463569166e-5
Desmodesmus aculeolatus,5.682,12/03/2019,4.2e-4,7.391763463569166e-5
Desmodesmus aculeolatus,45.436,01/04/2019,0.00333,7.32899022801303e-5
Desmodesmus spinosus,135,07/09/2018,0.005152,3.816296296296297e-5
Desmodesmus spinosus,7,07/09/2018,2.672e-4,3.817142857142857e-5
Desmodesmus spinosus,101,01/10/2018,0.003855,3.816831683168317e-5
Desmodesmus spinosus,5,14/11/2018,1.908e-4,3.816e-5
Geminella interrupta,4.971911852,08/05/2019,7.721e-4,1.5529237504269413e-4
Geminella interrupta,23.67577072,25/06/2019,0.003676,1.5526421688543874e-4
Geminella sp.,6,09/07/2018,0.001217,2.0283333333333332e-4
Geminella sp.,4,09/07/2018,8.116e-4,2.029e-4
Gloeotila sp.,0.29,18/12/2019,5.73e-5,1.9758620689655173e-4
Hariotina polychorda,92.33550582,11/07/2019,0.007156,7.749998157750928e-5
Hariotina polychorda,54.45427266,11/07/2019,0.00422,7.749621460098664e-5
Hariotina polychorda,121.7260038,29/08/2019,0.009434,7.750192814593984e-5
Hariotina polychorda,152.1575047,17/09/2019,0.01179,7.748549782835654e-5
Hariotina polychorda,76.07875236,21/10/2019,0.005896,7.749864209261068e-5
Hariotina polychorda,24.09160491,19/11/2019,0.001867,7.749587488980617e-5
Hariotina polychorda,19.01968809,18/12/2019,0.001474,7.749864209261068e-5
Hariotina reticulata,85,07/08/2018,0.01524,1.7929411764705882e-4
Hariotina reticulata,36,07/09/2018,0.006454,1.7927777777777777e-4
Hariotina reticulata,114,07/09/2018,0.02044,1.792982456140351e-4
Hariotina reticulata,78,01/10/2018,0.01398,1.7923076923076923e-4
Hariotina reticulata,135,14/11/2018,0.0242,1.7925925925925924e-4
Hariotina reticulata,228,14/11/2018,0.04088,1.792982456140351e-4
Hariotina reticulata,87,03/12/2018,0.0156,1.793103448275862e-4
Hariotina reticulata,13,14/01/2019,0.002331,1.7930769230769232e-4
Hariotina reticulata,3.315,18/02/2019,5.9e-4,1.7797888386123683e-4
Hariotina reticulata,9.944,01/04/2019,0.00178,1.7900241351568783e-4
Hariotina reticulata,15.27087212,08/05/2019,0.002738,1.792955882600895e-4
Hariotina reticulata,22.37360333,08/05/2019,0.004011,1.7927376028079424e-4
Hariotina reticulata,42.6163873,06/06/2019,0.00764,0.00017927376026076242
Hariotina reticulata,485.3532998,25/06/2019,0.08701,1.792714709797055e-4
Hariotina reticulata,432.0828157,25/06/2019,0.07746,1.7927118872920267e-4
Hariotina reticulata,81.15066919,29/08/2019,0.01455,1.792961185068448e-4
Kirchneriella bibraiana,10.62,17/03/2020,0.003539,3.332391713747646e-4
Lemmermannia tetrapedia,5,03/12/2018,1.257e-4,2.514e-5
Micractinium pusillum,58.41,14/05/2020,0.005082,8.700564971751412e-5
Monoraphidium circinale,20,09/07/2018,2.845e-4,1.4224999999999998e-5
Monoraphidium circinale,3,14/11/2018,4.268e-5,1.4226666666666665e-5
Monoraphidium circinale,5.071916824,08/05/2019,7.215e-5,1.4225391011656703e-5
Monoraphidium contortum,9.912,18/02/2020,7.93e-4,8.000403551251008e-5
Monoraphidium nanum,5,14/01/2019,0.001,2e-4
Monoraphidium sp.,17.7,20/04/2020,0.001416,8e-5
Monoraphidium sp.,26.55,14/05/2020,0.002124,7.999999999999999e-5
Nephrochlamys subsolitaria,10,14/11/2018,9.71e-4,9.71e-5
Nephrocytium agardhianum,48,09/07/2018,0.009054,1.88625e-4
Nephrocytium agardhianum,42,09/07/2018,0.007922,1.8861904761904763e-4
Nephrocytium agardhianum,64.63485407,08/05/2019,0.01173,1.8148103169377203e-4
Nephrocytium agardhianum,81.68140899,08/05/2019,0.01482,1.814366351321678e-4
Nephrocytium agardhianum,3.551365608,06/06/2019,6.443e-4,1.8142316818877075e-4
Nephrocytium agardhianum,46.16775291,06/06/2019,0.008376,1.814253341792112e-4
Nephrocytium agardhianum,71.02731217,25/06/2019,0.01289,1.8147948452770516e-4
Nephrocytium agardhianum,47.35154145,25/06/2019,0.008591,1.8143020769601577e-4
Nephrocytium agardhianum,35.50341777,21/10/2019,0.006441,1.8141915355097374e-4
Nephrocytium agardhianum,2.535958412,19/11/2019,4.601e-4,1.8143042008214133e-4
Nephrocytium limneticum,22.72873989,08/05/2019,0.006998,3.0789212397467405e-4
Nephrocytium limneticum,22.72873989,08/05/2019,0.006998,3.0789212397467405e-4
Nephrocytium limneticum,21.30819365,06/06/2019,0.00656,3.0786279248968623e-4
Nephrocytium limneticum,44.39207011,06/06/2019,0.01367,3.079378809351948e-4
Oedogonium sp.,1,03/12/2018,0.001,0.001
Oocystis apicurvata,26.55,05/08/2020,0.005011,1.887382297551789e-4
Oocystis apicurvata,261.96,17/09/2020,0.04944,1.8873110398534129e-4
