original.taxa.name,resolved.taxa.name.manual,resolved.source.manual
Cf. katodinium fongiforme,Katodinium fungiforme,manually
Dictyosphaerium cf tetrachotomum,Hindakia tetrachotoma,manually
Dinobryon sertularia var. protractum,NA,NA
Kirchneriella dichotomococcoides,Kirchneriella,manually
Stomatocyst fr1,Chrysophyceae,manually
Coenochloris ovalis,Neocystis ovalis,manually
Oscillatoria bourrellyi,Tychonema bourrellyi,manually
Scenedesmus disciformis f. disciformis,NA,NA
Peridinium inconspicuum var. remotum,NA,NA
Anabaena spiroides f. minima,NA,NA
Stomatocyst sp.,Chrysophyceae,manually
Chlamydomonas cf botryospora,NA,manually
Volvocale 4 flagella,Chlamydomonadales,manually
Fragilaria construens f. binodis,NA,NA
Scenedesmus intermedius var. intermedius,NA,NA
Scenedesmus spinosus,Desmodesmus spinosus,manually
Scenedesmus opoliensis var. carinatus,NA,NA
Anabaena circinalis f. tenuis,NA,NA
Dinobryon cf stokesii var. neustonicum,NA,NA
Scenedesmus obtusus f. alternans,NA,NA
Scenedesmus acutiformis,Acutodesmus acutiformis,manually
Aulacoseira granulata var. angustissima f. curvata,NA,NA
Pediastrum biradiatum,NA,manually
Cyclotella cf. distinguenda var. unipunctata,NA,NA
Pediastrum duplex var. gracillimum,NA,NA
Staurodesmus incus f. minor,NA,NA
Chlamydomonas gloeophila var. irregularis,NA,NA
Chlorophyceae indetermined small,Chlorophyceae,manually
Fragilaria capucina var. vaucheriae,NA,NA
Cosmarium polygonum var. hexagonum,NA,NA
Scenedesmus acutus var. alternans,NA,NA
Anabaena solitaria,Dolichospermum solitarium,manually
Cyst 1 of chrysophyceae,Chrysophyceae,manually
Fragilaria construens f. venter,NA,NA
Bicoeca cylindrica,NA,manually
Oedogonium large cell bourget03,Oedogonium,manually
Ulothrix long cell,Ulothrix,manually
Stokesiella epipyxis,Stokesiella epipyxis,manually
Chromulina cf erkensis,Chromulina erkensis,manually
Fragilaria capucina var. radians,NA,NA
Cosmarium abbreviatum f. minor,NA,NA
Fragilaria tenera var. lemanensis,NA,NA
Pediastrum simplex var. sturmii,NA,NA
Gomphonema parvulum var. exilissimum,NA,NA
Scenedesmus protuberans,Desmodesmus protuberans,manually
Aulacoseira granulata var. angustissima,NA,NA
Cyst chrysophycee,Chrysophyceae,manually
Salpingoeca minor,Bicosta minor,manually
Palmeacea sp.,Palmellaceae,manually
Bicoeca cf. campanulata petit morphotype,NA,manually
Epipyxis cylindrica,Epipyxis cylindrica,manually
Navicula clementis f. minor,NA,NA
Chlamydomonas conica var. subconica,NA,NA
Fragilaria ulna var. acus,Ulnaria acus,manually
Cyclotella costei f. petite aire centrale,NA,NA
Fotterella tetrachlorella,Fotterella tetrachlorella,manually
Dinobryon anneciense,Dinobryon anneciense,manually
Dinobryon sertularia var. protuberans,NA,NA
Closterium acutum var. linea,NA,NA
Bicoeca planctonica,NA,manually
Dinobryon sociale var. americanum,NA,NA
Dinobryon sociale var. americanum plein,NA,NA
Dinobryon sociale var. americanum vide,NA,NA
Dinobryon sociale var. stipitatum,NA,NA
Dinobryon sociale var. stipitatum plein,NA,NA
Dinobryon sociale var. stipitatum vide,NA,NA
Cyst 2 of chrysophyceae,Chrysophyceae,manually
Polyedriopsis bitridens,Chlorotetraëdron bitridens,manually
Pandorina morum var. major,NA,NA
Sphaerellopsis aulata,Vitreochlamys aulata,manually
Cosmarium novae-semliae var. sibericum,NA,NA
Closterium acutum var. variabile,NA,NA
Bicoeca campanulata,NA,manually
Katodinium hiemale,Borghiella pascheri,manually
Stomatocyst 153,Chrysophyceae,manually
Cosmarium sexangulare var. minus,NA,NA
Calycomonas pascheri,Ollicola pascheri,manually
Cyst of dinobryon,Dinophyceae,manually
Micro chlorophyceae,Chlorophyceae,manually
Tetraedron minimum var. scrobiculatum,NA,NA
Cosmarium phaseolus var. minus,NA,NA
Stomatocyst 2 spines,Chrysophyceae,manually
Dinobryon cylindricum var. alpinum plein,NA,NA
Dinobryon cylindricum var. alpinum vide,NA,NA
Cysts of chrysophyceae,Chrysophyceae,manually
Stomatocyst 219,Chrysophyceae,manually
Cocconeis placentula var. euglypta,NA,NA
Stomatocyst 5 spines,Chrysophyceae,manually
Cosmarium subsalsum,NA,manually
Ulothricophyceae sp.,Chlorophyceae,manually
Pseudostaurastrum alternans,Staurastrum alternans,manually
Closterium venus var. westii,NA,NA
Trachelomonas volvocina var. subglobosa,NA,NA
Stomatocyst 3 spines,Chrysophyceae,manually
Stomatocyst 62,Chrysophyceae,manually
Pseudostaurastrum hastatum var. palatinum,NA,NA
Cosmarium venustum var. minus,NA,NA
Stomatocyst 4 spines,Chrysophyceae,manually
Cosmarium subcostatum var. minus,NA,NA
Gymnodinium lantzschii f. major,NA,NA
Fragilaria ulna var. angustissima,NA,NA
Ulnaria delicatissima var. angustissima,NA,NA
Coenocystis planctonica var. hercynica,NA,NA
Peridiniopsis umbonatum,Peridinium umbonatum,manually
Cyst of chrysophyceaes,Chrysophyceae,manually
Fragilaria berolinensis,Belonastrum berolinense,manually
Cymbella helvetica var. curta,NA,NA
Stomatocyst 6 spines,Chrysophyceae,manually
Cosmarium subprotumidum var. gregorii,NA,NA
Cosmarium undulatum var. minutum,NA,NA
Peridinium inconspicuum var. contactum,Peridinium inconspicuum var. contactum,manually
Stephanodiscus hantzschii f. tenuis,NA,NA
Cosmarium subcostatum var. subcostatum,NA,NA
Phacus pleuronectes var. pleuronectes,NA,NA
Closterium acutum var. latius,NA,NA
Cosmarium depressum var. planctonicum,NA,NA
Peridinium umbonatum,Peridinium umbonatum,manually
Peridinium umbonatum var. conjectum f. spiniferum,NA,NA
Staurastrum johnsoni var. triradiatum,NA,NA
Staurastrum messikomerii f. planctonicum,NA,NA
Cyst of ceratium hirundinella,Ceratium hirundinella,manually
Cyst of peridinien,NA,manually
Closterium cf. lanceolatum var. parvum,NA,NA
Staurastrum sebaldii var. ornatum,NA,NA
Staurastrum sebaldii var. ornatum f quadriradiata,NA,NA
Eunotia serra var. tetraodon,NA,NA
Cosmarium margaritiferum f. regularius,NA,NA
Cosmarium pseudopyramidum,NA,manually
Gymnodinium umberrinum,NA,manually
Staurastrum planctonicum var. bulbosum,NA,NA
Cymatopleura solea var. regula,NA,NA
Cyclotella bodanica var. bodanica,NA,NA
Cyclotella bodanica var. lemanensis,NA,NA
Ankistrodesmus convolutus,Monoraphidium convolutum,manually
Oscillatoria agardhii,Planktothrix agardhii,manually
Oscillatoria lemmermanni,Anagnostidinema lemmermannii,manually
Scenedesmus intermedius,Desmodesmus intermedius,manually
Deasonia gigantica,Deasonia prolifera,manually
Deasonia gigantica,Deasonia prolifera,manually
Kephyrion gracilis,Kephyriopsis gracilis,manually
Oscillatoria minnesotensis,Phormidium minnesotense,manually
Anabaena crassa,Dolichospermum crassum,manually
Anabaena mendotae,Dolichospermum mendotae,manually
Aphanizomenon ovalisporum,Umezakia ovalisporum,manually
Kephyrion gracile,Kephyrion gracile,manually
Gomphosphaeria pallidum,Coelosphaerium pallidum,manually
Centric diatom,Bacillariophyceae,manually
Chroomonas rosenbergii,Chroomonas coerulea,manually
Tetracystis chlorococcoides,Chlorococcum chlorococcoides,manually
Achnanthidium duthii,Achnanthidium duthii,manually
Achnanthes lapponica,Eucocconeis quadratarea,manually
Achnanthes reimeri,Achnanthidium reimeri,manually
Amphora holsatica,Halamphora holsatica,manually
Cymbella subcuspidata,Cymbopleura subcuspidata,manually
Eunotia nymanii,NA,manually
Fragilaria elliptica,NA,manually
Gomphonema geitleri,Gomphonema geitleri,manually
Navicula subatomoides,Psammothidium subatomoides,manually
Navicula canoris,Navigiolum canoris,manually
Navicula utermhii,Navicula utermhii,manually
Navicula sublucidula,Fallacia sublucidula,manually
Navicula evanida,Chamaepinnularia evanida,manually
Navicula wienzierlii,NA,manually
Nitzschia lancetulla,NA,manually
Opephora martyi,Staurosirella martyi,manually
Rhopalodia operculata,Epithemia operculata,manually
Encyonema perpussilum,NA,manually
Luticola naviculoides,Luticola minor,manually
Punctastriata pinnata,Staurosirella pinnata,manually
Rossithidium duthii,Rossithidium duthiei,manually
Encyonopsis evergladianum,Encyonopsis evergladianum,manually
Geissleria aikenensis,Navigeia aikenensis,manually
Cosmarium zygomorphum,NA,manually
Gonium sociale,Tetrabaena socialis,manually
Scenedesmus quadricuada,NA,manually
Hapalosiphon hibernius,NA,manually
Lyngbya lattisima,NA,manually
Platessa hustedtii,Psammothidium hustedtii,manually
Pediastrum privum,Stauridium privum,manually
Anabaena smithii,Dolichospermum smithii,manually
Anabaena mucosa,Dolichospermum mucosum,manually
Dictyosphaerium tetrachotomum,Hindakia tetrachotoma,manually
Synechococcus gracilis,Romeria gracilis,manually
Pediastrum kawraiskyi,Pseudopediastrum kawraiskyi,manually
Bulbochaeta,Bulbochaete,manually
Amphiprora ornata,Entomoneis ornata,manually
Anabaena curva,Dolichospermum curvum,manually
Peridiniopsis edax,Tyrannodinium edax,manually
Chodatella citriformis,Lagerheimia citriformis,manually
Syncrypta perlata,Synuropsis perlata,manually
Didymocystis planktonica,Pseudodidymocystis planctonica,manually
Phormidium splendens,NA,manually
Stephanocodon socialis,Bicosoeca socialis,manually
Dictyosphaerium botrytella,Mychonastes botrytella,manually
Heterothrix tenuissima,Heterothrix tenuissima,manually
Merismopedia tenuis,Merismopedia tenuissima,manually
Nannochloris atomus,Picochlorum atomus,manually
Paralauterboniella,Paralauterborniella,manually
Stichtochironomus,Chironomus,manually
Pseudosmittia subtriloba,NA,manually
Echinopus giboni,NA,manually
Caenospella meridies,NA,manually
Caenospella,NA,manually
Hyalophlebia patnciae,NA,manually
Nadinatella,Nadinatella,manually
Polypedilum subgenus pentapedium,NA,manually
Polypedilum subgenus polypedilum,NA,manually
Afrolochus harrisoni,NA,manually
Madecocerus,NA,manually
Afroneurus ethiopicus,Heptageniidae,manually
Adenophleboides,Adenophlebiodes,manually
Ictinogomphus ruwenzorica,Ictinogomphus,manually
Ictinogomphus selysi,Ictinogomphus,manually
Ictinogomphus soror,Ictinogomphus,manually
Allocnemis singularis,Allocnemis,manually
Ehteria elliptica,NA,manually
Chaoborus (sayomyia),Chaoborus,manually
Thaumeliidae,Thaumaleidae,manually
Bosmina liederi/longirostris,Bosmina,manually
Bosminids spp.,Bosminidae,manually
Bythotrephes longimanus-(total),Bythotrephes longimanus,manually
Bythotrephes longimanus-(core),Bythotrephes longimanus,manually
Bythotrephes longimanus-(spine),Bythotrephes longimanus,manually
Ceriopdaphnia sp.,Ceriodaphnia,manually
Cyclops abyssorum,NA,manually
Cyclops bicuspidatus,NA,manually
Cyclops bicuspidatus-thomasi,Diacyclops thomasi,manually
Cyclops bohater,NA,manually
Cyclops kolensis,NA,manually
Cyclops leuckarti,NA,manually
Cyclops leuckarti-(m),Mesocyclops leuckarti,manually
Cyclops scutifer,NA,manually
Cyclops strenuus,NA,manually
Cyclops vernalis,NA,manually
Cyclops vicinus,NA,manually
Daphniids spp.,Daphniidae,manually
Diaptomiids spp.,Diaptomus,manually
Diaptomus graciloides-(m),Eudiaptomus graciloides,manually
Harpacticoids spp.,Harpacticoida,manually
Cyclops furcifer,NA,manually
Cyclops lacustris,NA,manually
Cyclops insignis,NA,manually
Copepodit calanoida,Calanoida,manually
Copepodit cyclopoida,Cyclopoida,manually
Nauplii copepoda,Copepoda,manually
Chlorella minutissima,Mychonastes homosphaera,manually
Desmodesmus armatus var. longispina,NA,NA
Dictyosphaerium pulchellum var. minutum,NA,NA
Pseudopediastrum boryanum var. longicorne,NA,NA
Scenedesmus armatus var. boglariensis,NA,NA
Scenedesmus denticulatus var. brevispinus,NA,NA
Scenedesmus granulatus f. spinosus,Scenedesmus granulatus f. spinosus,manually
Scenedesmus lefevrei var. manguinii,NA,NA
Scenedesmus obtusus f. disciformis,NA,NA
Scenedesmus quadricauda var. longispinus,NA,NA
Tetraedron minimum var. tetralobulatum,NA,NA
Dinobryon divergens var. schauinslandii,NA,NA
Dinobryon suecicum var. longispinum,NA,NA
Kephyrion elegans,Kephyrion elegans,manually
Kephyrion welshii,Kephyrion welshii,manually
Synochromonas elaeochrus,Synuropsis elaeochrus,manually
Aulacoseira ambigua f. japonica,NA,NA
Cyclotella cretica var. cyclopuncta,NA,NA
Ulnaria ulna var. acus,NA,NA
Trachelomonas volvocina var. punctata,NA,NA
Tetradriella,NA,manually
Aulacoseira ambigua f.  curvata,NA,NA
Achnanthes brevipes var. intermedia,NA,NA
Achnanthes brevipes var. brevipes,NA,NA
Achnanthes biasolettiana var. thienemannii,NA,NA
Amphora coffeaeformis var. acutiuscula,NA,NA
Amphora coffeaeformis var. coffeaeformis,NA,NA
Achnanthidium minutissima var. affinis,NA,NA
Adlafia minuscula var. muralis,NA,NA
Achnanthidium rosenstockianum,NA,manually
Achnanthes exigua var. elliptica,NA,NA
Achnanthes minutissima var. inconspicua,NA,NA
Achnanthes minutissima var. minutissima,NA,NA
Achnanthes minutissima var. jackii,NA,NA
Achnanthes ploenensis var. gessneri,NA,NA
Achnanthes ploenensis var. ploenensis,NA,NA
Aulacoseira distans var. nivalis,NA,NA
Bacillaria paxillifera var. paxillifer terato,NA,NA
Bacillaria paxillifera var. paxillifera,NA,NA
Cymbella excisa var. excisa,NA,NA
Cymbella affinis var. affinis,NA,NA
Caloneis amphisbaena f.  amphisbaena,NA,NA
Cymbopleura frequens var. frequens,NA,NA
Cymbopleura kuelbsii var. kuelbsii,NA,NA
Cymbopleura naviculiformis var. naviculiformis,NA,NA
Cavinula cocconeiformis f.  elliptica,NA,NA
Cyclotella distinguenda var. distinguenda,NA,NA
Cyclotella distinguenda-unipunctata,Cyclotella distinguenda var. unipunctata,manually
Cymbella excisa var. angusta,NA,NA
Cymatopleura elliptica var. elliptica,NA,NA
Cymbella excisiformis var. nonprotracta,NA,NA
Cymbella excisa var. procera,NA,NA
Cymbella excisiformis var. excisiformis,NA,NA
Cymbella hustedtii var. hustedtii,NA,NA
Cymbella kolbei var. kolbei,NA,NA
Cymbella laevis var. laevis,NA,NA
Cymbella lanceolata var. lanceolata,NA,NA
Cymbella neocistula var. neocistula,NA,NA
Cymbella neoleptoceros var. neoleptoceros,NA,NA
Cocconeis placentula var. euglypta terato,NA,NA
Cocconeis placentula var. placentula,NA,NA
Cocconeis placentula var. lineata,NA,NA
Cocconeis placentula var. klinoraphis,NA,NA
Cocconeis placentula var. pseudolineata,NA,NA
Cymbella proxima var. proxima,NA,NA
Cymbopleura rhomboidea var. rhomboidea,NA,NA
Cymatopleura solea var. apiculata,NA,NA
Cymbopleura subaequalis var. subaequalis,NA,NA
Caloneis schumanniana var. biconstricta,NA,NA
Caloneis schumanniana var. biconstricta f.  minor,NA,NA
Cymatopleura solea var. solea,NA,NA
Cymbella subtruncata var. subtruncata,NA,NA
Cymbella turgidula var. turgidula,NA,NA
Cymbella tropica var. tropica,NA,NA
Cymbella vulgata var. vulgata,NA,NA
Diadesmis contenta var. biceps,NA,NA
Diadesmis confervacea var. confervacea,NA,NA
Delicata delicatula var. alpestris,NA,NA
Delicata delicatula var. delicatula,NA,NA
Diadesmis gallica var. perpusilla,NA,NA
Diatoma hyemalis var. hyemalis,NA,NA
Denticula kuetzingii var. kuetzingii,NA,NA
Denticula tenuis var. crassula,NA,NA
Diatoma vulgaris f.  lineare,NA,NA
Eunotia arcus var. arcus,NA,NA
Epithemia argus var. argus,NA,NA
Eunotia bilunaris var. bilunaris,NA,NA
Eunotia exigua var. tenella,NA,NA
Eunotia incisa var. incisa,NA,NA
Encyonema silesiacum var. latestriata,NA,NA
Eunotia muscicola var. muscicola,NA,NA
Entomoneis paludosa var. paludosa,NA,NA
Eunotia pectinalis var. pectinalis,NA,NA
Eunotia pectinalis var. recta,NA,NA
Eunotia praerupta var. praerupta,NA,NA
Eunotia paludosa var. trinacria,NA,NA
Eunotia pectinalis var. undulata,NA,NA
Encyonema silesiacum var. ventriformis,NA,NA
Epithemia turgida var. turgida,NA,NA
Eunotia paludosa var. paludosa,NA,NA
Fragilaria arcus var. arcus,NA,NA
Fragilaria capucina var. amphicephala,NA,NA
Fragilaria capucina var. capucina,NA,NA
Fragilaria capucina var. austriaca,NA,NA
Fragilaria construens f.  binodis,NA,NA
Fragilaria capucina var. distans,NA,NA
Fragilaria capucina var. mesolepta,NA,NA
Fragilaria capucina var. rumpens,NA,NA
Fragilaria capucina var. vaucheriae terato,NA,NA
Fragilaria delicatissima,NA,manually
Fallacia difficillimoides,Fallacia difficillimoides,manually
Fragilaria famelica var. famelica,NA,NA
Fragilaria pinnata var. pinnata,NA,NA
Frustulia rhomboides var. amphipleuroides,NA,NA
Fragilaria ulna var. ulna,NA,NA
Fragilaria zeilleri var. elliptica,NA,NA
Gomphonema ba var. icum,Gomphonema bavaricum,manually
Gomphoneis eriense var. variabilis,NA,NA
Gomphonema micropus var. micropus,NA,NA
Gomphonema minutum f.  minutum,NA,NA
Gomphoneis minuta var. minuta,NA,NA
Gomphonema olivaceum var. balticum,NA,NA
Gomphonema olivaceum var. olivaceum,NA,NA
Gomphonema olivaceum var. minutissimum,NA,NA
Gomphonema parvulum var. parvulum f.  parvulum,NA,NA
Gomphonema parvulum var. parvulum f.  saprophilum,NA,NA
Gomphonema pumilum var. elegans,NA,NA
Gomphonema pumilum var. rigidum,NA,NA
Licmophora gracilis var. gracilis,NA,NA
Luticola kotschyi,NA,manually
Luticola af f mutica,Luticola mutica,manually
Mayamaea atomus var. alcimonica,NA,NA
Mayamaea atomus var. permitis,NA,NA
Meridion circulare var. constrictum,NA,NA
Meridion circulare var. circulare,NA,NA
Mayamaea fossalis var. obsidialis,NA,NA
Nitzschia amphibia f.  amphibia,NA,NA
Nitzschia dianae,NA,manually
Nitzschia dissipata var. dissipata,NA,NA
Nitzschia dissipata var. media,NA,NA
Naviculadicta vitabunda,NA,manually
Nitzschia filiformis var. conferta,NA,NA
Nitzschia filiformis var. filiformis,NA,NA
Nitzschia fonticola var. pelagica,NA,NA
Nitzschia frustulum var. frustulum,NA,NA
Nitzschia liebetruthii var. liebetruthii,NA,NA
Nitzschia linearis var. linearis,NA,NA
Nitzschia linearis var. subtilis,NA,NA
Navicula menisculus var. menisculus,NA,NA
Navicula minuscula var. muralis,NA,NA
Nitzschia palea var. debilis,NA,NA
Nitzschia palea var. tenuirostris,NA,NA
Navicula reichardtiana var. reichardtiana,NA,NA
Navicula salinarum var. salinarum,NA,NA
Navicula salinarum var. rostrata,NA,NA
Navicula schroeteri var. schroeteri,NA,NA
Nitzschia sinuata var. sinuata,NA,NA
Nitzschia sinuata var. tabellaria,NA,NA
Naviculadicta schmassmannii,NA,manually
Navicula trivialis var. trivialis,NA,NA
Nupela lapidosa var. lapidosa,NA,NA
Navicula vandamii var. vandamii,NA,NA
Naviculadicta laterostrata,NA,manually
Navicula vandamii var. mertensiae,NA,NA
Naviculadicta seminulum,NA,manually
Navicula viridula var. germainii,NA,NA
Navicula viridula var. rostellata,NA,NA
Nitzschia linearis var. tenuis,NA,NA
Pinnularia acrospheria var. acrospheria,NA,NA
Pinnularia appendiculata var. appendiculata,NA,NA
Pinnularia borealis var. borealis,NA,NA
Pinnularia brebissonii var. brebissonii,NA,NA
Pinnularia divergentissima var. subrostrata,NA,NA
Pinnularia dubitabilis var. dubitabilis,NA,NA
Psammothidium grischunum f.  daonensis,NA,NA
Pinnularia globiceps var. globiceps,NA,NA
Pleurosira laevis f.  laevis,NA,NA
Planothidium peragalli var. parvulum,NA,NA
Pinnularia lundii var. lundii,NA,NA
Pinnularia microstauron var. microstauron,NA,NA
Placoneis placentula f.  rostrata,NA,NA
Pseudostaurosira parasitica var. subconstricta,NA,NA
Pinnularia subcapitata var. subcapitata,NA,NA
Pinnularia subrupestris var. cruciata,NA,NA
Pinnularia subcapitata var. elongata,NA,NA
Pinnularia subgibba var. subgibba,NA,NA
Pinnularia sudetica var. sudetica,NA,NA
Pinnularia viridiformis var. viridiformis m 1,NA,NA
Pinnularia viridis var. viridis m 1,NA,NA
Pinnularia viridiformis var. viridiformis m 3,NA,NA
Rhopalodia gibba var. gibba,NA,NA
Surirella brebissonii var. kuetzingii,NA,NA
Surirella brebissonii var. brebissonii,NA,NA
Surirella brightwellii var. brightwellii,NA,NA
Staurosira construens var. binodis,NA,NA
Staurosira construens f.  subsalina,NA,NA
Staurosira construens var. venter,NA,NA
Staurosira construens f.  venter,NA,NA
Synedrella subconstricta,NA,manually
Surirella helvetica,NA,manually
Stephanodiscus hantzschii f.  tenuis,NA,NA
Surirella linearis var. constricta,NA,NA
Stauroneis legumen var. integra,NA,NA
Staurosirella pinnata var. intercedens,NA,NA
Staurosira berolinensis,NA,manually
Stauroneis siberica var. siberica,NA,NA
Tryblionella gracilis var. subsalina,NA,NA
Thalassiosira hyperborea var. pelagica,NA,NA
Ulnaria ulna var. angustissima,NA,NA
Cyclops sp,Copepoda,manually
Cyclopoid copepod,Cyclopoida,manually
Limnomonas gaiensis,NA,manually
Cyclops sp.,Copepoda,manually
Cyclops sp.,Copepoda,manually
Harpacticoid sp.,Harpacticoida,manually
Calanoid,Calanoida,manually
Cyclopoid,Cyclopoida,manually
Nauplii,Copepoda,manually
Nauplii,Copepoda,manually
Mosquito,NA,manually
Stonefly,Plecoptera,manually
Mayfly,Ephemeroptera,manually
Beetle,NA,manually
Unknown rotifer,Rotifera,manually
Pseudokirchneriella subcapitata,NA,manually
Oscillatoria jovis,NA,manually
Anabena,Anabaena,manually
Golden flagellates,Chrysophyceae,manually
Euglena small,Euglena,manually
Bdelodea,Bdelloidea,manually
Synechoccus,Synechococcus,manually
Non identified ciliate,Ciliophora,manually
Small scuticociliata,Scuticociliate,manually
Tintinidium sp.,Tintinnidium,manually
Copepod nauplii,Copepoda,manually
Polyarthra aff. vulgaris,Polyarthra vulgaris,manually
Trichocerca dixon nuttali,Trichocerca dixonnuttalli,manually
Cyclopoida nauplii,Cyclopoida,manually
Cyclopoida copepodid,Cyclopoida,manually
Small greens,couldn't resolve,manually
Small chrysophytes,Chrysophyceae,manually
Copepodite,Copepoda,manually
Ciclopoida,Cyclopoida,manually
Chlorococcoum sp.,Chlorococcum,manually
Neochloris oleoabundans,NA,manually
Euglenofita,Euglenophyta,manually
Peridinial,Peridiniales,manually
Plagioselmis nannoplanctonica,NA,manually
Fitoflagelado,couldn't resolve,manually
Carteria compressa,Carteria compressa,manually
Chlamydomonas lobata,NA,manually
Volvocal sp.2,Chlamydomonadales,manually
Volvocal sp.1,Chlamydomonadales,manually
Dinoflagelado desnudo,Dinoflagellata,manually
Phacus agilis,NA,manually
Trachelomonas sydneyensis var. minor,NA,NA
Raphydophyta,Raphidophyceae,manually
Pseudocuadrigula sp,couldn't resolve,manually
Polynucleobacterwuianus,Polynucleobacter wuianus,manually
Polynucleobacterasymbioticus,Polynucleobacter asymbioticus,manually
Polynucleobacterduraquae,Polynucleobacter duraquae,manually
Polynucleobactersinensis,Polynucleobacter sinensis,manually
Polynucleobacteryangtzensis,Polynucleobacter yangtzensis,manually
Fragilaria pinnata var. intercedens,NA,NA
Aulacoseira granulata var. valida,NA,NA
Fragilaria brevistriata var. inflata,NA,NA
Bothriococcus,Botryococcus,manually
Nitzchia,NA,manually
Trichodina diaptomi,NA,manually
Clamydomonas sajao,NA,manually
Planctonema lacustris,Planctonema,manually
Small flagelates,couldn't resolve,manually
Asplachna sp.,NA,manually
Chrysomonad,Chrysomonadales,manually
Chlamydocapsa cingulata,Chlamydocapsa,manually
Vorticella aquadulcis,NA,manually
Coconeis sp.,Cocconeis,manually
Kirchneriella bibraiana,NA,manually
Volvocales,Chlamydomonadales,manually
Dolichospermum variabilis,Dolichospermum,manually
Heterolepadella ehrenbergi,Lepadella ehrenbergi,manually
Comasiella arcuata var. platydisca,NA,NA
Oscillatoria rosea,NA,manually
Lecane lunaris ehrenberg,NA,NA
Lecane quadridentata ehrenberg,NA,NA
Macrochetus sp.,Macrochaetus,manually
Nauplii cyclopoida,Cyclopoida,manually
Nauplii calanoida,Cyclopoida,manually
Nauplii harpacticoida,Harpacticoida,manually
Cyclopoida copepodite,Cyclopoida,manually
Acutodesmus acuminatus,NA,manually
Akanthochloris ssp,NA,manually
Amphidinium geitleri,NA,manually
Amphidinium lohammari,NA,manually
Aphanothece clathrata var. brevis,NA,NA
Aphanothece endophytica,NA,manually
Artrospira ssp,Arthrospira,manually
Astasia vacuolata,NA,manually
Bicosoeca lauterbornii,Bicosoeca lauterbornei,manually
Bicosoeca mitra var. suecica,NA,NA
Bicosoeca planctonica var. multiannulata,NA,NA
Borzia endophytica,NA,manually
Carteria sphaerica,NA,manually
Centritractus globulosus,NA,manually
Centritractus pseudobrunneus,Centritractus brunneus,manually
Centritractus rotundatus,NA,manually
Centritractus selliferus,NA,manually
